edgeID,group1,group2,group3,group0,group4,group5,population,nullGroup
9,34,14,19,9,2,10,98,82
24,17,12,9,5,3,6,49,76
32,13,7,4,0,1,7,42,23
37,18,11,6,1,0,5,20,20
38,27,16,17,9,4,7,107,55
39,6,1,2,1,2,3,8,19
40,25,15,15,9,4,8,102,49
41,25,15,15,7,4,8,100,45
42,35,18,17,9,6,8,97,74
43,17,4,4,2,2,0,9,33
44,21,5,4,5,3,2,9,36
45,13,2,4,2,3,0,10,35
46,7,4,0,3,0,2,1,3
56,11,12,8,3,2,11,75,31
57,13,11,12,3,2,5,73,27
67,7,8,10,4,2,8,12,28
68,4,6,5,1,1,5,7,19
70,8,6,1,3,0,2,2,2
71,14,13,12,3,2,10,17,33
77,9,8,9,7,8,9,64,51
78,11,5,6,5,2,3,11,34
79,14,9,10,11,8,6,53,57
82,59,25,34,17,10,18,156,149
83,31,28,29,8,6,11,138,96
84,30,25,23,8,10,12,80,92
85,13,11,15,6,6,9,67,33
86,16,22,14,3,10,11,37,64
87,10,17,14,2,8,10,21,56
88,5,5,3,1,1,1,15,9
89,31,27,20,9,12,13,48,105
90,22,15,10,1,2,5,37,44
92,9,2,2,2,2,0,13,21
93,9,9,5,3,1,1,31,18
94,8,9,3,5,0,1,34,31
96,1,2,1,3,1,0,1,17
100,2,4,1,3,1,0,4,20
101,26,30,34,11,7,7,203,87
105,56,39,32,20,4,13,145,121
125,0,1,0,0,0,0,1,1
127,1,1,1,0,1,0,0,0
128,1,2,1,0,1,0,1,1
133,7,2,5,4,0,1,3,35
134,8,6,9,9,4,0,51,17
135,14,8,15,11,7,4,56,58
137,0,0,2,3,0,0,6,5
138,7,2,5,7,0,0,4,39
139,4,2,3,3,1,1,8,15
140,9,4,7,6,2,1,2,40
142,2,0,4,2,1,1,2,12
144,1,2,3,4,3,3,20,5
145,4,1,6,6,2,2,12,9
146,0,1,4,1,2,0,6,0
147,3,0,3,1,1,0,1,3
151,27,18,41,18,12,17,56,144
152,21,14,20,10,8,7,8,127
153,19,14,33,12,10,10,59,98
156,8,3,9,3,2,3,11,29
158,4,1,4,0,2,1,3,11
159,23,18,31,11,10,9,66,120
166,15,20,11,7,0,3,40,54
167,13,16,22,10,4,1,122,56
173,7,0,4,2,3,1,19,13
174,20,7,9,4,4,4,58,46
175,11,12,7,2,1,3,21,33
176,12,13,8,2,3,4,23,42
177,22,6,10,4,2,7,59,50
182,3,5,4,7,0,3,14,20
183,16,15,8,6,1,4,38,36
186,19,17,8,6,2,4,45,41
188,1,1,1,0,1,0,3,1
190,24,17,9,6,8,7,69,53
206,9,5,7,1,1,5,44,24
214,5,1,3,2,0,2,16,7
227,3,4,4,0,1,1,20,10
229,2,4,1,0,0,1,10,4
230,4,4,2,0,0,0,10,5
231,2,0,1,0,0,1,6,3
237,3,1,0,2,1,0,5,6
239,5,5,6,2,3,3,2,17
241,38,22,18,8,9,14,260,85
244,13,7,10,3,2,7,49,58
247,2,0,2,3,1,0,5,2
252,6,4,0,2,0,0,8,0
269,6,3,3,4,3,1,2,11
270,1,1,0,0,1,0,2,0
274,15,9,8,5,1,0,35,21
275,4,1,2,1,0,0,16,6
279,5,1,2,2,1,0,3,2
281,1,1,1,1,0,1,5,0
282,5,1,9,2,0,3,3,20
283,7,2,10,3,0,4,7,21
287,2,0,0,0,1,0,4,0
295,14,5,10,9,1,3,16,31
296,9,4,4,5,2,3,11,19
299,2,1,4,2,0,0,18,16
300,11,3,4,4,2,5,18,30
301,7,3,4,3,1,5,20,23
302,1,1,0,1,1,0,3,6
303,4,1,1,0,0,0,3,13
304,6,3,6,3,1,3,17,26
307,9,4,8,3,1,4,17,25
309,12,12,6,11,2,4,36,44
310,17,15,12,15,4,5,38,55
311,5,4,3,0,0,1,0,15
312,0,0,0,0,0,0,0,0
313,6,4,3,0,1,1,1,15
