edgeID,group1,group2,group3,group0,group4,group5,population,nullGroup
10639,1,0,0,0,0,0,0,7
10642,0,0,1,0,0,0,3,0
10645,25,17,9,10,2,8,90,68
10647,9,2,6,3,2,0,15,46
10648,1,2,0,1,0,1,5,0
10653,3,1,1,0,0,0,0,2
10671,13,5,3,3,1,3,31,34
10678,5,3,6,3,3,0,6,13
10705,3,5,5,1,4,3,23,11
10706,3,0,1,0,1,2,5,3
10707,2,4,4,1,3,1,15,7
10708,0,0,1,0,2,0,1,0
10710,4,1,3,0,4,2,6,7
10711,16,10,8,7,2,3,47,44
10713,15,9,8,7,2,2,45,41
10721,0,0,0,0,0,0,3,0
10722,6,3,0,0,0,0,6,7
10723,6,3,0,0,0,0,9,7
10724,3,1,0,0,0,0,3,5
10725,5,2,0,0,0,0,1,2
10727,3,1,0,1,0,0,3,5
10728,2,1,0,1,0,0,1,4
10729,1,0,0,0,0,0,0,3
10730,2,0,0,0,0,0,0,2
10731,3,0,3,0,1,1,4,11
10732,4,0,2,0,1,1,4,13
10734,1,0,0,1,0,0,2,0
10735,1,0,0,1,0,0,0,0
10736,9,2,0,1,0,1,3,10
10738,2,0,2,0,1,1,3,7
10741,6,2,0,0,0,1,2,4
10752,2,4,1,0,0,0,14,3
10754,0,0,0,0,0,0,1,1
10755,1,0,0,0,0,0,3,3
10756,0,0,0,0,0,0,0,0
10757,1,1,2,1,0,0,7,7
10758,2,1,0,1,0,1,6,1
10759,0,0,0,1,0,0,0,0
10760,1,1,0,0,0,0,2,3
10761,0,0,1,0,0,0,1,1
10764,2,0,1,0,0,0,0,5
10768,0,1,0,1,0,0,3,1
10777,4,1,1,0,0,0,1,8
10783,3,1,3,1,0,0,2,8
10785,2,0,3,0,0,0,3,5
10803,4,3,3,2,1,0,4,7
10812,2,2,2,2,0,0,0,1
10816,1,3,0,1,0,0,3,2
10823,1,0,0,0,0,0,2,2
10834,1,1,0,0,0,0,5,0
10845,1,1,0,1,0,0,8,7
10851,2,2,2,2,0,0,3,6
10852,0,1,2,2,0,0,2,2
10857,9,3,4,1,0,2,7,16
10859,10,10,3,4,0,4,15,12
10863,16,13,5,4,0,4,33,27
10866,0,1,0,0,0,0,1,2
10899,1,2,1,0,2,1,9,4
10933,5,2,2,2,1,0,7,25
10939,1,0,1,1,2,0,1,2
10943,3,1,3,0,0,0,0,6
10962,4,1,2,0,4,0,12,8
10963,3,1,1,0,2,1,1,0
11032,2,2,3,0,1,1,1,3
11046,2,2,4,1,0,0,1,4
11157,7,2,4,2,1,3,9,15
11189,3,1,1,0,0,1,2,2
11192,2,1,1,0,0,1,1,2
11193,1,0,0,0,0,0,1,0
11205,7,4,0,1,0,1,4,18
11231,6,5,5,1,2,1,4,9
11259,7,7,4,1,0,2,9,23
11266,2,1,3,2,0,0,6,12
11270,8,2,0,0,0,0,3,10
11305,24,8,9,4,0,3,16,37
11321,18,2,7,1,0,2,10,37
11336,1,1,0,0,0,0,0,1
11338,0,0,0,0,0,0,0,1
11341,7,3,2,0,0,1,0,9
11344,10,5,2,2,2,1,23,10
11348,2,1,1,0,0,1,3,8
11350,5,7,2,1,2,1,28,31
11352,11,7,10,1,3,1,25,13
11354,7,5,2,1,3,1,47,14
11387,1,1,0,2,0,1,5,11
11388,2,2,4,1,0,3,27,13
11389,9,5,9,3,1,5,67,61
11395,3,0,1,0,1,0,2,5
11397,4,0,4,1,3,0,9,12
11404,0,0,1,0,0,0,0,0
11407,8,6,3,3,0,2,1,1
11426,3,3,1,2,0,0,7,12
11433,2,1,1,1,0,0,0,6
11443,5,2,4,1,1,1,0,15
11454,5,7,3,1,0,0,9,13
11455,1,3,0,0,0,0,5,8
11461,3,2,2,1,0,1,10,13
11463,0,3,0,0,0,0,5,7
11488,1,3,1,1,0,0,4,6
11489,2,3,1,0,0,0,4,0
11498,0,1,0,0,0,0,1,3
11506,3,3,8,5,0,2,36,21
11510,3,4,9,5,1,2,37,23
11514,21,15,10,8,2,2,83,53
11515,12,8,6,5,1,3,81,36
11522,6,5,10,3,2,3,35,35
11541,7,5,7,3,3,3,32,34
11542,2,2,3,1,0,1,9,4
11557,2,2,0,1,0,0,2,8
11558,1,3,0,0,0,0,3,0
11569,1,2,2,1,0,0,3,7
11582,6,3,5,1,1,1,5,12
11598,0,0,2,2,0,1,5,3
11609,0,2,2,0,0,0,0,0
11667,12,13,4,4,3,2,25,10
11680,3,2,1,1,0,0,8,4
11688,0,1,0,0,0,0,1,1
11691,0,1,0,1,0,1,1,0
11712,0,0,0,0,0,0,0,3
11713,17,13,5,5,0,3,34,31
11731,10,10,5,7,2,6,85,23
11736,5,6,4,3,2,4,46,28
11737,5,6,4,4,3,3,48,30
11741,1,2,0,2,1,4,5,3
11743,11,12,7,7,1,7,97,21
11766,28,18,19,5,1,14,139,48
11786,2,0,0,0,0,1,2,3
11794,2,0,4,1,0,1,6,8
11798,3,2,3,2,0,1,13,11
11799,4,2,2,2,0,2,12,10
11838,1,2,1,1,1,1,7,1
11844,0,0,2,0,0,0,0,0
11845,0,0,2,0,0,0,0,1
11847,0,0,3,0,1,0,2,3
