edgeID,group1,group2,group3,group0,group4,group5,population,nullGroup
9,5,5,4,0,0,1,16,13
24,3,0,5,3,0,0,5,15
32,4,1,3,1,1,1,19,11
37,3,3,3,1,1,2,19,8
38,5,3,2,3,1,1,14,23
39,1,0,0,0,0,0,1,2
40,6,3,2,3,1,1,15,25
41,4,3,2,3,1,1,14,23
42,4,4,6,3,1,1,22,31
43,0,1,4,0,0,0,10,12
44,1,1,5,0,0,0,13,17
45,1,1,2,0,0,0,8,12
46,0,0,3,0,0,0,5,7
56,1,2,7,3,2,3,15,15
57,1,3,5,2,2,2,11,12
67,7,0,6,4,2,0,10,15
68,2,2,2,0,0,1,4,8
70,1,0,2,0,0,0,5,8
71,6,1,4,4,2,0,12,16
77,3,6,5,5,3,2,23,21
78,1,3,1,2,0,0,8,13
79,4,7,6,7,3,2,29,26
82,15,13,11,1,4,4,46,43
83,13,7,7,4,0,3,34,42
84,11,10,4,1,3,4,37,40
85,2,5,3,2,3,7,24,15
86,8,8,1,1,2,4,29,32
87,8,8,1,1,2,3,27,31
88,1,1,0,0,0,1,2,5
89,12,12,2,2,3,5,35,38
90,13,5,4,1,0,1,19,21
92,1,1,2,0,0,1,5,5
93,3,3,2,0,2,0,15,9
94,3,3,2,0,2,0,14,11
96,0,0,1,0,0,0,1,1
100,0,1,1,0,0,0,0,0
101,3,6,3,2,1,2,29,32
105,15,9,3,3,1,2,31,33
125,0,1,0,0,0,0,0,1
127,1,0,0,0,0,0,3,2
128,0,1,0,0,0,0,2,2
133,1,2,3,0,2,1,11,9
134,3,4,4,2,3,1,13,16
135,4,4,7,4,5,3,27,24
137,1,0,0,1,0,0,2,1
138,2,2,1,0,1,1,11,8
139,2,0,0,0,0,0,9,8
140,2,1,1,0,1,0,16,11
142,2,1,0,0,0,0,3,4
144,1,0,0,0,1,0,1,1
145,1,4,1,0,0,0,6,8
146,2,0,0,0,1,0,0,0
147,1,4,1,0,0,0,6,6
151,4,4,8,3,2,5,28,28
152,5,3,6,3,4,0,28,18
153,5,5,5,2,2,5,37,31
156,1,0,2,0,0,1,7,7
158,1,0,1,0,0,0,3,0
159,6,6,6,2,2,4,42,33
166,5,5,4,5,2,2,18,24
167,5,6,1,0,0,1,15,16
173,3,2,2,0,1,0,6,4
174,5,5,1,0,1,2,14,18
175,7,7,1,1,1,2,17,18
176,9,7,1,1,1,2,19,22
177,7,3,1,0,1,2,16,20
182,0,0,2,1,1,1,5,6
183,0,0,4,2,1,2,7,11
186,0,0,5,2,1,2,8,13
188,0,0,0,0,0,0,0,1
190,2,0,5,3,1,2,14,18
206,4,1,1,1,0,1,8,10
214,3,0,1,1,0,1,6,6
227,0,1,1,0,0,0,2,6
229,1,2,0,0,0,0,8,9
230,1,1,0,0,0,0,7,8
231,0,1,0,0,0,0,1,1
237,2,0,1,3,0,1,6,6
239,0,2,0,0,0,0,6,5
241,9,6,3,3,2,5,22,33
244,2,3,3,1,2,1,7,13
247,0,0,0,0,0,1,1,1
252,1,2,0,1,0,0,1,3
269,0,2,0,0,0,1,7,3
270,0,1,0,0,1,0,1,3
274,0,1,1,0,0,0,4,7
275,0,0,0,0,0,0,0,1
279,0,1,0,0,0,0,4,1
281,1,0,2,0,0,1,4,4
282,4,0,0,0,0,2,11,4
283,3,0,2,0,0,3,15,8
287,0,0,0,0,1,1,3,0
295,3,0,4,1,0,4,12,12
296,0,0,5,1,0,2,7,8
299,2,0,1,1,1,0,7,4
300,0,0,3,1,1,1,8,7
301,1,0,2,1,1,1,8,4
302,1,0,1,0,0,0,0,3
303,0,0,0,0,0,0,0,4
304,1,1,3,1,1,0,5,4
307,0,1,2,2,1,0,5,2
309,2,3,6,1,1,1,15,15
310,1,5,7,2,1,1,15,13
311,2,1,1,0,0,2,10,6
312,0,0,0,1,0,0,0,2
313,3,2,1,1,0,2,12,10
314,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0
329,1,1,0,0,0,0,3,1
331,1,0,1,0,1,0,3,2
332,4,1,4,1,2,3,17,15
333,3,1,3,1,1,3,14,13
334,1,1,3,2,2,1,10,12
340,3,0,2,0,0,3,10,8
341,5,0,7,1,0,3,14,8
343,3,0,3,2,0,2,7,8
345,1,3,1,1,0,3,7,5
349,1,0,4,1,1,1,12,6
350,9,0,4,2,1,4,19,14
351,8,0,4,1,0,3,11,10
352,1,0,3,0,1,1,5,6
353,0,0,5,1,2,2,13,10
354,0,0,1,1,1,1,10,6
355,1,1,2,1,4,1,7,8
356,1,1,1,1,1,0,6,3
357,0,0,1,2,3,1,11,5
362,1,2,4,2,0,0,14,10
365,1,2,3,1,1,1,8,11
366,5,3,1,3,0,3,16,29
368,1,1,0,0,1,1,9,7
369,9,2,3,2,1,5,14,10
370,13,6,8,2,2,7,33,31
371,7,3,5,0,2,5,18,24
372,0,2,3,0,1,2,4,8
373,0,1,1,0,1,1,2,7
374,2,2,0,0,0,1,7,6
375,2,1,2,0,0,0,5,7
377,0,0,0,4,0,1,4,6
378,0,2,3,4,1,1,8,10
380,2,0,0,2,0,0,8,9
381,0,0,3,4,1,3,13,9
388,1,1,4,3,4,1,21,16
393,9,4,9,3,4,1,35,28
394,11,7,11,4,3,6,33,37
395,4,1,5,2,0,2,13,9
396,5,6,7,5,1,5,32,27
398,6,2,5,1,1,1,18,14
400,3,2,5,4,5,0,25,21
401,1,1,4,3,4,1,18,15
402,2,1,3,3,3,1,15,12
403,2,0,1,2,0,1,2,2
404,5,4,4,1,2,5,18,23
405,7,5,5,1,2,5,22,25
406,6,3,3,1,1,0,15,14
407,4,1,5,2,0,1,22,16
408,14,7,8,3,1,8,39,33
409,15,5,8,2,2,7,33,30
411,4,2,2,2,1,3,10,23
413,14,7,8,3,1,8,31,26
424,0,1,1,0,2,1,6,9
427,6,2,5,3,3,3,12,18
428,2,0,0,2,0,2,2,8
429,4,2,8,3,1,1,16,12
430,5,6,6,5,2,5,26,25
431,3,4,8,1,1,4,19,18
434,1,0,1,0,2,0,6,6
435,1,0,1,0,0,1,4,8
436,7,2,5,1,1,1,17,13
437,5,2,3,0,1,1,15,11
443,3,3,7,1,1,3,17,17
445,0,1,2,0,0,0,6,1
447,1,1,4,1,4,3,8,11
448,4,2,8,0,2,5,12,15
452,0,0,0,0,0,0,0,0
469,0,2,0,0,1,3,5,13
482,0,1,1,0,0,1,2,4
483,2,0,0,0,1,0,5,7
485,2,0,0,0,2,0,5,6
490,1,1,3,4,3,1,15,16
491,1,1,6,4,2,2,15,10
493,1,2,7,3,2,3,9,12
495,0,1,4,3,3,1,14,12
496,2,1,1,1,0,2,6,7
503,5,0,2,3,2,0,10,5
504,4,1,7,4,2,2,24,22
505,7,1,9,7,3,3,34,25
506,4,6,2,2,0,4,25,22
511,3,5,4,1,5,9,38,35
512,2,3,2,2,0,0,9,10
517,1,2,0,0,0,0,4,5
519,1,0,0,0,0,0,0,0
531,3,2,1,1,0,0,9,7
536,19,4,6,1,1,4,27,29
547,0,0,0,1,0,0,1,5
558,2,2,1,1,0,1,12,15
560,1,4,0,0,0,2,4,4
565,12,3,9,1,3,2,30,26
567,6,2,3,2,1,2,24,31
592,0,0,0,0,0,0,0,0
593,1,1,0,0,0,0,3,5
595,0,1,0,0,0,0,2,1
597,0,1,0,0,0,0,2,1
609,2,0,0,0,0,0,2,1
612,0,0,0,1,0,1,4,1
615,2,1,0,0,0,0,3,2
616,0,0,0,0,0,0,1,1
617,2,1,0,0,0,0,4,3
622,1,1,2,1,1,1,11,9
626,3,0,1,0,0,0,4,6
627,2,0,1,0,0,0,3,5
629,1,0,1,0,0,0,2,2
633,1,3,0,1,1,2,6,4
634,2,2,2,1,0,3,8,10
635,2,2,0,2,1,1,7,8
637,1,3,0,0,0,1,3,3
642,7,5,7,2,1,3,24,26
646,7,5,5,2,0,2,25,25
647,0,0,2,0,1,3,7,5
648,7,5,5,2,0,2,23,24
651,0,0,0,0,0,0,2,1
652,5,2,2,2,0,1,11,8
653,12,5,3,4,0,1,20,20
658,4,1,0,2,0,2,10,7
659,4,1,0,2,0,1,16,10
660,2,2,0,0,0,1,16,15
661,0,0,0,0,0,0,2,2
665,0,1,1,0,0,0,2,4
668,0,0,0,0,0,0,2,0
669,0,0,0,0,0,0,1,2
671,0,0,0,0,0,0,1,2
672,2,0,1,0,0,1,11,9
677,1,2,0,1,0,1,3,3
678,1,1,0,1,0,0,2,3
679,1,2,0,0,0,0,4,0
680,1,3,0,0,0,0,4,1
690,1,1,3,0,4,3,10,9
692,1,2,1,1,0,0,7,5
695,0,2,3,0,2,5,8,12
699,7,2,5,1,1,2,14,24
700,2,1,0,3,1,1,6,9
701,5,1,5,2,2,1,8,23
702,6,2,4,4,2,1,11,20
703,0,0,3,2,0,0,5,9
707,3,2,3,2,1,2,11,17
708,4,3,6,5,1,5,20,32
715,5,7,4,2,3,0,22,14
721,5,1,2,1,1,2,9,10
723,5,0,1,1,0,0,6,6
724,4,0,1,0,0,0,5,5
726,4,0,0,1,0,0,4,6
732,0,0,1,0,0,1,0,2
734,0,0,1,0,0,1,0,1
737,3,1,1,0,0,0,1,1
738,5,2,1,0,0,0,5,4
741,4,5,2,4,0,2,18,19
742,4,2,3,1,0,1,7,13
743,1,3,1,3,0,1,14,17
744,6,8,10,6,5,4,47,41
746,3,1,3,1,1,1,11,18
747,4,7,6,7,3,2,28,24
752,5,3,2,3,1,1,12,13
753,5,1,0,2,0,1,2,4
754,0,2,2,1,1,0,10,9
759,4,2,3,2,0,1,10,7
761,1,0,1,0,0,0,1,1
768,0,0,1,2,2,0,17,6
770,17,5,7,6,2,2,36,28
776,1,0,1,1,0,0,4,4
777,1,2,3,0,1,0,10,9
784,1,2,3,2,3,1,8,17
785,5,7,4,2,3,0,22,14
786,3,4,3,3,3,1,11,15
787,3,5,5,0,4,0,18,13
788,4,1,0,2,0,2,11,7
812,3,3,2,2,1,2,12,19
813,5,3,3,2,1,3,18,29
822,1,0,0,0,0,0,6,3
825,0,0,0,0,0,0,0,1
826,1,0,1,0,0,0,5,3
827,1,0,1,0,0,0,5,2
829,1,0,0,0,0,0,1,4
830,1,0,0,0,0,0,1,3
831,2,0,1,0,0,0,3,4
832,0,0,1,0,0,0,1,0
836,2,0,2,0,0,3,8,5
837,0,0,0,0,0,1,4,1
838,3,0,1,2,0,1,5,2
839,4,0,2,4,1,2,14,6
842,0,0,4,1,1,1,9,8
843,0,0,1,0,1,1,2,4
844,0,0,0,0,0,1,3,5
847,3,0,3,2,1,1,9,8
848,5,0,4,2,0,4,9,12
849,3,0,1,3,0,1,6,6
850,2,0,3,0,0,3,6,7
851,2,0,0,1,0,0,10,6
852,3,0,1,4,1,2,16,13
853,3,0,1,3,1,2,8,7
854,2,0,2,3,0,2,10,7
855,2,0,2,5,1,3,19,11
856,0,0,0,0,0,1,2,2
857,0,0,1,2,1,2,12,7
859,0,0,3,2,1,1,10,7
860,0,0,2,1,0,1,3,2
861,3,0,4,3,0,3,13,11
864,0,0,2,2,0,0,5,3
870,1,1,3,0,1,0,13,9
871,2,0,2,1,1,0,11,9
872,2,1,3,0,1,0,3,5
873,1,2,4,1,1,0,11,9
877,2,0,1,0,1,0,8,10
878,2,1,2,0,1,0,6,7
879,2,1,2,0,0,0,5,6
880,2,0,0,1,0,0,2,2
881,3,0,0,1,0,0,5,4
882,1,0,0,0,0,0,3,2
883,3,0,0,2,0,0,6,5
885,0,1,0,0,0,0,1,1
890,1,0,0,4,0,0,6,6
893,6,4,8,4,1,2,28,32
899,11,10,1,2,3,4,32,34
900,7,2,2,1,1,3,23,21
918,0,0,0,0,0,0,2,3
922,2,2,1,0,0,2,7,6
925,2,1,1,0,0,1,8,5
930,1,0,0,0,0,1,0,0
942,6,3,2,0,0,0,7,5
943,1,1,1,0,0,0,3,2
944,1,1,0,0,0,0,4,4
945,2,0,1,0,0,0,3,2
946,4,2,1,0,0,0,5,5
947,4,2,3,0,0,0,5,6
948,0,0,2,0,0,0,2,1
951,5,3,3,0,0,0,9,10
952,2,1,0,0,0,0,3,2
965,0,0,0,0,0,1,5,2
966,4,2,9,4,2,1,26,22
967,0,0,2,2,1,0,4,1
968,3,0,0,0,1,1,5,7
969,3,2,7,2,2,2,19,20
974,4,3,3,4,4,6,18,22
975,10,10,2,2,1,4,34,33
976,14,11,1,2,5,4,32,43
978,0,0,2,0,0,0,5,4
988,1,0,0,3,0,0,7,2
990,0,0,0,0,0,0,0,0
999,4,3,5,1,0,2,12,10
1008,6,3,5,2,2,0,14,14
1009,1,1,0,1,0,0,3,2
1010,0,0,0,1,0,0,2,1
1014,0,1,4,2,2,0,8,10
1030,5,2,1,2,1,0,14,11
1037,14,7,7,4,2,5,24,28
1039,14,8,11,5,2,7,40,46
1042,0,0,0,0,0,0,0,1
1052,0,0,2,0,0,0,5,3
1053,3,1,5,0,0,0,10,10
1054,3,1,2,0,0,1,7,5
1058,1,0,1,0,0,0,2,3
1060,4,1,1,0,0,1,7,6
1063,1,2,1,2,3,1,9,15
1064,0,0,1,0,0,0,0,3
1066,0,1,0,0,0,0,3,1
1067,3,5,3,1,2,2,16,19
1069,5,5,0,0,1,0,14,12
1070,5,7,2,2,0,4,26,25
1083,5,4,6,3,3,4,19,20
1084,4,1,3,1,3,2,10,13
1085,5,4,7,2,4,2,26,18
1086,6,2,2,3,1,2,16,16
1087,3,2,2,2,0,5,10,8
1088,4,5,2,4,0,5,12,17
1089,5,3,2,1,1,2,10,7
1091,1,0,2,2,1,0,8,11
1093,0,2,2,0,2,4,5,14
1094,1,2,4,4,1,1,9,9
1095,1,2,6,4,3,3,12,21
1096,1,0,1,0,0,0,6,3
1097,1,0,1,0,0,0,6,4
1098,0,0,0,0,0,0,0,1
1099,7,2,1,3,1,2,16,15
1100,7,2,1,2,1,2,14,13
1101,0,0,2,1,0,0,4,2
1102,4,3,9,3,2,5,28,30
1103,3,4,7,4,2,6,29,27
1104,1,1,6,1,0,1,5,9
1105,3,0,1,0,0,0,8,3
1108,0,0,1,0,0,1,0,2
1110,7,2,2,2,1,3,14,15
1111,3,3,6,4,2,6,28,26
1112,3,3,7,4,3,7,28,29
1113,0,0,1,3,0,1,4,7
1114,1,0,0,0,0,0,1,2
1115,3,2,4,3,2,4,13,20
1116,5,2,3,3,1,3,10,18
1117,1,1,3,1,0,0,9,7
1119,6,3,6,4,1,3,19,21
1120,4,2,7,4,2,2,31,20
1122,7,3,9,8,4,9,43,33
1132,8,1,9,9,3,4,38,27
1136,1,0,3,3,0,1,8,12
1137,7,5,5,2,3,0,11,14
1138,6,2,3,3,2,3,16,16
1139,6,2,2,2,1,3,10,14
1140,2,0,1,1,1,0,6,2
1144,3,0,1,0,0,0,8,3
1150,1,1,3,2,0,0,7,7
1153,2,1,1,0,0,1,5,12
1154,2,1,1,0,0,1,5,11
1158,5,2,3,2,1,3,12,14
1165,2,1,2,3,1,2,8,10
1169,2,0,3,1,0,1,8,3
1170,4,0,2,0,1,0,3,5
1174,2,2,1,3,1,2,4,10
1175,5,3,4,1,2,2,12,20
1177,2,3,1,0,1,2,14,5
1179,13,10,6,2,3,3,33,32
1189,6,4,0,1,0,2,14,7
