edgeID,group2,group3,group4,group1,group5,group6,population,nullGroup
9,8,4,6,1,2,1,23,21
24,1,1,5,1,0,2,5,15
32,5,1,2,2,0,4,21,13
37,12,2,1,3,0,3,22,11
38,7,4,2,1,2,6,21,24
39,1,1,1,0,0,1,6,3
40,6,3,1,1,2,5,17,25
41,5,3,1,1,2,5,15,23
42,5,4,2,1,4,5,20,27
43,1,1,1,0,2,2,8,5
44,2,2,1,1,2,3,13,12
45,1,1,1,0,2,2,9,6
46,1,1,0,1,0,1,6,8
56,7,4,2,0,0,1,19,20
57,6,0,4,0,0,1,15,16
67,5,3,3,0,0,4,15,12
68,4,3,3,1,0,1,10,7
70,1,2,0,1,0,1,8,10
71,4,5,3,1,0,4,18,15
77,5,3,5,5,4,6,28,25
78,6,2,2,1,1,0,14,12
79,7,3,7,6,5,6,38,29
82,18,9,15,5,4,4,48,41
83,13,5,6,6,2,8,45,35
84,14,5,5,7,2,8,50,37
85,7,4,6,4,0,6,29,22
86,10,5,4,1,3,2,33,28
87,9,5,4,1,2,2,32,25
88,3,0,0,0,1,0,3,5
89,15,8,3,8,3,11,44,39
90,10,3,3,5,1,5,20,20
92,1,0,0,0,0,0,3,4
93,2,4,3,0,0,0,10,13
94,1,4,3,0,0,0,10,14
96,0,0,0,0,0,0,0,2
100,0,0,0,0,0,0,0,2
101,7,11,5,1,2,2,26,35
105,16,10,14,5,4,2,39,48
125,1,1,0,0,1,0,2,5
127,2,0,0,0,0,0,4,2
128,3,1,0,0,1,0,4,5
133,1,4,2,3,1,2,8,13
134,1,2,4,1,1,1,11,15
135,2,6,3,4,4,4,19,28
137,0,0,1,0,0,0,2,4
138,1,4,4,3,1,1,10,15
139,2,0,3,1,0,0,11,6
140,1,4,2,4,1,2,12,11
142,1,0,1,1,0,0,2,5
144,0,0,2,0,1,0,5,8
145,0,1,2,1,1,0,6,9
146,0,0,1,1,0,0,3,1
147,0,0,1,0,0,0,1,1
151,4,4,7,5,4,2,36,29
152,5,6,5,6,3,2,25,19
153,3,4,6,5,5,2,27,28
156,1,0,0,0,0,0,5,5
158,0,0,0,0,1,0,3,3
159,6,7,6,5,6,2,31,32
166,6,8,2,0,1,2,22,19
167,4,5,3,1,0,1,20,19
173,0,0,1,1,0,0,1,4
174,5,3,1,0,0,3,15,11
175,5,4,2,0,1,1,11,11
176,6,4,3,0,2,1,11,12
177,4,3,2,0,1,5,15,14
182,0,1,6,1,0,0,5,7
183,3,3,4,0,0,1,9,9
