edgeID,group2,group3,group4,group1,group5,group6,population,nullGroup
9,4,3,5,3,0,2,13,20
24,1,1,2,0,0,0,7,14
32,6,7,4,2,0,3,16,17
37,6,7,2,1,0,4,20,19
38,5,6,4,3,1,1,23,25
39,0,1,0,1,1,0,3,4
40,5,5,4,4,0,1,22,25
41,5,4,4,2,0,0,20,22
42,8,4,6,3,0,0,25,24
43,5,2,2,0,0,0,10,7
44,7,4,2,0,0,1,12,13
45,5,2,1,0,0,1,6,8
46,2,2,2,0,0,0,7,4
56,7,5,2,3,0,2,9,16
57,5,6,2,0,0,2,13,16
67,4,1,2,0,0,4,10,13
68,4,0,0,1,0,1,4,7
70,2,2,2,0,0,0,7,5
71,5,3,4,1,0,4,17,14
77,3,1,5,4,2,2,21,10
78,2,0,2,1,0,1,8,11
79,5,1,7,5,2,3,27,17
82,13,6,10,5,0,7,36,41
83,11,11,7,3,0,4,34,30
84,10,11,7,3,2,5,32,30
85,1,2,6,2,1,3,13,21
86,8,7,6,2,1,1,22,19
87,9,5,5,2,1,1,22,17
88,2,2,1,0,0,0,3,7
89,11,11,7,3,3,3,44,37
90,8,6,2,0,1,2,25,16
92,2,1,2,0,0,0,5,5
93,5,1,4,0,0,2,13,18
94,3,0,5,0,0,2,15,18
96,0,0,1,0,0,0,3,2
100,0,1,0,0,0,0,4,1
101,4,6,8,1,2,5,23,23
105,18,9,6,5,4,2,47,36
125,0,0,0,1,0,0,0,1
127,0,0,1,0,0,0,1,4
128,0,0,1,1,0,0,1,5
133,3,0,2,0,0,2,4,5
134,4,0,5,3,1,0,15,14
135,7,0,9,3,1,2,21,21
137,0,0,0,0,0,1,4,2
138,3,0,2,0,1,3,5,8
139,3,0,1,1,0,3,3,5
140,4,0,2,0,1,4,7,5
142,2,0,0,1,0,0,0,3
144,3,0,0,0,1,1,3,5
145,3,0,1,1,0,1,4,4
146,0,0,0,1,1,0,0,3
147,0,0,1,0,0,0,1,2
151,4,3,11,5,2,6,42,34
152,6,2,6,3,3,2,25,25
153,7,1,9,2,1,8,26,26
156,4,1,0,2,0,0,5,6
158,1,0,0,1,0,0,0,2
159,9,6,10,1,1,8,36,37
166,9,6,6,1,0,1,19,20
167,3,5,3,1,1,1,17,14
173,1,0,0,0,0,0,4,6
174,7,3,1,1,0,3,14,17
175,4,3,4,1,1,0,18,18
176,5,3,5,2,1,1,21,21
177,2,3,2,2,0,3,16,17
182,2,1,1,0,1,3,7,7
183,5,3,1,1,0,2,12,10
186,4,3,1,1,0,2,13,11
188,1,0,0,0,0,0,1,1
190,5,5,4,4,0,2,17,18
206,0,2,1,0,1,0,11,7
214,0,0,0,0,1,0,3,2
227,3,0,0,0,1,0,5,3
229,0,0,0,0,0,0,1,0
230,0,0,0,0,0,0,1,0
231,0,0,0,0,0,0,0,0
237,2,2,0,1,1,1,5,5
239,4,1,0,3,1,0,6,4
241,9,4,5,2,0,3,24,29
244,6,1,2,1,0,2,10,11
247,0,0,0,0,0,0,0,0
252,1,1,0,0,0,0,2,1
269,1,1,0,0,0,0,4,3
270,1,0,0,0,0,0,0,0
274,4,2,1,0,0,0,3,7
275,0,0,0,1,0,0,1,2
279,1,0,0,0,1,0,3,1
281,0,0,0,0,0,0,1,0
282,2,2,2,1,0,3,11,8
283,3,2,3,1,0,3,14,10
287,1,0,0,0,1,0,5,1
295,1,2,1,1,0,1,13,15
296,0,2,0,0,0,0,9,13
299,1,0,1,0,0,1,5,2
300,1,2,0,0,0,0,10,13
301,1,1,0,0,0,0,8,10
302,2,2,0,0,0,0,2,3
303,0,1,0,0,0,0,2,4
304,6,1,0,1,1,0,8,10
307,3,0,2,0,1,1,4,7
309,5,1,3,0,3,1,12,14
310,3,1,4,1,3,0,13,14
311,6,1,1,1,0,0,9,7
312,0,0,0,0,0,0,0,0
313,6,1,1,1,0,0,9,7
314,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0
329,0,1,0,1,0,0,3,3
331,0,1,1,0,0,0,6,5
332,4,4,3,1,1,1,20,22
333,4,3,2,1,1,1,14,17
334,2,1,2,1,1,2,11,19
340,3,0,1,1,0,5,12,5
341,4,0,1,2,1,4,11,7
343,1,1,0,1,1,0,7,8
345,2,2,1,0,1,0,5,6
349,2,1,0,0,0,0,7,7
350,5,2,1,1,0,6,15,12
351,3,1,1,1,0,5,11,8
352,1,1,0,0,0,0,6,6
353,4,1,3,0,0,1,12,11
354,3,0,3,0,0,0,7,6
355,3,2,2,1,0,0,12,10
356,2,1,1,2,0,0,8,6
357,3,1,2,1,0,0,5,5
362,5,0,2,0,2,0,11,9
365,3,2,1,1,0,1,6,6
366,5,2,2,0,1,1,11,12
368,5,2,3,0,0,2,12,8
369,6,4,2,1,1,4,22,15
370,11,8,4,1,1,5,27,33
371,7,4,3,0,2,3,18,25
372,4,2,1,0,0,0,4,10
373,1,0,1,0,0,0,0,4
374,4,1,0,0,0,1,6,7
375,5,1,0,1,0,1,9,8
377,1,0,2,0,0,0,3,4
378,6,1,3,0,0,0,7,12
380,2,0,3,1,1,0,4,4
381,4,1,3,0,0,1,7,9
388,4,4,5,3,1,0,13,14
393,6,6,8,4,2,6,21,28
394,7,5,8,1,1,6,28,34
395,1,3,4,1,1,2,12,10
396,6,5,8,2,2,4,24,21
398,2,2,4,1,2,4,12,20
400,4,4,6,4,0,2,17,17
401,3,4,5,3,0,0,10,14
402,1,0,1,0,0,2,8,4
403,2,0,1,1,0,0,2,0
404,6,5,3,0,2,3,20,24
405,8,5,4,1,2,3,18,24
406,8,2,0,1,1,0,15,13
407,7,2,1,1,0,1,10,14
408,18,9,3,3,0,5,28,31
409,11,7,4,1,1,5,26,31
411,7,3,1,2,0,3,18,18
413,13,7,3,3,1,4,30,30
424,2,0,2,1,0,1,13,17
427,3,0,1,0,3,1,11,16
428,0,0,3,0,1,0,5,3
429,3,1,1,0,2,1,12,14
430,6,6,7,4,3,4,30,25
431,5,5,7,4,3,3,27,26
434,2,1,0,1,1,2,2,8
435,1,0,2,0,0,1,2,4
436,2,1,4,1,2,4,11,21
437,1,1,4,1,1,1,9,19
443,5,5,6,3,3,3,22,19
445,0,0,0,0,1,1,3,3
447,2,3,3,2,3,1,14,13
448,7,2,6,3,3,3,21,19
452,0,0,0,0,0,0,0,0
469,2,0,3,4,1,0,14,12
482,1,0,2,0,0,0,2,3
483,2,1,1,0,1,0,7,11
485,1,1,0,0,1,0,6,11
490,1,1,2,0,1,0,7,9
491,5,3,3,0,1,0,7,10
493,5,1,3,0,0,0,8,5
495,0,2,4,0,1,0,9,5
496,3,1,0,0,0,0,2,3
503,4,1,2,0,0,2,7,9
504,0,1,6,5,4,5,24,29
505,4,2,8,3,5,7,32,35
506,5,2,9,0,1,1,9,16
511,5,10,9,3,2,6,27,33
512,6,4,2,1,1,4,13,7
517,2,6,1,0,0,0,9,5
519,0,0,0,0,0,0,0,0
531,3,0,2,0,2,0,11,12
536,6,4,5,3,5,5,31,30
547,0,0,1,0,0,0,2,3
558,4,3,1,2,1,1,8,11
560,4,1,0,0,0,0,10,5
565,8,4,3,3,2,1,18,22
567,8,5,1,1,0,4,27,29
592,0,0,0,0,0,0,0,0
593,1,5,0,0,0,0,9,3
595,0,0,0,0,1,0,0,1
597,0,0,0,0,1,0,0,1
609,0,1,1,2,0,0,4,0
612,2,0,2,0,0,0,1,3
615,2,1,1,0,0,0,3,5
616,1,0,1,1,0,0,2,0
617,3,1,0,1,0,0,5,5
622,1,2,5,2,1,2,13,23
626,1,1,2,0,0,0,5,8
627,1,1,2,0,0,0,5,9
629,0,0,0,0,0,0,2,2
633,2,1,0,0,0,1,8,9
634,4,1,1,0,2,1,12,13
635,3,1,1,0,0,1,14,16
637,2,2,1,0,0,1,12,11
642,11,5,4,3,2,4,29,28
646,11,5,4,3,2,4,27,28
647,0,1,0,0,0,0,3,1
648,11,5,4,3,2,4,27,28
651,0,0,0,0,0,0,0,2
652,5,4,1,0,2,0,8,10
653,10,3,3,3,0,4,23,22
658,3,1,2,1,2,1,7,8
659,6,2,1,1,0,0,7,10
660,3,2,1,2,2,1,5,7
661,0,0,0,0,0,0,2,0
665,1,0,0,0,0,0,0,4
668,1,0,0,0,0,0,1,0
669,1,0,0,1,0,0,2,1
671,0,0,0,1,0,0,1,1
672,6,1,1,1,0,0,8,6
677,0,0,0,0,0,0,1,1
678,1,1,0,0,0,0,2,1
679,0,0,0,0,0,0,2,2
680,0,0,0,0,0,0,1,4
690,1,4,2,2,3,0,15,12
692,1,0,1,0,2,1,2,6
695,0,1,1,2,4,1,9,8
699,4,2,5,1,3,2,14,17
700,1,0,2,1,2,0,4,3
701,3,2,5,2,1,2,12,14
702,5,3,8,3,1,1,14,9
703,2,1,3,1,0,1,4,5
707,3,3,4,2,0,1,12,7
708,3,4,7,3,1,6,33,33
715,5,3,5,5,1,1,24,32
721,5,1,4,0,1,1,11,10
723,2,3,3,0,0,1,8,5
724,4,1,3,0,0,0,8,3
726,2,2,0,0,0,1,2,2
732,0,0,0,0,0,0,1,2
734,0,0,0,0,0,0,0,1
737,0,1,1,0,0,0,4,2
738,4,2,1,1,0,0,6,6
741,2,2,5,2,1,2,15,15
742,1,0,2,1,1,2,12,13
743,1,2,5,1,0,2,11,6
744,11,1,13,8,3,6,37,30
746,1,0,4,1,0,0,15,12
747,6,1,8,6,2,4,24,18
752,5,7,4,0,0,1,13,18
753,3,5,1,0,0,1,9,7
754,3,4,3,0,0,0,5,12
759,4,4,0,0,2,0,7,11
761,0,0,0,0,0,0,1,3
768,2,0,3,1,0,0,5,3
770,5,7,7,1,2,5,21,31
776,0,0,2,0,0,0,2,6
777,2,3,3,0,0,0,5,8
