edgeID,group1,group2,group3,group0,group4,group5,population,nullGroup
9,21,22,14,12,7,13,92,90
24,23,8,8,6,3,6,46,81
32,10,3,6,4,1,6,39,32
37,6,6,2,2,2,5,14,15
38,28,15,14,7,6,9,110,46
39,5,2,2,0,3,0,4,17
40,26,15,11,7,7,9,106,43
41,25,14,11,7,7,9,101,39
42,28,15,16,7,5,11,103,59
43,6,5,7,4,2,2,9,25
44,9,6,8,3,2,3,13,32
45,9,3,7,2,1,2,13,31
46,2,2,2,1,1,1,0,1
56,10,9,8,12,3,14,75,33
57,10,7,7,10,2,11,75,25
67,14,7,7,7,5,3,11,42
68,9,3,6,2,1,1,2,35
70,3,4,2,2,1,1,2,1
71,17,10,9,7,5,2,15,45
77,16,9,26,14,5,17,74,70
78,10,6,17,4,2,4,8,53
79,18,7,29,12,5,17,66,79
82,48,33,32,22,15,18,155,144
83,35,35,21,9,10,13,123,115
84,32,36,26,9,11,9,79,115
85,13,9,14,7,6,8,53,45
86,16,14,14,4,6,10,37,67
87,11,11,11,3,7,10,30,61
88,5,3,4,1,1,0,6,5
89,32,31,21,8,13,10,43,107
90,22,24,11,3,2,5,43,55
92,9,7,4,1,0,0,7,22
93,15,8,5,2,5,4,42,26
94,15,8,3,4,4,4,43,35
96,1,3,1,0,0,1,0,8
100,2,8,1,0,0,1,11,13
101,32,29,25,11,11,19,223,86
105,49,34,19,10,5,11,130,129
125,0,1,2,0,0,0,0,3
127,4,1,2,1,0,1,1,2
128,5,2,4,1,0,1,2,6
133,8,5,6,7,2,5,7,35
134,14,5,8,4,2,3,58,16
135,22,10,12,12,6,8,64,54
137,0,0,3,0,0,2,9,4
138,9,5,9,4,3,5,3,40
139,5,2,8,2,1,1,6,24
140,10,6,11,4,1,4,2,52
142,4,1,4,1,0,2,1,6
144,1,2,3,2,0,0,19,9
145,4,5,7,2,0,2,21,23
146,0,1,2,0,0,1,2,0
147,5,4,4,0,0,1,4,14
151,29,18,42,15,9,27,59,167
152,31,13,28,7,4,14,10,150
153,18,12,34,12,5,13,54,92
156,10,6,9,2,3,3,8,29
158,3,2,5,2,2,3,5,19
159,27,18,32,15,5,11,61,105
166,27,27,8,4,1,6,47,59
167,24,22,9,4,7,8,143,50
173,9,2,2,3,1,2,20,15
174,19,10,8,4,2,2,60,34
175,14,11,10,4,4,1,28,52
176,11,12,9,4,5,2,28,54
177,17,10,7,4,3,2,59,37
182,4,1,4,0,3,6,14,14
183,18,11,7,2,3,4,37,29
186,20,13,8,2,4,4,44,32
188,1,2,1,0,1,0,6,2
190,22,15,7,6,6,4,62,46
206,10,5,10,2,2,4,50,27
214,7,3,5,0,0,3,29,17
227,4,4,0,1,0,3,17,6
229,2,0,0,1,0,1,18,0
230,3,1,0,1,0,2,17,2
231,0,0,0,1,0,0,3,2
237,3,0,3,2,0,1,5,5
239,5,6,8,6,3,3,6,24
241,31,26,16,10,8,8,226,66
244,17,7,6,3,2,4,39,47
247,1,0,1,1,0,0,1,2
252,2,3,1,0,0,0,7,0
