edgeID,group1,group2,group3,group0,group4,group5,population,nullGroup
9,28,27,14,7,11,8,97,105
24,14,12,9,5,2,7,49,81
32,6,4,5,3,2,5,38,24
37,9,7,9,4,4,3,9,16
38,21,19,18,9,5,9,104,45
39,4,2,3,3,0,5,12,18
40,21,19,16,10,5,12,103,38
41,21,18,15,8,5,12,100,35
42,20,19,18,7,5,12,107,58
43,13,9,5,3,2,4,21,31
44,17,10,7,6,2,3,20,36
45,11,6,6,4,2,2,20,36
46,6,1,1,2,0,1,1,3
56,8,16,5,4,4,7,70,44
57,11,13,4,4,4,7,72,38
67,16,6,10,8,4,7,11,40
68,10,5,5,2,2,0,7,26
70,6,3,1,2,0,1,3,2
71,21,10,9,9,4,8,17,45
77,23,12,22,12,10,9,66,78
78,8,11,12,2,4,1,9,37
79,24,16,22,10,6,11,62,90
82,45,46,35,10,18,16,151,173
83,40,26,22,16,7,19,130,101
84,38,24,23,15,6,18,72,97
85,15,8,20,10,8,13,66,48
86,25,12,13,10,4,11,31,63
87,18,10,12,8,5,8,18,54
88,9,2,1,1,1,3,12,8
89,37,27,26,16,7,14,44,101
90,17,19,9,3,1,6,32,44
92,9,5,1,4,1,2,8,22
93,17,7,10,5,1,0,30,18
94,11,10,12,6,1,1,30,30
96,1,3,2,1,0,0,1,12
100,1,5,3,1,0,0,6,11
101,42,29,33,11,14,14,212,92
105,59,37,20,15,12,14,150,132
125,2,1,0,0,0,0,2,2
127,1,1,1,0,0,0,1,2
128,3,3,1,0,0,0,4,5
133,9,3,5,4,2,3,6,42
134,5,7,7,8,2,6,54,14
135,15,10,15,13,4,8,60,64
137,1,1,4,1,1,2,10,3
138,10,4,8,5,3,3,7,46
139,2,7,7,0,3,1,7,20
140,10,8,8,5,3,5,5,53
142,2,3,4,1,2,0,1,9
144,2,6,4,1,1,3,17,7
145,4,8,6,1,2,5,13,25
146,2,2,1,0,1,0,2,1
147,4,5,1,0,0,1,0,19
151,26,17,32,9,9,26,54,144
152,30,13,26,8,8,14,10,136
153,16,15,24,9,13,16,55,97
156,7,4,7,2,4,2,14,37
158,2,2,5,1,2,0,6,27
159,20,20,25,7,12,13,53,111
166,24,14,10,2,4,3,26,40
167,23,16,19,6,4,12,140,53
173,4,5,6,0,2,2,13,9
174,11,12,9,4,3,2,54,35
175,19,10,9,3,4,6,20,45
176,16,11,9,4,6,4,22,51
177,6,13,11,5,3,0,56,39
182,1,2,6,3,1,3,14,16
183,16,7,9,4,4,6,43,39
186,20,8,10,4,5,6,47,41
188,6,1,1,2,1,0,4,2
190,23,9,13,6,5,10,64,48
206,9,5,5,2,2,3,35,29
214,8,2,5,1,1,1,15,16
227,7,3,1,0,0,0,15,8
229,4,2,1,1,0,0,7,3
230,4,2,1,1,0,0,7,3
231,0,1,0,0,0,0,1,1
237,8,2,4,2,0,2,5,1
239,7,1,7,1,2,2,1,16
241,32,28,22,10,1,12,261,70
244,18,9,17,3,4,3,42,56
247,1,0,0,0,0,0,2,3
252,1,2,0,2,0,1,11,0
269,4,3,2,1,2,1,4,17
270,2,1,0,1,0,0,6,0
274,4,6,2,3,1,1,27,11
275,2,2,1,0,1,0,9,4
279,0,1,0,1,1,2,1,1
281,0,3,0,1,0,0,4,0
282,5,1,2,0,2,2,3,19
283,5,4,2,2,2,2,6,20
287,3,2,0,0,0,0,2,2
295,16,7,8,1,5,1,14,26
296,9,6,5,1,1,1,13,16
299,6,3,5,0,0,1,15,7
300,9,5,8,1,0,1,19,30
301,6,3,8,1,0,0,20,23
302,7,1,3,1,0,1,4,1
303,5,1,2,1,0,1,2,9
304,7,3,13,2,2,2,27,27
307,9,3,13,4,1,3,32,23
309,21,7,13,7,3,5,42,53
310,26,9,12,11,5,7,45,71
311,10,3,1,1,0,0,0,14
312,0,0,0,0,0,0,1,0
313,11,2,1,1,0,0,1,12
314,0,0,0,0,0,0,0,0
324,0,0,0,0,0,1,0,0
329,2,0,1,1,0,0,7,0
331,2,7,5,1,3,1,10,5
332,11,16,14,7,5,6,57,59
333,10,11,7,6,2,5,48,53
334,5,12,10,7,2,6,52,48
340,6,6,11,5,4,2,4,26
341,14,5,12,4,4,4,28,32
343,7,4,5,1,0,2,23,25
345,6,4,8,4,0,1,1,11
349,13,6,8,2,5,1,9,52
350,18,7,17,7,10,3,7,64
351,9,5,11,5,5,2,8,18
352,6,6,6,1,3,0,5,34
353,13,6,13,3,6,4,6,56
354,7,0,7,2,3,4,1,22
355,15,9,10,4,6,3,8,49
356,10,7,9,2,3,2,7,39
357,5,2,4,2,3,3,6,23
362,22,5,11,4,4,2,37,49
365,16,8,10,2,4,1,28,43
366,26,15,7,4,3,7,157,25
368,8,1,3,2,2,3,31,21
369,13,0,5,2,2,5,31,28
370,17,12,16,6,3,16,121,36
371,18,12,15,6,3,12,115,43
372,6,2,3,1,0,2,0,10
373,5,1,2,1,0,2,3,15
374,7,1,2,2,1,2,17,17
375,7,3,2,2,1,2,11,15
377,2,0,3,0,2,4,3,7
378,7,3,4,1,2,4,5,19
380,5,1,2,2,3,5,2,11
381,8,1,7,5,2,7,15,48
388,11,4,13,9,6,6,83,63
393,15,5,24,9,6,9,98,53
394,13,13,26,7,6,11,78,68
395,7,0,6,5,1,3,48,23
396,9,10,20,7,2,7,39,53
398,7,1,8,2,1,2,15,21
400,12,7,21,14,9,6,101,52
401,6,3,14,9,6,4,85,36
402,9,4,13,7,5,7,38,18
403,3,0,2,0,0,1,0,6
404,17,11,16,5,4,10,112,42
405,18,11,17,5,4,11,111,39
406,26,7,15,5,2,7,33,48
407,22,10,13,4,4,3,41,47
408,34,17,19,7,3,11,109,55
409,18,12,16,6,3,15,120,37
411,20,15,8,6,1,12,196,25
413,31,15,15,6,1,8,74,52
424,6,1,8,3,5,6,27,19
427,3,4,11,6,2,3,13,42
428,4,2,8,4,2,5,17,19
429,3,4,10,2,2,3,18,33
430,9,10,21,10,3,11,38,65
431,9,6,17,10,1,8,27,51
434,2,2,7,2,2,1,10,15
435,3,0,6,2,2,7,20,11
436,7,1,8,1,1,3,14,21
437,4,3,6,1,1,1,5,25
443,9,6,14,10,1,9,24,60
445,0,0,5,3,1,4,12,0
447,9,5,13,11,3,12,11,51
448,10,5,18,8,2,8,14,64
452,1,0,0,0,0,1,1,0
469,8,2,11,9,5,9,55,56
482,5,1,1,1,0,3,4,14
483,7,4,5,0,3,1,5,29
485,8,3,6,0,3,1,5,25
490,7,2,5,4,2,1,3,20
491,5,1,5,3,2,5,9,18
493,13,5,7,4,2,2,2,47
495,10,4,9,3,2,3,10,52
496,10,3,3,3,1,4,6,10
503,4,2,9,3,1,4,11,31
504,14,4,35,8,11,14,46,96
505,18,6,40,10,12,18,60,130
506,23,13,25,12,9,8,101,79
511,55,31,35,15,16,23,203,142
512,25,7,18,4,3,6,25,38
517,7,9,5,2,0,0,14,6
519,1,0,0,0,0,0,0,1
531,7,6,1,3,1,0,9,16
536,27,8,18,4,1,15,62,109
547,0,0,2,1,1,1,8,0
558,10,9,9,5,2,6,29,35
560,11,8,3,4,2,3,32,17
565,26,6,23,11,4,11,154,70
567,27,18,19,11,2,11,224,46
592,1,1,1,1,0,0,0,0
593,0,5,1,1,0,0,0,7
595,4,2,2,0,0,0,1,7
597,5,4,3,1,0,0,4,8
609,1,1,0,0,0,0,1,0
612,1,2,2,0,1,1,5,4
615,3,1,3,0,0,0,2,2
616,0,1,1,0,0,0,0,1
617,3,2,2,0,0,0,2,1
622,16,4,8,4,3,5,37,62
626,9,1,3,2,0,0,18,25
627,11,1,3,2,0,0,17,27
629,6,1,3,2,0,0,2,10
633,7,3,9,3,1,7,37,33
634,13,5,12,5,2,7,38,67
635,15,5,8,7,1,5,43,46
637,10,3,5,3,1,5,43,26
642,34,21,20,11,4,4,108,107
646,33,18,19,8,4,4,95,98
647,5,7,3,3,0,2,13,13
648,33,17,19,7,4,4,94,96
651,2,1,0,0,0,0,2,1
652,3,6,5,1,1,1,6,4
653,31,16,14,6,3,3,90,92
