edgeID,group0,group1,group2
1799,10,9,7
1802,0,1,0
1803,2,6,2
1804,3,7,2
1812,1,1,0
1815,1,0,0
1840,2,4,1
1851,2,0,0
1852,1,0,2
1861,5,0,4
1875,0,0,0
1879,2,2,2
1880,2,1,2
1882,1,3,0
1885,1,1,1
1886,1,6,2
1887,0,3,0
1888,1,2,2
1898,13,11,7
1909,6,1,1
1910,0,0,0
1914,3,0,0
1924,3,0,0
1925,1,0,0
1928,1,1,0
1929,2,0,0
1930,0,1,1
1932,7,0,7
1933,2,0,3
1955,0,3,0
1959,0,0,1
1960,1,0,2
1961,1,0,2
1962,0,0,0
1963,0,0,0
1970,0,2,0
1971,0,0,0
1974,1,2,0
1977,8,1,2
1978,0,2,0
1981,2,3,0
1986,0,0,0
1994,3,7,1
1997,0,0,1
1998,1,0,0
2003,3,1,0
2004,9,5,1
2005,8,4,1
2006,10,9,0
2007,10,9,0
2008,0,0,0
2010,5,5,3
2011,2,3,3
2012,1,1,2
2016,5,3,1
2017,4,1,1
2018,1,2,1
2019,0,0,0
2028,1,1,1
2030,1,3,1
2031,3,4,3
2038,8,5,3
2039,7,2,2
2040,2,3,1
2045,12,4,5
2046,2,1,3
2047,10,5,6
2054,0,1,2
2056,1,1,0
2063,5,1,0
2064,5,1,0
2065,1,0,1
2066,3,2,5
2068,1,1,3
2069,2,3,2
2071,8,3,2
2089,9,5,1
2094,7,0,6
2096,4,1,1
2098,1,1,0
2100,2,0,0
2101,1,0,0
2107,1,0,1
2108,5,0,0
2109,6,0,1
2113,3,0,0
2128,10,8,5
2129,9,12,6
2135,1,0,0
2139,0,0,0
2140,8,2,1
2141,8,2,1
2142,2,0,0
2146,1,3,1
2147,0,1,0
2151,0,1,0
2156,1,3,2
2164,1,0,0
2172,0,3,0
2178,3,2,0
2179,3,1,0
2181,8,5,6
2182,0,0,0
2184,1,0,1
2188,7,8,4
2193,3,1,2
2209,19,9,5
2210,8,4,4
2211,2,2,1
2215,0,1,1
2222,1,5,1
2227,1,1,2
2228,3,3,3
2244,0,1,0
2245,0,0,0
2247,0,0,1
2255,3,2,2
2256,1,0,1
2258,1,0,1
2263,1,0,0
2266,0,1,1
2270,2,4,1
2271,10,4,5
2272,8,7,5
2273,4,3,2
2275,3,7,4
2276,2,3,2
2277,4,10,6
2284,0,3,0
2305,3,1,3
2306,2,0,3
2313,2,2,4
2314,2,0,1
2341,4,4,0
2342,2,0,1
2350,0,0,0
2351,0,0,0
2369,7,5,1
2372,2,5,3
2373,4,5,9
2390,14,4,5
2393,3,5,1
2399,0,0,0
2434,4,0,0
2435,4,1,0
2436,0,0,0
2453,3,6,1
2459,3,0,0
2461,2,0,0
2462,7,7,1
2466,9,5,4
2472,2,2,3
2489,7,14,5
2494,0,1,2
2495,0,0,1
2503,23,7,4
2504,1,7,3
2512,0,0,0
2514,4,3,4
2529,4,3,0
2535,7,3,0
2538,7,12,9
2544,1,0,0
2545,1,0,0
2546,0,0,0
2557,5,12,6
2559,5,2,3
2562,2,0,1
2563,1,0,0
2574,0,2,4
2575,0,2,3
2578,3,1,3
2584,7,1,6
2594,5,3,2
2595,0,0,0
2600,9,3,2
2613,1,0,0
2637,1,0,0
2638,1,0,1
2645,1,1,0
2646,1,0,0
2650,21,5,9
2655,2,7,1
2663,1,3,0
2665,8,5,5
2667,2,2,0
2668,4,7,0
2669,1,2,0
2672,0,7,0
2673,0,6,0
2674,0,0,0
2675,7,5,3
2679,8,6,5
2702,1,1,0
2703,1,1,2
2704,0,0,1
2727,1,2,1
2733,8,1,5
2746,5,5,3
2763,1,0,0
2772,4,1,6
2773,3,4,6
2787,16,16,12
2790,1,6,1
2791,2,6,2
2792,1,1,1
2802,1,2,0
2806,4,6,0
2807,2,5,0
2808,3,1,0
2810,1,8,1
2813,5,2,3
2822,0,3,1
2823,3,1,0
2825,3,4,1
2830,2,1,0
2831,1,1,0
2836,8,13,9
2840,8,12,8
2842,8,5,4
2845,3,2,1
2850,14,5,2
2851,4,2,1
2852,11,3,2
2857,2,7,2
2864,0,2,1
2866,3,5,3
2884,9,9,11
2899,3,2,0
2905,7,1,4
2906,8,2,4
2907,1,3,2
2910,4,6,2
2913,15,1,4
2914,16,0,5
2916,3,3,1
2917,4,3,1
2918,1,0,0
2920,6,5,4
2923,5,0,3
2924,5,0,3
2925,1,0,0
2927,6,0,3
2928,0,0,0
2929,0,1,1
2930,2,1,2
2933,1,0,0
2934,5,0,3
2936,2,1,2
2939,3,1,2
2945,3,3,4
2946,5,6,9
2949,1,0,1
2952,3,1,1
2963,0,1,0
2966,0,0,0
2973,44,28,13
2979,8,3,1
2985,27,18,6
2986,5,7,5
2995,4,6,1
3011,1,1,1
3012,2,1,0
3013,3,2,1
3014,2,0,2
3015,2,0,3
3016,0,0,0
3026,1,2,0
3028,1,3,0
3029,0,2,0
3037,38,14,12
3041,6,5,6
3053,10,1,1
3057,1,0,0
3058,2,1,0
3062,0,1,0
3067,26,16,14
3070,1,2,0
3077,1,2,0
3080,0,0,0
3101,0,0,0
3111,0,0,0
3124,2,0,0
3125,2,1,0
3126,1,1,0
3135,2,1,0
3146,22,17,5
3149,4,1,0
3157,6,8,4
3159,31,18,5
3164,9,2,2
3165,8,2,1
3166,0,0,1
3167,1,0,2
3172,14,4,4
3177,4,2,2
3179,8,5,8
3187,22,9,8
3191,18,3,6
3192,9,4,2
3195,13,5,1
3197,2,2,2
3199,2,5,2
3217,2,0,3
3224,0,0,0
3226,2,7,4
3227,2,4,4
3228,0,2,0
3229,4,8,1
3231,3,5,2
3234,9,3,7
3236,3,4,0
3238,2,2,0
3242,1,0,2
3245,2,2,3
3248,4,1,0
3257,3,8,3
3259,1,0,0
3260,0,0,0
3261,1,0,0
3263,1,0,0
3269,0,1,0
3270,2,2,0
3276,1,1,0
3277,1,2,0
3284,2,0,0
3289,2,2,0
3293,0,1,1
3294,1,3,4
3302,1,5,3
3305,15,9,14
3306,13,5,11
3307,1,6,3
3328,0,0,0
3334,2,2,1
3335,3,2,2
3336,2,0,2
3338,2,0,0
3339,1,0,1
3353,2,0,0
3354,4,3,5
3358,4,2,0
3366,0,0,0
3371,0,3,0
3379,0,0,0
3396,6,3,3
3423,1,11,6
3437,3,2,3
3451,6,4,0
3453,19,11,12
3521,0,0,0
3538,1,5,2
3545,5,4,4
3550,2,0,0
3551,1,2,0
3552,2,1,1
3560,7,2,6
3561,2,4,5
3562,5,2,2
3563,3,6,0
3579,3,0,2
3583,0,6,1
3589,1,0,0
3592,0,1,1
3593,0,0,0
3601,3,0,1
3607,3,7,2
3608,3,6,2
3609,0,1,0
3610,1,1,0
3625,3,6,2
3627,0,1,0
3628,0,0,0
3629,3,1,0
3630,1,0,0
3631,2,0,0
3637,7,4,3
3650,3,0,0
3664,12,9,4
3665,3,8,4
3666,1,3,2
3668,2,10,2
3670,3,4,3
3681,3,5,2
3699,1,6,2
3701,0,4,1
3702,1,5,1
3724,8,5,3
3725,9,3,4
3726,2,3,1
3727,3,3,3
3739,3,5,4
3740,3,5,3
3741,5,2,1
3744,29,17,5
3747,1,1,0
3751,1,1,0
3752,2,1,0
3753,0,0,0
3757,5,7,4
3762,0,0,0
3763,0,0,0
3778,1,0,0
3781,0,1,1
3783,2,0,2
