edgeID,group2,group3,group4,group1,group5,group6,population,nullGroup
9,5,1,1,0,3,1,8,13
24,1,0,3,2,1,0,8,16
32,3,3,2,1,1,1,21,20
37,3,6,3,0,2,0,23,12
38,8,6,6,2,1,2,16,29
39,0,3,2,1,0,0,4,4
40,8,5,4,3,1,2,18,27
41,7,5,2,2,1,0,16,22
42,7,3,2,2,2,1,20,22
43,3,1,0,0,1,1,10,6
44,5,1,1,0,1,1,11,7
45,5,1,1,0,1,0,8,8
46,3,0,0,0,0,1,4,2
56,4,4,1,0,0,5,10,12
57,4,3,1,1,0,4,6,13
67,5,2,1,1,1,2,14,17
68,5,3,3,0,1,0,12,8
70,3,0,0,0,0,1,4,3
71,4,2,1,1,1,3,16,18
77,2,4,10,3,2,9,28,23
78,1,2,2,2,0,1,11,12
79,4,2,10,1,2,8,28,18
82,11,4,4,4,4,4,29,25
83,9,11,9,3,2,5,35,38
84,13,9,9,5,1,8,42,31
85,6,6,6,5,1,3,32,22
86,11,6,4,4,2,4,32,22
87,7,5,3,4,2,4,28,19
88,3,1,1,0,0,2,5,4
89,12,10,9,5,2,6,42,32
90,6,5,2,0,1,2,13,14
92,3,0,1,1,0,1,5,3
93,7,3,5,0,1,2,15,17
94,4,2,5,1,1,1,18,15
96,0,0,1,0,0,0,1,1
100,0,0,0,0,0,0,3,1
101,3,5,4,2,2,2,34,29
105,9,5,5,2,2,7,31,31
125,1,0,0,0,0,0,3,8
127,2,0,1,0,0,0,2,3
128,2,0,0,0,0,0,3,7
133,0,3,5,2,1,1,13,7
134,2,4,5,5,1,1,17,16
135,3,7,9,6,2,2,29,20
137,0,0,1,1,1,1,5,5
138,0,3,7,2,2,2,16,12
139,0,0,1,1,0,0,4,6
140,0,2,7,2,1,2,13,15
142,0,1,1,1,0,0,6,2
144,1,0,1,0,0,0,4,6
145,0,0,1,0,0,0,5,5
146,1,0,1,0,0,0,2,4
147,0,0,0,0,0,0,2,2
151,6,7,14,1,4,4,30,36
152,4,5,9,3,4,6,25,30
153,2,9,9,2,2,6,24,25
156,2,0,2,0,0,1,8,6
158,1,0,0,0,0,1,1,1
159,2,12,7,2,3,7,33,32
166,10,7,4,2,1,2,27,27
167,2,2,3,0,1,1,19,14
173,2,0,0,0,1,0,6,7
174,4,2,1,1,2,2,15,11
175,8,4,3,0,1,3,20,13
176,8,6,3,1,1,3,26,14
177,6,3,1,2,2,2,22,17
182,0,0,0,0,0,1,2,1
183,3,4,1,0,1,2,11,15
186,2,4,1,1,1,2,9,13
188,1,2,0,0,0,0,3,3
190,5,5,1,2,2,3,16,15
206,3,1,2,1,1,1,9,8
214,1,0,1,1,0,0,7,6
227,0,1,0,1,0,1,4,4
229,1,0,0,0,0,0,2,0
230,1,1,0,0,0,0,2,1
231,0,0,0,0,0,0,1,0
237,2,1,2,1,0,1,8,3
239,0,2,0,3,1,2,7,4
241,7,5,4,2,2,2,23,39
244,3,2,2,2,1,1,14,13
247,0,0,0,0,0,0,0,1
252,0,0,0,0,0,0,0,1
269,0,0,1,0,1,0,1,4
270,0,0,0,0,0,0,0,0
274,4,1,2,0,1,0,7,8
275,0,1,0,0,0,1,1,0
279,0,0,0,0,0,0,0,1
281,2,0,2,0,0,0,2,1
282,2,0,2,1,0,0,6,8
283,4,0,4,1,0,0,8,9
287,0,0,1,1,0,0,0,0
295,4,0,5,0,0,0,13,13
296,3,0,3,0,0,0,5,8
299,1,0,2,1,2,0,4,2
300,2,0,3,0,0,1,3,8
301,2,0,2,0,0,1,1,6
302,0,0,1,0,0,0,1,0
303,0,0,0,0,0,0,3,2
304,2,2,2,2,1,2,9,7
307,0,2,3,0,0,1,6,5
309,1,1,4,2,2,0,8,12
310,1,1,7,4,3,1,15,12
311,1,1,1,0,0,0,2,5
312,0,0,0,0,0,0,0,1
313,1,1,1,0,0,0,2,4
314,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0
329,1,0,0,0,0,0,2,0
331,0,1,1,0,0,3,7,6
332,4,3,3,0,2,4,14,12
333,4,2,4,0,2,1,9,10
334,4,2,1,0,0,1,6,9
340,2,2,3,0,2,1,7,7
341,1,1,1,0,2,2,11,5
343,2,0,0,0,0,0,5,6
345,3,2,1,0,0,0,1,3
349,5,2,2,0,0,1,8,6
350,10,3,3,0,2,4,15,12
351,5,1,1,0,2,3,9,8
352,3,0,2,1,0,0,2,5
353,4,0,6,2,0,0,7,14
354,2,0,3,1,0,0,5,7
355,5,2,3,2,0,0,9,13
356,4,2,0,1,0,0,7,11
357,2,0,3,1,0,0,3,11
362,2,0,2,6,3,1,12,12
365,2,0,0,2,1,1,10,8
366,1,5,3,1,2,2,14,21
368,1,3,2,1,0,0,8,7
369,7,3,2,3,0,2,17,9
370,10,7,5,5,1,4,30,33
371,7,3,3,3,1,2,20,26
372,1,3,3,0,0,1,7,6
373,0,2,3,0,0,0,2,1
374,1,2,3,0,0,0,7,7
375,2,1,1,0,0,1,10,10
377,1,2,2,0,0,0,4,2
378,2,3,5,0,0,1,9,8
380,1,1,3,0,0,0,3,2
381,1,0,2,3,1,0,11,11
388,1,6,7,4,1,2,18,23
393,3,7,11,4,1,7,39,32
394,1,5,9,6,0,9,33,39
395,2,4,3,0,1,2,23,11
396,2,4,7,4,2,8,27,24
398,3,3,8,2,2,4,20,17
400,4,7,7,5,1,3,29,31
401,1,6,6,4,1,2,17,20
402,2,0,1,1,0,1,14,13
403,1,0,0,1,0,2,4,1
404,7,3,4,4,1,2,18,28
405,8,3,4,3,1,4,22,29
406,1,1,2,1,1,1,14,15
407,4,1,3,1,0,3,9,11
408,11,7,4,5,0,6,38,40
409,10,7,5,5,1,4,31,34
411,2,2,2,1,1,1,18,18
413,9,6,5,3,0,5,33,31
424,1,1,3,1,1,2,9,23
427,1,1,3,9,1,4,18,9
428,0,1,1,0,3,1,3,4
429,1,2,4,6,1,4,10,11
430,1,4,10,4,1,10,23,24
431,0,2,7,6,0,5,21,21
434,1,0,5,0,1,3,5,5
435,0,0,2,0,1,0,3,3
436,3,3,8,2,2,4,20,18
437,3,2,9,2,3,5,19,18
443,0,2,7,4,0,6,19,20
445,0,0,0,1,0,1,3,2
447,1,1,5,0,1,2,9,11
