edgeID,group1,group2,group3,group0,group4,group5,population,nullGroup
9,5,3,2,1,0,2,15,21
24,6,3,2,2,0,1,9,13
32,8,2,8,2,2,3,15,14
37,6,3,5,3,2,3,17,12
38,3,3,1,7,3,1,13,21
39,0,0,0,1,0,0,3,0
40,3,3,1,6,3,1,12,21
41,4,3,1,5,3,1,11,19
42,4,4,3,6,3,1,14,26
43,3,1,4,1,0,0,6,12
44,4,4,5,1,0,0,9,17
45,1,2,2,0,0,0,4,13
46,2,2,3,1,0,0,4,3
56,2,4,0,1,2,4,19,20
57,1,1,1,1,2,3,17,18
67,5,2,5,3,1,1,15,13
68,2,2,4,1,0,0,4,6
70,5,2,3,1,0,1,5,8
71,6,2,8,2,1,2,16,13
77,3,4,4,4,3,1,28,26
78,2,5,2,1,1,1,8,10
79,7,5,6,3,2,2,34,26
82,12,8,12,3,0,3,46,48
83,12,9,9,5,1,2,27,38
84,11,8,10,4,2,1,23,37
85,5,9,8,3,1,2,16,19
86,6,7,4,2,3,2,17,30
87,4,5,3,2,3,1,17,22
88,1,2,1,0,0,1,1,7
89,8,8,10,4,3,4,23,36
90,5,0,4,2,1,3,14,21
92,1,0,0,0,0,2,2,4
93,4,3,1,1,0,0,10,10
94,4,3,2,1,0,1,9,11
96,0,0,0,0,0,0,1,2
100,1,0,0,0,0,0,2,1
101,8,3,7,0,1,5,29,29
105,8,10,10,2,1,7,32,27
125,0,0,1,0,0,0,1,1
127,0,0,0,0,0,0,0,0
128,0,0,1,0,0,0,1,1
133,2,1,3,1,0,0,7,4
134,5,1,0,0,0,4,11,10
135,6,2,3,2,1,4,19,11
137,0,0,2,1,0,0,1,6
138,2,1,5,2,1,0,9,9
139,0,1,2,0,0,1,8,5
140,2,1,4,0,1,0,11,5
142,0,1,1,0,0,0,5,4
144,2,1,4,2,0,0,7,5
145,2,2,3,1,0,0,8,8
146,1,0,1,1,0,0,4,1
147,1,1,0,0,0,0,1,2
151,10,2,11,5,3,3,25,30
152,7,3,11,2,2,2,29,19
153,7,3,8,3,1,3,18,25
156,0,1,1,3,1,0,4,7
158,1,0,1,3,0,0,2,1
159,7,3,9,4,0,3,25,30
166,10,8,5,1,1,2,22,20
167,7,1,3,1,2,3,16,24
173,1,1,3,2,0,2,5,6
174,5,3,5,1,1,3,17,20
175,8,4,3,3,2,0,12,14
176,9,7,2,5,1,0,13,14
177,5,4,4,3,0,3,17,23
182,0,1,1,0,2,1,7,4
183,2,5,1,0,0,0,14,9
186,2,5,1,0,0,0,14,8
188,0,0,0,0,0,0,0,1
190,2,5,4,1,0,1,21,15
206,2,6,1,1,3,0,14,9
214,1,0,0,0,2,0,6,6
227,2,0,1,0,0,1,3,6
229,3,0,0,0,0,0,3,3
230,2,0,0,0,0,0,3,3
231,1,0,0,0,0,0,0,0
237,3,1,0,1,0,0,4,5
239,2,0,1,0,1,5,6,5
241,9,3,3,4,0,3,20,27
244,4,0,1,1,1,0,5,12
247,0,0,0,0,0,0,0,0
252,0,1,1,0,0,0,2,6
269,1,0,1,0,1,1,6,2
270,0,0,2,0,0,0,2,1
274,3,2,3,0,0,1,5,8
275,0,0,0,0,0,0,3,1
279,1,0,2,0,0,1,3,2
281,0,0,0,0,0,0,0,2
282,3,3,2,1,2,4,8,7
283,3,3,2,1,2,4,8,9
287,1,0,0,0,1,0,4,3
