edgeID,group2,group3,group4,group1,group5,group6,population,nullGroup
9,4,3,2,2,2,2,13,12
24,1,2,4,1,0,1,7,13
32,6,3,3,1,1,1,13,10
37,8,4,4,1,2,1,18,10
38,5,5,6,4,0,2,26,27
39,0,0,1,0,0,0,1,4
40,5,3,7,4,0,2,23,23
41,4,3,3,1,0,1,19,20
42,6,4,4,1,1,3,25,25
43,1,1,1,0,1,2,9,6
44,4,3,1,1,1,2,14,10
45,2,3,1,1,1,2,10,7
46,2,0,0,0,0,0,4,3
56,2,6,1,1,0,2,20,18
57,2,3,2,1,0,2,14,16
67,6,2,2,1,2,0,8,6
68,2,1,2,0,0,0,5,4
70,2,0,0,0,0,0,5,3
71,2,2,2,1,2,0,7,7
77,3,5,6,4,3,2,23,27
78,1,4,4,1,1,2,5,6
79,4,7,6,5,4,4,30,31
82,8,8,6,3,3,5,32,33
83,8,12,6,5,0,1,41,36
84,6,14,6,4,2,1,41,37
85,2,6,4,4,2,2,31,26
86,3,8,2,3,2,1,30,26
87,3,8,1,2,2,1,25,24
88,0,0,1,1,0,0,5,2
89,6,9,6,3,2,0,35,34
90,4,5,4,1,0,1,16,21
92,0,0,1,1,0,0,3,3
93,8,3,3,2,1,2,22,23
94,8,3,3,2,1,2,22,20
96,0,0,0,2,0,0,0,1
100,0,2,0,2,0,0,3,3
101,7,5,2,5,3,6,23,28
105,9,4,6,5,1,4,32,38
125,1,0,1,0,0,0,2,1
127,0,0,0,1,0,0,2,2
128,1,0,1,0,0,0,3,2
133,4,2,2,0,0,1,7,4
134,2,1,3,0,2,1,8,11
135,6,3,4,1,2,2,15,15
137,0,0,1,0,0,1,2,1
138,4,2,4,1,0,1,10,6
139,0,1,3,0,0,0,7,7
140,2,3,3,0,0,1,10,11
142,2,0,2,1,0,0,5,2
144,0,0,1,0,0,2,4,4
145,1,3,1,0,0,2,4,8
146,0,0,0,0,0,0,2,5
147,1,3,0,0,0,0,2,3
151,3,4,15,4,3,4,29,40
152,5,2,11,2,1,2,21,27
153,6,4,14,4,2,4,26,29
156,2,0,1,0,0,0,8,6
158,2,0,0,0,1,0,3,3
159,7,6,15,4,3,5,31,35
166,3,7,3,2,1,0,20,14
167,3,4,1,0,1,3,13,14
173,2,2,2,0,1,1,7,7
174,3,5,1,3,0,5,16,12
175,5,3,5,2,0,0,10,12
176,6,3,5,1,0,0,10,13
177,0,5,1,2,0,5,16,13
182,1,1,0,0,1,2,3,4
183,4,3,0,0,1,2,14,18
186,5,3,1,0,1,2,13,17
188,1,0,1,0,0,0,3,3
190,5,5,4,1,1,3,21,22
206,1,0,2,0,1,0,9,12
214,1,0,3,0,1,0,8,8
227,2,2,0,0,0,0,4,6
229,0,1,0,0,0,0,5,4
230,0,1,0,0,0,0,5,4
231,0,0,0,0,0,0,0,0
237,2,0,1,1,2,0,8,6
239,2,3,0,1,0,0,2,4
241,8,13,5,1,1,4,31,32
244,8,5,2,0,1,1,5,14
247,0,0,0,0,0,0,3,1
252,2,1,0,0,0,0,5,1
269,1,2,0,0,0,0,5,4
270,0,2,0,0,0,0,6,3
274,3,4,2,0,0,2,11,10
275,0,0,0,0,0,0,0,0
