,onlyDistance,onlyAngular,distanceHeuristic,angularHeuristic,regions,routeMarks,barriers,distantLandmarks,usingElements,noElements,length,combined_length,minimisation_length,preferenceNatural,aversionSevering,knowledge
447,0.513,0.487,0.574,0.426,0.208,0.172,0.522,0.723,0.593,0.407,4122.451377487999,3294.6168270392413,2051.9891465625346,0.75,0.75,4.25
449,0.39,0.61,0.371,0.629,0.185,0.774,0.209,0.3,0.712,0.288,5902.294966350153,3786.9650472515596,1469.3398040850989,0.375,0.25,4.25
450,0.685,0.315,0.489,0.511,0.483,0.378,0.26,0.696,0.553,0.447,4911.175935136476,3833.5970701430224,3097.431361039985,0.875,1.0,5.0
454,0.778,0.222,0.52,0.48,0.43,0.527,0.24,0.595,0.569,0.431,4751.741604901167,3616.010202788494,2701.866915654094,0.625,1.0,3.5
456,0.529,0.471,0.598,0.402,0.222,0.282,0.502,0.658,0.741,0.259,4606.187670762308,4024.773117891716,1546.8646137664243,0.625,1.0,3.25
457,0.856,0.144,0.494,0.506,0.656,0.395,0.218,0.511,0.601,0.399,4797.912080459582,4171.577933035986,2612.6586607618556,0.75,0.5,3.5
466,0.661,0.339,0.502,0.498,0.395,0.481,0.258,0.623,0.613,0.387,5078.736617112868,4356.519807902159,2578.415882992641,0.375,0.75,4.5
468,0.164,0.836,0.357,0.643,0.188,0.553,0.447,0.667,0.557,0.443,3879.4764833219124,3879.4764833219124,2951.7463374467798,0.25,0.75,4.0
469,0.507,0.493,0.535,0.465,0.463,0.648,0.178,0.293,0.627,0.373,4925.963257223546,3815.9968237145763,2313.2452440502802,0.25,0.25,3.25
470,0.785,0.215,0.534,0.466,0.475,0.521,0.263,0.58,0.623,0.377,4922.183260278655,4567.040662276815,2717.1241773947304,1.0,1.0,3.5
471,0.529,0.471,0.592,0.408,0.236,0.247,0.537,0.637,0.715,0.285,4398.82651254888,3817.411959678288,1546.8646137664243,0.625,0.75,4.25
478,0.559,0.441,0.585,0.415,0.171,0.284,0.5,0.751,0.634,0.366,4201.30085943661,3619.886306566018,2029.7580358391842,0.875,0.75,3.75
479,0.555,0.445,0.612,0.388,0.371,0.21,0.574,0.711,0.695,0.305,4291.776037594393,4291.7562074808975,2142.341521001562,0.875,0.25,4.25
484,0.365,0.635,0.584,0.416,0.471,0.467,0.378,0.2,0.717,0.283,4518.814141139541,4518.814141139541,2261.782164315217,0.5,0.5,3.25
485,0.469,0.531,0.544,0.456,0.439,0.583,0.203,0.301,0.6,0.4,4826.855758806845,3507.6175139803618,2318.972204104939,0.75,0.75,3.0
488,0.69,0.31,0.497,0.503,0.636,0.469,0.177,0.428,0.665,0.335,4911.406235228869,4064.791736103828,1792.5618713357203,0.25,0.75,2.75
491,0.682,0.318,0.508,0.492,0.402,0.434,0.279,0.794,0.565,0.435,4600.993238971447,4204.071914254769,3423.1580966088122,0.5,0.75,4.25
492,0.81,0.19,0.512,0.488,0.727,0.552,0.095,0.263,0.668,0.332,4995.13961129972,3964.0318840207647,1691.8020192526571,0.375,0.5,4.0
495,0.759,0.241,0.68,0.32,0.508,0.239,0.439,0.445,0.695,0.305,4367.343334896154,3430.806014137217,1659.4182607701653,0.75,0.75,2.5
496,0.737,0.263,0.526,0.474,0.32,0.393,0.351,0.671,0.683,0.317,5253.06960481833,4593.746120358482,1908.855189446334,0.375,1.0,3.5
503,0.802,0.198,0.512,0.488,0.529,0.471,0.223,0.602,0.553,0.447,4659.596982049925,4033.262834626329,3322.3982445257493,0.375,0.25,3.75
504,0.72,0.28,0.657,0.343,0.516,0.236,0.465,0.493,0.695,0.305,4357.018417478628,3960.097092761949,1810.6824062826138,0.375,0.5,3.75
505,0.973,0.027,0.559,0.441,0.664,0.485,0.132,0.333,0.635,0.365,5003.805332488684,4123.100670406513,1958.81097305266,0.5,0.5,4.75
506,0.573,0.427,0.56,0.44,0.292,0.263,0.323,0.833,0.57,0.43,4670.683422243066,3170.4863374264987,2393.6996884866985,0.5,0.25,4.0
507,0.719,0.281,0.605,0.395,0.323,0.359,0.425,0.601,0.632,0.368,4251.805152865995,3670.3905999954036,2080.26232926857,0.25,0.0,4.75
508,0.492,0.508,0.584,0.416,0.458,0.277,0.38,0.514,0.649,0.351,4341.949101406515,3697.6610538985587,1914.447279894194,0.25,0.0,4.25
509,0.624,0.376,0.562,0.438,0.516,0.155,0.475,0.513,0.745,0.255,4479.9729382881005,4479.953108174605,1770.5011313502819,0.375,0.5,2.75
510,0.672,0.328,0.612,0.388,0.413,0.299,0.485,0.533,0.709,0.291,4416.101723336801,4019.180398620122,1748.6330527082587,0.625,1.0,3.25
513,0.485,0.515,0.514,0.486,0.411,0.471,0.375,0.197,0.732,0.268,5443.895545754738,4812.047000221755,1708.6289201332352,0.5,0.5,4.5
515,0.57,0.43,0.495,0.505,0.353,0.238,0.462,1.0,0.586,0.414,4586.925214651394,4524.012059787039,3164.530454877412,0.125,0.0,4.0
517,0.389,0.611,0.393,0.607,0.513,0.44,0.371,0.515,0.581,0.419,3873.6843522881823,3040.27017938341,2212.8409054047943,0.25,0.5,2.75
518,0.614,0.386,0.488,0.512,0.398,0.308,0.454,0.682,0.587,0.413,4934.3382829437305,4421.653521842778,2965.197488433296,0.625,0.25,2.25
520,0.436,0.564,0.507,0.493,0.308,0.771,0.135,0.301,0.675,0.325,5195.484205352258,4200.314652900955,2275.9129658586426,0.375,0.75,3.25
521,0.862,0.138,0.443,0.557,0.596,0.472,0.261,0.579,0.631,0.369,4704.825901348501,4452.4740937395945,2181.414553770323,0.25,0.5,3.25
522,0.604,0.396,0.414,0.586,0.323,0.342,0.442,0.777,0.547,0.453,3796.256851192581,3214.842298321989,2641.2896388894605,0.375,0.75,4.0
533,0.607,0.393,0.498,0.502,0.374,0.271,0.417,0.824,0.597,0.403,4538.94503058194,3874.756894759336,2554.390795535913,0.25,0.75,3.75
536,0.585,0.415,0.606,0.394,0.306,0.247,0.537,0.824,0.613,0.387,4094.250384482123,4094.230554368628,2625.234943074322,0.5,0.25,4.25
551,0.529,0.471,0.592,0.408,0.236,0.247,0.537,0.637,0.715,0.285,4398.82651254888,3817.411959678288,1546.8646137664243,0.5,0.75,3.5
556,0.671,0.329,0.534,0.466,0.468,0.262,0.377,0.744,0.597,0.403,4627.667863221441,3750.1049056229576,2429.738806399535,0.125,0.0,4.25
563,0.722,0.278,0.604,0.396,0.384,0.203,0.581,0.728,0.67,0.33,4751.2927588781295,4751.272928764634,2314.985225032948,0.5,0.75,2.75
566,0.529,0.471,0.598,0.402,0.222,0.282,0.502,0.658,0.741,0.259,4606.187670762308,4024.773117891716,1546.8646137664243,0.375,1.0,5.0
582,0.926,0.074,0.558,0.442,0.765,0.361,0.168,0.388,0.604,0.396,4739.4586762795925,3740.2958152780575,2271.575480577282,0.375,0.5,4.25
587,0.624,0.376,0.562,0.438,0.516,0.155,0.475,0.513,0.745,0.255,4479.9729382881005,4479.953108174605,1770.5011313502819,0.875,0.75,1.0
588,0.506,0.494,0.548,0.452,0.306,0.217,0.567,0.813,0.593,0.407,4066.9387564595454,4004.02560159519,2761.3979211184833,0.375,0.25,4.25
590,0.791,0.209,0.47,0.53,0.681,0.271,0.28,0.531,0.623,0.377,5054.156662710782,4938.373396213013,3012.6370466074613,0.5,1.0,4.5
599,0.575,0.425,0.498,0.502,0.451,0.162,0.468,0.615,0.643,0.357,4255.135657153253,4192.222502288898,2389.5575314672033,0.75,0.75,4.25
601,0.319,0.681,0.502,0.498,0.284,0.569,0.383,0.483,0.54,0.46,4217.048911835242,4217.048911835242,3646.517380972744,0.5,0.5,4.25
604,0.529,0.471,0.455,0.545,0.227,0.548,0.236,0.613,0.741,0.259,5756.719269855796,3892.8574844918476,1546.8646137664243,0.75,1.0,3.25
606,0.27,0.73,0.614,0.386,0.191,0.559,0.441,0.325,0.687,0.313,4437.667715400319,3856.272992643223,2038.1456467313594,0.375,0.5,2.75
610,0.785,0.215,0.504,0.496,0.702,0.338,0.284,0.644,0.586,0.414,4857.253500743847,4741.470234246077,3208.135567996994,0.625,0.5,4.75
615,0.767,0.233,0.541,0.459,0.377,0.447,0.276,0.606,0.623,0.377,4893.962505236258,3958.391739803929,2108.4752549218447,0.875,1.0,4.75
618,0.683,0.317,0.552,0.448,0.524,0.471,0.177,0.396,0.612,0.388,4913.655498733067,3045.8869374285305,1694.547138048229,0.25,0.5,2.75
637,0.498,0.502,0.592,0.408,0.681,0.414,0.397,0.236,0.733,0.267,3881.3820147741835,3444.8693364725946,1041.5780354471722,0.5,0.75,3.75
644,0.536,0.464,0.544,0.456,0.451,0.27,0.412,0.799,0.648,0.352,4812.696454326882,4077.4207650947174,2620.215040969887,0.25,0.0,4.75
