edgeID,AC,RB,BB,RBB
1866,9,16,12,7
1867,1,5,4,5
1869,0,0,0,1
1870,4,3,8,5
1871,0,3,0,0
1872,4,3,8,5
1873,0,3,0,0
1881,6,28,8,31
1884,2,5,2,3
1885,2,5,2,3
1886,0,0,0,0
1887,0,1,7,9
1888,1,0,6,4
1889,1,1,5,7
1890,3,2,7,7
1891,4,1,8,6
1892,0,0,0,0
1894,3,3,3,9
1895,0,3,3,5
1909,5,7,12,11
1910,34,22,42,21
1912,0,0,0,0
1913,0,0,1,1
1914,7,8,17,5
1915,8,9,17,5
1917,5,13,6,7
1918,8,15,8,9
1921,5,0,4,0
1923,0,9,6,9
1924,0,8,6,8
1925,5,11,17,16
1926,5,10,17,17
1934,0,2,0,2
1935,6,7,6,20
1936,7,8,7,21
1942,7,0,5,0
1948,1,1,1,1
1949,0,0,0,0
1950,2,1,1,1
1951,2,1,1,1
1956,1,1,1,1
1958,1,1,1,1
1964,14,12,69,36
1965,12,10,68,72
1973,1,0,1,0
1974,1,1,0,1
1976,1,2,5,4
1977,2,2,2,1
1981,5,2,5,2
2004,5,2,6,2
2030,3,9,15,12
2033,4,7,4,3
2036,3,5,7,6
2040,4,13,2,14
2044,7,8,15,16
2050,1,1,1,1
2052,3,3,3,3
2053,0,0,0,0
2054,3,3,3,3
2056,0,0,0,0
2057,4,4,2,9
2058,4,4,2,9
2061,1,0,0,1
2062,0,0,0,0
2065,2,1,0,1
2069,1,2,3,4
2074,0,0,0,0
2076,0,0,0,0
2078,3,3,3,3
2092,8,14,11,27
2097,1,1,1,1
2098,0,0,0,0
2099,0,0,0,0
2106,2,1,0,0
2115,0,0,0,0
2116,1,1,1,1
2117,1,1,1,1
2123,0,0,0,0
2127,2,2,2,2
2130,0,0,0,0
2131,0,0,0,0
2133,0,0,0,0
2135,0,0,0,0
2139,0,0,0,0
2141,0,0,0,0
2144,0,0,0,0
2145,0,0,0,0
2147,3,3,3,3
2152,0,0,0,0
2153,0,0,0,0
2154,0,0,0,0
