edgeID,AC,RB,BB,RBB
0,11,10,17,6
5592,0,0,1,0
5600,2,0,21,3
27379,47,13,38,24
29882,1,1,0,2
30118,0,1,1,0
39190,3,3,1,1
5621,0,0,0,0
5615,2,2,1,2
57633,0,0,1,0
57532,2,2,7,7
5599,1,1,1,4
5568,16,17,17,19
30046,0,1,0,0
5541,0,0,1,0
5601,3,1,20,7
5540,0,0,1,0
5458,0,0,4,0
5942,14,24,31,24
59445,4,3,4,3
5933,0,0,0,0
28830,0,0,2,3
5425,0,0,0,0
5424,1,1,1,2
5423,1,1,1,2
5941,14,24,31,24
5411,3,3,3,3
5932,1,1,1,1
39458,0,0,0,0
30084,1,1,0,3
30119,0,0,1,0
30120,0,1,0,0
57360,0,0,7,1
29802,1,1,2,0
5528,1,0,0,0
58229,9,12,18,18
30085,0,0,0,1
56444,0,0,0,0
57197,0,1,4,1
56445,0,0,0,0
56509,1,1,4,0
56511,0,0,1,0
30263,3,3,3,3
14279,5,2,1,1
30262,0,0,0,0
57198,2,1,5,2
30122,1,1,4,2
57199,1,1,4,0
14469,1,3,2,4
57321,0,0,0,1
14470,3,4,7,7
30129,3,3,4,2
57357,29,24,35,31
59453,0,1,0,2
59424,13,6,5,5
5931,1,1,1,1
59325,27,11,11,10
5884,12,13,9,8
59363,10,40,17,19
5315,0,0,0,0
5314,39,12,11,12
5313,39,12,11,12
14918,92,8,96,5
59327,16,6,4,5
58232,1,1,24,17
59365,1,2,1,2
57359,0,0,1,0
59367,0,1,0,1
59368,0,0,0,0
59369,0,1,0,1
28806,0,0,5,2
30125,5,5,9,9
30123,0,0,0,0
52489,2,4,21,5
28673,0,0,2,2
52491,1,0,19,2
28668,0,2,4,6
28747,2,2,4,6
28745,2,2,6,7
60067,0,0,1,1
28666,0,0,0,0
60118,1,1,6,2
14847,1,1,1,1
4954,15,16,19,19
14637,15,7,8,9
28665,1,1,3,3
28662,0,0,2,1
59262,1,0,1,1
29496,12,13,10,13
55645,43,20,46,21
14836,1,1,1,1
29337,29,25,37,25
58554,5,5,5,4
29477,0,0,1,0
29476,3,5,4,8
5262,0,1,0,3
14668,0,0,0,0
14669,0,3,3,12
29487,3,6,5,12
14672,0,0,0,0
14673,0,0,0,0
29394,5,2,1,1
14684,0,0,0,0
29385,0,0,0,0
29384,0,0,0,0
29383,0,0,0,0
29485,1,2,2,9
14674,0,0,0,0
58866,0,0,0,0
16656,1,0,2,0
32064,2,2,4,2
13380,1,0,2,0
58881,0,0,0,0
58985,0,0,0,0
14838,1,1,1,1
14193,0,0,1,1
32063,0,0,1,0
14188,0,0,6,3
13381,0,0,2,1
32065,2,2,3,2
13400,2,3,1,4
13402,0,0,0,0
52456,6,29,7,27
52457,25,3,36,1
30731,0,0,2,1
31838,0,0,3,2
31658,1,1,1,0
13379,1,2,2,3
16646,2,1,8,5
58867,19,15,19,19
31836,1,0,6,3
53085,0,0,0,0
53086,1,1,1,1
53087,0,0,0,0
31827,13,6,24,15
53131,18,13,22,20
53150,0,1,0,3
31826,1,1,4,3
31825,13,6,21,13
13504,0,0,2,0
31732,3,8,3,8
31709,1,1,1,1
31675,0,0,0,0
28805,0,0,1,0
58561,1,0,19,3
28769,2,2,1,2
13331,2,4,21,5
32544,1,0,0,1
32485,0,0,0,0
32522,1,0,4,1
6925,15,26,31,24
50975,12,15,8,9
51031,0,0,0,1
6830,19,16,43,18
51032,0,0,0,0
6943,2,3,8,13
6933,3,4,5,3
6918,1,0,0,1
32523,1,2,3,1
6915,1,0,1,1
32728,0,4,0,4
51033,1,1,0,0
51083,1,3,2,7
31043,0,0,3,3
31046,13,14,11,7
50970,1,1,0,2
54111,0,0,1,3
51799,0,0,0,1
6804,0,1,4,1
6803,1,1,2,4
32256,29,9,12,3
28661,1,1,5,2
32225,33,14,24,9
13329,27,19,75,51
13526,0,0,0,0
6564,12,10,9,12
31180,0,0,1,1
31145,3,3,18,14
31047,14,15,11,15
14032,1,0,9,5
32727,0,2,0,3
51357,1,0,0,0
30767,0,1,0,1
6080,0,0,0,0
30762,0,1,0,1
30742,0,0,0,1
6084,2,23,3,14
6082,3,24,4,15
6081,6,11,29,28
6079,6,11,29,28
30763,6,6,3,2
54453,4,1,1,0
55336,80,85,48,44
55354,8,21,6,26
55402,14,15,15,20
55426,1,1,1,1
55427,16,13,21,18
30734,15,7,9,10
54452,11,7,7,6
30764,6,5,3,1
6393,0,0,3,0
30765,1,1,1,1
31500,1,0,1,1
31499,0,0,0,0
54325,1,1,1,0
6552,17,28,29,23
13687,10,6,15,5
13761,0,0,2,0
13762,1,0,4,0
31498,0,0,0,0
6389,29,37,32,22
31654,3,5,7,10
31497,0,0,0,0
31496,0,0,0,0
31490,2,2,3,2
31474,0,0,0,0
50969,1,1,1,1
58865,20,16,18,18
13328,25,15,54,46
66263,0,0,2,2
26729,0,0,1,0
26681,0,0,0,0
15938,1,1,33,10
6284,0,0,0,0
54213,1,1,0,1
6315,0,0,3,1
66927,1,0,2,2
6314,4,4,9,5
54215,2,2,1,1
6285,1,1,1,1
6283,1,1,1,1
15923,1,6,5,9
31190,1,1,1,2
28659,0,0,2,1
6313,4,4,6,4
4926,0,0,0,0
67422,53,23,47,30
67417,1,0,0,4
54152,1,0,1,0
54153,0,0,0,2
3447,8,9,5,3
67171,0,1,1,0
67260,12,6,7,5
67279,53,20,47,31
67292,0,0,1,1
67287,0,0,0,0
67288,0,0,3,3
26566,2,2,2,4
67368,0,0,0,0
67369,0,0,0,0
67387,34,26,37,38
26562,0,1,2,1
67443,9,9,7,9
4908,0,0,0,0
26724,36,26,39,39
16031,10,17,12,13
