edgeID,AC,RB,BB,RBB
0,12,6,16,6
5592,2,1,3,4
5600,1,1,13,5
27379,52,21,33,19
29882,0,0,0,0
30118,1,1,1,1
39190,5,7,2,6
5621,0,0,0,0
5615,4,1,3,4
57633,0,0,0,0
57532,3,3,2,11
5599,1,0,0,2
5568,20,20,24,11
30046,0,0,0,0
5541,0,1,2,1
5601,3,2,14,6
5540,0,1,2,1
5458,2,2,3,6
5942,21,30,40,36
59445,1,1,1,1
5933,0,0,0,0
28830,2,2,1,7
5425,0,0,0,0
5424,0,0,1,1
5423,1,1,0,2
5941,21,30,40,36
5411,3,3,2,3
5932,1,1,1,1
39458,0,0,0,3
30084,0,0,0,0
30119,1,1,1,1
30120,1,1,1,1
57360,1,1,4,3
29802,1,3,1,4
5528,0,0,0,0
58229,8,6,17,15
30085,0,0,0,0
56444,0,0,0,0
57197,0,1,6,1
56445,0,0,0,0
56509,3,2,4,1
56511,0,0,1,0
30263,1,1,3,1
14279,2,2,0,0
30262,0,0,2,0
57198,1,0,9,3
30122,1,1,3,3
57199,2,2,4,1
14469,4,4,1,4
57321,0,0,1,1
14470,3,1,12,9
30129,2,1,5,3
57357,37,23,39,36
59453,1,1,3,1
59424,18,17,11,7
5931,0,0,0,0
59325,38,15,16,13
5884,13,15,13,10
59363,13,41,13,26
5315,1,0,0,1
5314,49,17,19,18
5313,48,17,19,17
14918,69,1,74,5
59327,13,6,5,9
58232,1,0,22,19
59365,6,4,2,3
57359,1,1,0,0
59367,5,3,2,3
59368,0,0,0,0
59369,5,3,2,3
28806,1,1,2,5
30125,4,10,13,9
30123,0,0,1,0
52489,1,2,10,2
28673,0,0,2,0
52491,0,0,11,2
28668,1,3,6,6
28747,0,0,5,9
28745,1,1,8,11
60067,0,0,0,2
28666,0,0,0,0
60118,0,0,2,0
14847,0,1,1,1
4954,20,19,21,10
14637,18,18,11,7
28665,2,2,3,4
28662,3,3,3,4
59262,1,1,1,1
29496,16,16,16,11
55645,49,24,42,22
14836,2,2,1,2
29337,41,31,48,33
58554,0,0,2,3
29477,0,0,0,0
29476,5,7,4,7
5262,0,1,2,2
14668,0,1,0,0
14669,3,10,5,14
29487,5,7,5,12
14672,1,1,1,2
14673,1,2,1,1
29394,4,4,2,3
14684,0,0,0,0
29385,0,0,1,0
29384,0,0,1,1
29383,0,0,2,1
29485,0,0,1,5
14674,1,0,1,0
58866,1,1,3,2
16656,1,1,3,5
32064,1,1,3,2
13380,0,0,0,0
58881,0,0,0,0
58985,0,0,0,0
14838,1,2,0,2
14193,0,0,1,1
32063,1,0,2,1
14188,0,0,2,0
13381,0,0,2,2
32065,2,1,1,1
13400,1,1,2,3
13402,1,1,0,1
52456,10,19,8,24
52457,32,4,46,1
30731,0,0,3,1
31838,0,0,2,0
31658,0,0,0,0
13379,0,0,2,2
16646,0,0,5,1
58867,29,15,23,28
31836,0,0,8,5
53085,0,0,0,0
53086,0,0,0,0
53087,0,0,0,0
31827,9,5,24,15
53131,13,13,24,14
53150,2,3,4,4
31826,1,1,2,0
31825,8,4,22,15
13504,0,0,1,0
31732,5,7,12,10
31709,0,0,0,0
31675,2,1,1,1
28805,0,0,1,2
58561,0,0,11,4
28769,4,1,3,4
13331,1,2,7,2
32544,1,1,2,2
32485,0,0,2,0
32522,3,3,5,8
6925,23,32,40,34
50975,13,12,10,9
51031,1,0,0,1
6830,11,31,23,30
51032,0,0,0,0
6943,1,2,11,10
6933,2,2,5,6
6918,1,1,1,1
32523,4,4,7,5
6915,3,0,2,3
32728,0,8,0,3
51033,0,1,1,1
51083,5,9,12,10
31043,0,1,4,6
31046,15,17,13,12
50970,0,0,1,2
54111,0,0,3,3
51799,0,0,0,1
6804,1,1,2,1
6803,1,2,1,2
32256,28,12,16,8
28661,3,1,9,3
32225,33,16,27,12
13329,26,24,87,48
13526,1,1,0,1
6564,17,11,17,13
31180,0,0,0,0
31145,4,11,25,16
31047,15,17,10,16
14032,0,0,8,5
32727,0,2,1,0
51357,2,2,0,2
30767,1,1,3,1
6080,0,0,0,0
30762,2,2,1,1
30742,0,0,0,0
6084,3,32,4,20
6082,3,32,4,20
6081,5,19,25,20
6079,5,19,25,20
30763,7,5,8,5
54453,3,1,2,0
55336,71,92,65,52
55354,11,17,5,24
55402,20,20,19,21
55426,0,0,0,2
55427,16,13,23,16
30734,19,18,11,7
54452,15,14,10,7
30764,5,3,7,4
6393,0,0,3,0
30765,0,0,1,0
31500,1,1,1,1
31499,0,0,0,0
54325,0,0,0,0
6552,24,34,43,32
13687,13,11,20,6
13761,0,0,1,0
13762,1,1,2,1
