edgeID,AC,RB,BB,RBB
1,0,0,0,0
2,0,0,1,0
3,10,11,3,4
4,10,11,4,4
5,1,1,0,1
7,0,0,2,0
9,0,0,0,1
11,7,7,2,4
12,7,7,2,4
13,0,0,2,0
17,2,3,5,10
41,3,6,2,6
51,0,2,0,3
54,6,6,11,20
67,0,0,4,1
68,0,0,4,0
69,0,0,0,1
71,2,2,3,4
74,2,2,4,6
75,0,0,0,0
76,1,1,0,0
77,1,1,0,0
82,0,0,2,0
118,2,4,0,4
119,1,3,0,2
121,1,1,0,2
124,23,31,84,23
145,11,8,24,39
147,0,0,1,6
173,23,23,14,14
174,23,23,14,14
231,1,0,2,3
232,1,1,0,2
233,1,0,1,2
240,0,1,4,2
242,25,21,25,27
244,0,0,0,0
245,25,21,25,27
271,3,1,3,3
272,3,1,3,3
273,0,0,0,0
282,0,0,0,0
283,3,1,3,3
284,2,7,7,6
286,25,4,21,4
287,25,11,22,6
302,0,1,1,2
305,0,1,2,2
306,4,7,13,12
316,3,2,2,0
317,5,10,19,19
318,0,8,0,5
402,3,2,3,2
417,0,0,1,1
421,0,0,0,0
423,0,0,1,1
447,2,6,0,11
448,0,2,0,1
449,2,6,0,12
475,2,4,4,4
478,0,0,8,4
492,3,1,2,4
493,7,3,4,3
494,4,2,2,1
495,2,1,0,0
496,2,1,0,0
497,0,0,0,0
501,1,1,0,1
502,5,8,5,4
503,5,8,6,4
506,1,0,0,0
508,0,0,0,0
526,0,1,5,3
527,0,0,1,1
530,4,10,12,15
531,1,3,8,8
538,0,0,0,0
570,1,0,0,1
572,1,1,1,0
576,2,3,5,3
596,0,0,0,0
602,0,0,0,0
603,2,2,2,2
606,2,3,2,4
613,0,0,0,2
614,10,7,18,20
615,10,7,18,22
622,3,3,1,1
628,0,0,1,1
630,0,0,0,0
632,0,0,1,1
637,2,3,0,2
640,2,2,6,1
645,15,10,10,7
655,12,12,41,12
662,4,4,18,6
667,4,4,19,5
671,0,0,1,0
686,1,1,1,1
696,8,2,23,22
697,0,1,2,2
698,0,0,2,0
699,0,1,0,2
700,1,10,0,12
702,1,11,0,14
703,0,0,2,2
707,0,1,0,1
708,1,10,2,13
711,1,0,1,2
712,0,0,2,2
714,5,4,15,5
719,5,3,5,5
720,20,18,20,22
722,3,0,3,2
726,1,1,1,1
727,0,0,0,0
732,1,1,1,5
735,3,19,6,27
737,1,6,1,5
738,0,1,0,0
741,5,54,12,54
743,4,3,13,4
747,12,6,12,4
753,1,1,1,1
754,1,1,1,1
755,0,0,0,0
759,3,0,4,2
760,1,1,0,1
762,3,2,11,4
777,0,0,0,0
778,0,0,0,0
781,1,1,1,1
782,1,1,1,1
803,2,2,2,2
805,10,6,3,2
807,5,4,4,5
819,9,3,12,4
820,9,3,12,6
825,4,4,13,5
836,4,4,13,6
848,1,1,1,1
852,6,5,5,5
859,5,6,5,3
860,4,5,4,4
865,0,0,0,0
866,3,0,13,7
867,3,0,13,7
876,7,6,3,4
878,4,2,4,3
879,5,4,6,4
891,0,0,3,3
892,0,0,4,2
893,0,0,1,1
894,4,4,8,5
895,4,4,7,4
901,62,11,48,37
902,1,4,0,1
903,61,7,48,36
906,0,0,1,2
907,0,0,0,0
908,65,7,43,10
909,65,7,43,10
914,1,2,1,1
915,0,2,1,0
916,60,13,48,35
917,59,13,48,34
928,0,0,2,1
935,2,2,7,7
937,1,1,0,1
940,0,2,3,4
941,0,0,0,0
942,1,3,4,5
948,1,0,2,1
954,0,1,1,1
957,20,4,15,16
958,19,3,14,15
973,0,0,4,1
978,4,3,3,6
980,1,1,1,1
1032,0,0,0,0
1036,0,0,0,0
1038,5,4,6,4
1069,0,0,4,1
1070,1,1,1,1
1072,24,10,21,5
1074,23,9,22,6
1075,1,1,1,1
1077,1,0,1,2
1099,10,9,15,9
1100,1,0,2,2
1101,9,9,15,9
1112,4,1,3,0
1128,24,22,26,21
1151,1,2,3,3
1152,2,2,4,4
1153,1,0,0,0
1154,1,1,0,2
1162,2,3,3,2
1163,23,25,13,22
1164,22,23,15,21
1206,0,0,0,1
1207,2,2,0,1
1212,0,0,0,0
1219,17,19,19,19
1224,6,13,5,15
1233,6,4,13,1
1253,11,0,9,1
1308,5,8,4,3
1309,4,7,6,4
1310,1,1,2,3
1319,5,11,17,17
1329,3,2,2,1
1330,2,2,0,1
1331,1,0,0,0
1332,4,5,2,1
1333,0,0,0,2
1334,5,6,3,4
1335,1,3,2,5
1336,2,2,3,6
1337,0,0,0,0
1374,0,0,0,0
1375,0,0,0,0
1389,0,0,1,0
1390,6,12,28,18
1391,2,2,4,5
1393,4,12,22,20
1396,1,1,1,2
1397,18,6,14,6
1401,5,4,8,2
1402,7,6,10,5
1413,3,4,3,4
1416,27,9,29,8
1424,3,4,8,11
1426,37,28,39,30
1431,4,18,11,15
1522,0,0,0,0
1534,0,0,0,0
1572,0,1,0,2
1597,4,10,10,12
1615,1,2,3,8
1616,1,1,1,2
1617,0,1,2,6
1624,1,5,0,3
1625,7,7,9,2
1626,6,6,9,5
1627,1,0,0,0
1628,1,0,0,0
1629,0,0,0,0
1661,1,0,2,0
1665,3,0,2,1
1668,0,0,0,0
1669,19,19,10,12
1670,19,19,10,12
1674,1,2,1,2
1675,0,2,0,0
1676,0,3,0,1
1681,2,11,2,7
1682,0,10,0,6
1683,1,0,1,0
1687,3,3,2,3
1688,1,1,2,1
1689,0,0,0,0
1690,0,3,1,3
1692,3,6,3,6
1716,5,1,7,0
1717,5,3,7,0
1724,1,0,1,1
1725,0,0,0,0
1731,1,0,0,0
1732,0,0,0,0
1733,4,2,4,3
1734,1,0,0,0
1735,1,0,2,1
1736,1,2,12,3
1747,0,0,0,0
1748,1,1,1,1
1749,0,0,0,0
1757,4,12,20,13
1765,0,0,0,0
1767,24,26,14,23
1770,0,0,1,1
1771,0,1,0,0
1774,0,0,0,0
1785,1,2,12,2
1791,0,1,1,2
1795,0,1,0,0
1804,2,5,2,2
1805,2,5,2,2
1807,0,0,0,0
1808,7,20,8,9
1809,2,11,0,5
1810,5,9,8,6
1817,13,10,7,1
1822,1,0,1,1
1825,1,1,1,2
