edgeID,AC,RB,BB,RBB
1,2,3,2,2
2,2,3,3,3
3,5,9,3,5
4,5,9,4,6
5,0,0,0,0
7,0,1,3,1
9,1,1,1,4
11,9,9,7,6
12,9,9,6,5
13,0,1,2,0
17,3,2,4,8
41,3,6,3,12
51,0,2,0,3
54,11,13,11,22
67,2,0,6,2
68,2,0,5,1
69,0,0,1,1
71,8,14,7,9
74,5,5,9,12
75,0,0,0,0
76,2,1,0,1
77,1,0,1,2
82,4,2,2,1
118,3,3,2,1
119,2,3,1,0
121,3,2,1,3
124,29,42,82,32
145,7,7,24,33
147,0,0,1,5
173,21,19,14,12
174,21,20,14,12
231,1,1,5,4
232,0,0,1,0
233,1,1,4,4
240,2,2,6,4
242,27,25,21,27
244,0,0,0,0
245,26,26,22,28
271,6,5,6,5
272,5,5,5,3
273,2,3,2,3
282,0,1,0,1
283,6,6,6,6
284,6,9,5,8
286,33,9,38,19
287,31,8,37,13
302,4,3,1,2
305,3,1,2,3
306,4,8,14,14
316,4,3,1,2
317,10,14,21,22
318,0,2,0,2
402,1,1,1,1
417,0,1,0,0
421,2,2,1,3
423,4,3,3,3
447,1,5,2,11
448,0,1,2,1
449,2,7,3,13
475,2,8,3,9
478,0,0,10,2
492,2,3,1,3
493,4,1,1,1
494,0,0,0,0
495,0,1,0,0
496,1,2,1,1
497,0,0,0,0
501,2,2,1,1
502,4,3,6,6
503,6,5,7,7
506,1,0,0,0
508,0,0,0,0
526,2,5,7,7
527,1,2,2,2
530,7,6,18,13
531,1,2,12,8
538,0,0,0,0
570,1,0,0,0
572,0,0,0,0
576,5,6,3,5
596,1,1,1,1
602,0,0,0,0
603,2,2,2,2
606,1,0,1,5
613,0,0,2,3
614,5,6,19,19
615,5,6,19,20
622,6,4,2,5
628,0,0,0,0
630,0,0,0,0
632,0,0,0,0
637,3,2,1,1
640,6,6,5,3
645,10,9,14,9
655,13,11,31,16
662,5,4,10,5
667,5,4,17,12
671,0,0,0,1
686,0,1,0,1
696,9,3,12,15
697,0,1,3,1
698,0,0,3,0
699,0,1,0,1
700,1,8,2,10
702,0,8,3,10
703,1,2,1,1
707,0,0,0,0
708,0,8,3,10
711,0,0,1,3
712,0,0,1,3
714,4,4,12,9
719,1,2,2,3
720,25,24,20,25
722,3,1,3,0
726,0,1,0,1
727,0,0,0,1
732,0,2,3,7
735,0,16,9,23
737,1,13,1,13
738,0,2,0,2
741,7,47,13,40
743,6,6,10,6
747,8,8,6,4
753,0,0,0,0
754,0,0,0,0
755,0,0,0,0
759,3,1,2,0
760,2,0,1,0
762,3,4,6,2
777,2,3,2,3
778,0,0,0,0
781,1,1,2,1
782,2,1,1,1
803,0,0,0,0
805,5,2,2,2
807,4,2,6,5
819,8,6,15,5
820,8,5,14,4
825,5,6,6,4
836,5,5,5,4
848,1,2,2,2
852,3,1,4,5
859,4,3,6,5
860,4,2,5,4
865,0,0,0,0
866,2,3,15,10
867,2,3,15,10
876,10,9,11,9
878,3,3,3,2
879,3,4,5,3
891,0,0,4,1
892,0,0,5,1
893,0,0,1,0
894,6,7,8,5
895,6,7,7,5
901,49,21,34,30
902,1,10,1,4
903,49,10,34,25
906,0,0,3,1
907,1,1,1,1
908,47,5,35,6
909,46,4,36,5
914,0,0,0,2
915,0,0,0,2
916,50,22,35,32
917,49,21,34,31
928,0,0,1,0
935,7,8,12,7
937,2,3,2,3
940,1,2,2,1
941,0,0,0,0
942,1,2,2,1
948,1,1,0,2
954,1,1,2,1
957,15,6,14,13
958,15,6,14,13
973,0,1,6,1
978,3,3,5,7
980,0,0,0,0
1032,1,1,1,0
1036,0,0,0,0
1038,2,3,4,2
1069,2,1,4,2
1070,0,1,0,0
1072,30,9,36,14
1074,30,9,35,14
1075,0,0,2,1
1077,1,1,6,5
1099,14,10,17,10
1100,3,2,6,2
1101,10,7,10,7
1112,1,3,2,1
1128,20,20,32,19
1151,0,1,6,4
1152,1,2,7,6
1153,0,0,0,0
1154,0,0,0,1
1162,1,0,0,0
1163,23,25,18,20
1164,24,25,18,20
1206,0,0,0,0
1207,0,0,2,1
1212,0,0,0,0
1219,17,16,21,15
1224,4,26,14,23
1233,13,8,3,2
1253,9,2,10,1
1308,4,5,5,3
1309,4,4,5,3
1310,0,1,0,0
1319,8,7,20,13
1329,1,0,1,1
1330,0,1,0,0
1331,0,0,0,0
1332,2,3,2,2
1333,0,0,0,0
1334,2,3,2,2
1335,2,1,5,4
1336,2,1,5,4
1337,0,0,0,0
1374,0,1,0,0
1375,1,1,1,2
1389,1,1,1,1
1390,6,12,17,12
1391,1,1,4,3
1393,5,9,17,8
1396,0,0,2,1
1397,19,7,16,10
1401,1,1,4,8
1402,1,1,6,9
1413,2,2,3,5
1416,28,15,26,14
1424,0,2,4,8
1426,38,30,36,27
1431,4,16,11,16
1522,5,4,4,3
1534,3,2,2,1
1572,2,5,0,2
1597,1,5,7,10
1615,4,3,6,4
1616,1,1,2,1
1617,4,3,3,4
1624,0,4,0,1
1625,10,9,5,4
1626,9,4,4,4
1627,0,0,0,0
1628,0,0,0,0
1629,0,0,0,0
1661,6,8,6,10
1665,0,0,0,0
1668,2,1,1,1
1669,21,20,16,19
1670,22,22,18,21
1674,0,1,0,1
1675,0,4,0,0
1676,0,5,0,1
1681,1,8,1,4
1682,1,8,1,4
1683,0,0,0,0
1687,0,0,0,0
1688,0,0,0,0
1689,0,0,0,0
1690,1,2,1,4
1692,1,2,1,4
1716,9,5,8,3
1717,9,9,8,3
1724,3,1,0,1
1725,0,0,0,0
1731,0,1,0,1
1732,0,1,0,1
1733,0,0,3,1
1734,0,0,1,0
1735,0,0,2,1
1736,3,4,8,4
1747,1,1,2,2
1748,1,1,0,1
1749,2,0,2,3
1757,4,18,29,24
1765,0,0,1,1
1767,22,24,18,19
1770,0,0,0,0
1771,0,1,0,1
1774,1,0,0,0
1785,4,5,10,3
1791,0,2,0,3
1795,2,1,2,1
1804,1,7,0,3
1805,2,8,1,4
1807,0,0,0,0
1808,6,19,13,15
1809,1,12,0,6
1810,5,7,13,9
1817,15,17,8,4
1822,2,1,0,1
1825,1,1,3,1
1829,0,1,0,3
1830,22,13,37,8
1831,22,12,37,5
1838,8,2,12,12
1839,2,2,3,2
1840,10,2,11,10
1841,1,1,3,7
1857,1,0,0,0
1858,1,0,2,2
1863,4,5,9,4
1866,3,1,9,6
1867,1,5,4,2
1869,0,0,1,0
1870,3,4,10,10
1871,2,1,1,1
1872,3,3,9,9
1873,1,1,1,1
1881,11,38,5,32
1884,4,5,1,2
1885,4,5,1,2
1886,0,0,0,0
1887,1,0,6,9
1888,0,1,5,3
1889,0,0,4,7
1890,1,2,3,4
1891,2,3,5,5
1892,0,0,1,0
1894,3,3,4,10
1895,1,1,2,0
1909,7,7,11,9
1910,39,22,40,22
1912,0,0,0,0
1913,0,0,0,0
1914,9,8,13,12
1915,9,8,13,12
1917,4,8,6,7
1918,8,12,6,10
1921,2,0,4,0
1923,2,8,5,7
1924,2,7,3,6
1925,10,4,9,12
1926,10,3,11,13
1934,0,1,0,1
1935,7,11,16,27
1936,7,12,16,28
1942,7,0,12,0
1948,0,0,0,1
1949,1,1,1,0
1950,0,0,0,0
1951,0,0,0,0
1956,0,0,0,0
1958,1,1,1,1
1964,15,13,64,21
1965,10,9,67,50
1973,1,2,1,1
1974,1,0,0,2
1976,5,2,1,3
1977,0,1,0,3
1981,4,2,3,1
2004,4,2,4,1
2030,5,7,21,27
2033,4,7,4,5
2036,4,7,7,11
2040,2,9,2,8
2044,5,9,12,13
2050,0,0,1,0
2052,5,5,5,5
2053,2,2,0,2
2054,1,1,3,1
2056,1,1,1,1
2057,6,10,5,17
2058,7,11,6,18
2061,0,0,0,0
2062,1,1,0,1
2065,0,1,1,1
2069,0,2,1,1
2074,0,0,1,0
2076,0,0,0,0
2078,0,0,1,0
2092,5,7,14,30
2097,2,0,2,1
2098,1,0,1,0
2099,0,1,0,0
2106,2,1,1,0
2115,0,0,0,0
2116,3,3,2,3
2117,3,3,2,3
2123,0,0,0,0
2127,3,5,4,3
2130,0,0,0,0
2131,2,2,1,2
2133,0,2,2,0
2135,0,0,0,0
2139,0,0,0,0
2141,0,0,0,0
2144,1,1,0,1
2145,0,0,0,0
2147,4,6,5,4
2152,0,0,0,0
2153,0,2,0,1
2154,1,0,1,0
2160,3,1,2,3
2162,3,1,2,3
2164,0,0,1,0
2175,0,0,1,0
2179,8,9,12,14
2180,9,10,13,15
2181,2,2,2,2
2182,1,1,1,1
2209,7,7,7,7
2212,0,2,0,5
2222,12,10,12,13
2223,14,14,14,15
2228,16,20,5,19
2229,14,5,17,4
2235,25,13,28,9
2237,10,11,10,4
2239,0,5,1,5
2244,24,24,9,10
2245,21,20,7,8
2246,2,3,1,1
2247,0,13,0,8
2248,0,0,0,0
2272,0,0,0,0
2273,0,0,0,0
2274,0,0,0,0
2315,8,8,9,8
2343,5,1,15,3
2344,5,1,15,3
2345,0,0,0,0
2351,10,6,20,10
2354,2,13,1,5
2356,5,5,16,3
2357,0,4,1,4
2360,2,0,15,0
2362,5,14,5,8
2363,7,14,13,24
2364,7,12,13,24
2365,0,0,0,0
2366,2,1,2,4
2368,7,12,13,24
2369,2,1,2,4
2370,7,12,13,22
2371,2,3,4,5
2372,2,3,4,3
2377,0,0,2,1
2380,2,3,20,28
2381,2,3,22,29
2389,0,0,0,0
2390,4,2,2,4
2391,3,1,3,3
2393,1,3,7,6
2398,0,0,0,0
2402,0,0,0,0
2404,0,0,0,0
2405,0,0,0,0
2411,0,0,0,0
2417,6,9,10,10
