edgeID,AC,RB,BB,RBB
1,1,2,1,1
2,1,2,1,1
3,7,8,4,6
4,7,8,4,6
5,1,1,1,0
7,2,1,2,3
9,0,0,0,1
11,7,11,7,4
12,7,11,6,5
13,3,0,2,3
17,4,3,3,9
41,3,11,6,4
51,0,4,2,4
54,7,5,9,28
67,2,0,5,5
68,2,0,4,5
69,0,0,1,0
71,1,2,2,3
74,0,0,8,3
75,0,0,0,0
76,1,1,1,1
77,0,0,0,0
82,2,0,4,0
118,1,3,0,4
119,1,2,0,3
121,0,1,0,1
124,15,28,70,25
145,9,12,26,33
147,0,1,2,1
173,26,23,16,18
174,25,23,14,19
231,1,0,2,2
232,1,1,1,1
233,1,0,2,2
240,0,0,5,2
242,28,24,21,27
244,0,0,0,0
245,28,24,21,27
271,5,4,10,4
272,8,6,12,8
273,1,0,2,2
282,0,0,0,0
283,6,3,9,3
284,9,8,14,4
286,27,6,33,9
287,25,10,29,11
302,5,5,6,5
305,1,1,2,2
306,5,8,18,11
316,9,6,2,3
317,8,12,27,20
318,0,1,0,1
402,1,0,0,0
417,0,0,0,0
421,2,3,2,1
423,2,3,2,1
447,1,9,3,13
448,1,3,0,1
449,3,13,4,15
475,1,5,5,5
478,0,0,6,8
492,4,1,1,0
493,4,1,1,0
494,0,0,0,0
495,0,3,0,2
496,1,2,0,1
497,0,0,1,0
501,1,1,1,3
502,8,7,6,6
503,9,6,5,7
506,1,1,1,1
508,0,0,1,0
526,0,1,5,2
527,0,1,0,0
530,2,8,10,15
531,1,2,6,10
538,0,0,2,0
570,0,0,0,0
572,0,0,0,0
576,2,5,3,7
596,1,1,0,1
602,0,0,0,0
603,1,1,0,1
606,1,3,1,5
613,0,0,1,0
614,6,4,9,11
615,6,4,10,11
622,1,1,0,0
628,0,0,0,0
630,0,0,0,0
632,0,0,0,0
637,0,0,0,0
640,3,1,3,1
645,10,7,15,7
655,6,7,44,11
662,2,2,18,4
667,3,3,20,6
671,1,0,4,3
686,1,0,1,1
696,8,5,18,15
697,1,0,0,2
698,0,1,1,1
699,0,0,0,0
700,0,7,0,8
702,1,6,1,9
703,1,0,1,1
707,0,0,0,0
708,1,6,1,9
711,0,0,2,2
712,0,0,2,2
714,4,2,17,5
719,2,2,2,3
720,27,21,18,23
722,4,5,4,1
726,1,0,1,1
727,0,0,0,0
732,1,3,1,3
735,1,14,3,21
737,0,2,1,2
738,0,0,0,0
741,5,35,9,35
743,2,2,11,4
747,13,3,14,1
753,0,0,0,0
754,0,0,0,0
755,0,0,0,0
759,3,4,4,3
760,1,1,2,2
762,1,0,8,1
777,0,0,2,1
778,1,2,0,1
781,2,0,1,1
782,0,2,3,2
803,2,1,2,1
805,6,2,3,1
807,3,3,9,6
819,10,6,13,6
820,10,4,12,4
825,3,1,9,2
836,4,2,7,1
848,2,1,3,4
852,1,1,7,3
859,4,6,10,9
860,3,6,8,4
865,0,0,0,0
866,2,0,7,9
867,1,1,8,10
876,6,10,6,6
878,0,1,1,2
879,1,2,1,3
891,0,0,1,1
892,1,1,2,0
893,0,0,0,0
894,3,3,8,10
895,3,3,8,10
901,55,15,57,34
902,0,7,0,4
903,55,8,57,30
906,0,0,1,0
907,0,0,1,0
908,48,7,46,11
909,49,8,44,12
914,0,3,3,8
915,0,3,3,7
916,56,15,56,36
917,56,15,56,35
928,0,0,0,1
935,4,4,10,11
937,0,0,0,0
940,3,2,3,0
941,1,0,1,0
942,3,3,3,1
948,1,0,4,4
954,3,3,2,2
957,14,9,18,22
958,14,8,18,21
973,0,0,4,0
978,5,7,8,12
980,0,0,0,0
1032,1,1,1,0
1036,0,1,0,0
1038,1,1,1,3
1069,3,1,4,6
1070,0,0,0,0
1072,24,12,29,12
1074,24,12,28,11
1075,1,1,0,0
1077,1,0,1,1
1099,13,11,15,13
1100,3,3,5,2
1101,10,8,10,11
1112,1,3,1,2
1128,34,34,33,28
1151,2,1,7,4
1152,3,3,7,5
1153,0,0,2,3
1154,0,1,1,3
1162,0,1,1,1
1163,26,30,18,22
1164,27,30,18,22
1206,0,0,0,0
1207,2,2,1,1
1212,0,0,0,0
1219,28,29,29,25
1224,2,13,10,14
1233,13,6,10,3
1253,14,0,13,1
1308,7,10,7,7
1309,4,8,6,6
1310,1,0,3,1
1319,1,8,17,17
1329,0,0,0,0
1330,0,0,0,0
1331,0,0,0,0
1332,1,1,0,1
1333,1,1,1,0
1334,3,3,2,2
1335,5,8,10,6
1336,5,8,9,6
1337,1,1,0,1
1374,1,1,1,1
1375,1,0,0,1
1389,0,0,0,0
1390,2,7,16,16
1391,2,0,5,5
1393,1,6,17,13
1396,0,0,1,1
1397,21,13,10,6
1401,1,6,10,13
1402,2,7,12,15
1413,2,3,7,7
1416,21,10,28,14
1424,3,1,10,15
1426,32,25,43,30
1431,5,12,21,27
1522,0,0,0,0
1534,0,0,0,0
1572,0,2,0,2
1597,5,8,10,16
1615,1,4,3,6
1616,0,2,0,2
1617,2,1,2,3
1624,0,5,0,2
1625,14,14,7,9
1626,14,11,7,11
1627,1,1,0,1
1628,2,1,0,0
1629,1,0,0,1
1661,4,6,4,6
1665,4,4,4,4
1668,1,1,1,1
1669,23,20,18,22
1670,25,22,20,24
1674,0,3,0,1
1675,0,2,0,0
1676,0,3,0,1
1681,2,5,4,5
1682,1,6,3,6
1683,1,1,1,1
1687,1,1,1,1
1688,1,1,1,1
1689,0,0,0,0
1690,0,0,0,1
1692,1,1,1,2
1716,2,2,5,2
1717,3,3,6,3
1724,0,0,0,0
1725,2,2,2,2
1731,1,1,0,1
1732,0,0,0,0
1733,1,1,2,4
1734,1,1,0,0
1735,0,0,2,4
1736,6,5,13,10
1747,1,1,1,0
1748,2,2,2,2
1749,0,0,0,1
1757,6,15,12,16
1765,0,0,0,0
1767,26,30,16,24
1770,0,0,0,0
1771,1,1,0,1
1774,2,0,0,0
1785,5,4,12,9
1791,0,3,0,3
1795,0,1,0,0
1804,0,7,0,4
1805,0,7,0,4
1807,0,1,0,1
1808,9,25,8,10
1809,4,13,2,8
1810,5,13,6,3
1817,7,15,4,2
1822,0,0,0,0
1825,0,0,0,0
1829,0,2,3,3
1830,23,7,39,4
1831,23,5,42,1
1838,1,2,5,7
1839,2,0,1,0
1840,3,2,6,7
1841,0,1,5,10
1857,0,0,0,0
1858,0,1,1,0
1863,4,2,10,8
1866,4,9,3,2
1867,3,6,5,3
1869,1,1,1,1
1870,1,2,2,3
1871,2,1,0,0
1872,1,2,3,3
1873,1,0,0,1
1881,10,23,5,18
1884,4,4,4,6
1885,5,5,2,5
1886,0,0,1,0
1887,1,1,7,4
1888,1,1,5,1
1889,0,0,2,3
1890,1,3,5,3
1891,3,5,6,5
1892,1,1,0,1
1894,1,1,1,6
1895,0,1,1,1
1909,7,7,10,8
1910,27,12,36,23
1912,0,0,0,0
1913,0,0,0,0
1914,10,5,14,16
1915,10,5,14,16
1917,5,5,5,5
1918,6,8,6,9
1921,2,0,4,0
1923,0,8,2,6
1924,0,3,1,4
1925,3,9,8,10
1926,3,4,9,10
1934,2,1,1,3
1935,2,13,11,32
1936,3,13,13,34
1942,6,1,10,1
1948,0,0,0,0
1949,0,0,0,0
1950,1,1,1,1
1951,1,1,1,1
1956,0,0,0,0
1958,0,0,0,0
1964,15,12,61,33
1965,19,14,69,51
1973,1,1,1,0
1974,0,0,0,0
1976,3,2,3,3
1977,0,1,0,1
1981,2,0,4,0
2004,2,0,4,0
2030,4,10,20,26
2033,6,5,7,8
2036,2,4,7,9
2040,5,4,5,6
2044,9,6,8,11
2050,0,0,0,0
2052,2,2,2,2
2053,1,1,0,0
2054,1,1,2,2
2056,0,0,0,0
2057,10,14,8,19
2058,10,14,8,19
2061,0,0,0,0
2062,1,1,0,0
2065,1,1,2,1
2069,1,1,3,3
2074,0,0,1,1
2076,0,0,0,0
2078,1,1,1,1
2092,4,7,13,30
2097,1,1,1,1
2098,0,0,0,0
2099,2,0,2,0
2106,0,0,0,0
2115,0,0,0,0
2116,1,1,0,0
2117,1,1,0,0
2123,0,0,0,0
2127,1,1,1,1
2130,0,0,0,0
2131,1,1,0,0
2133,0,0,1,1
2135,0,0,0,0
2139,0,0,0,0
2141,0,0,1,1
2144,0,0,0,0
2145,0,0,0,0
2147,3,3,3,3
2152,0,0,0,0
2153,1,1,1,1
2154,0,0,0,0
2160,2,2,2,2
2162,5,5,5,5
2164,1,1,2,2
2175,0,0,0,0
2179,8,7,16,15
2180,9,8,16,15
2181,0,0,1,1
2182,1,1,1,1
2209,8,8,8,8
2212,1,2,0,2
2222,8,11,20,30
2223,12,13,22,32
2228,10,15,2,12
2229,7,8,7,8
2235,19,10,17,10
2237,14,10,10,8
2239,0,4,0,3
2244,25,25,11,12
2245,23,23,12,13
2246,1,1,0,0
2247,1,12,0,7
2248,0,1,0,0
2272,0,0,0,0
2273,0,0,0,0
2274,0,0,0,0
2315,15,6,15,2
2343,6,1,18,3
2344,6,1,18,3
2345,0,0,0,0
2351,7,5,27,9
2354,1,7,1,5
2356,7,1,18,4
2357,0,1,1,2
2360,0,0,10,0
2362,7,8,9,6
2363,4,5,10,14
2364,5,6,11,15
2365,0,0,0,0
2366,2,0,1,5
2368,3,6,11,12
2369,0,0,1,2
2370,2,5,8,11
2371,2,1,4,2
2372,1,0,1,1
2377,0,1,2,1
2380,7,7,24,27
2381,8,7,25,27
2389,1,1,0,3
2390,4,4,4,4
2391,3,3,4,1
2393,6,6,13,12
2398,0,0,0,0
2402,0,0,0,0
2404,0,1,0,0
2405,0,1,0,0
2411,0,0,0,0
2417,6,6,3,5
2418,7,7,4,6
2435,0,1,1,1
2450,13,12,8,16
2458,0,0,0,0
2459,1,0,0,0
2460,1,0,0,0
2465,0,0,0,0
2466,1,2,2,2
2473,1,0,0,0
2496,0,2,0,1
2509,0,1,1,1
2510,0,0,2,0
2511,1,3,3,7
2513,3,24,22,57
2516,0,0,2,1
2521,12,7,10,7
2531,0,0,0,0
2532,1,1,1,1
2533,1,1,1,1
2534,0,0,1,0
2535,0,0,1,0
2536,0,0,0,0
2541,1,2,1,4
2545,1,1,0,1
2546,1,1,0,1
2547,0,0,0,0
2556,0,0,2,2
2557,0,1,2,2
2558,2,3,0,7
