edgeID,AC,RB,BB,RBB
0,13,9,15,15
5592,0,2,4,5
5600,2,1,17,6
27379,50,17,25,19
29882,0,0,2,1
30118,1,1,0,0
39190,1,4,1,8
5621,1,1,1,0
5615,3,0,3,5
57633,0,0,0,0
57532,5,6,4,8
5599,3,1,2,2
5568,22,22,16,15
30046,0,2,0,2
5541,0,1,0,1
5601,5,2,19,6
5540,1,0,1,0
5458,2,1,6,4
5942,26,26,31,23
59445,1,3,1,1
5933,0,0,0,0
28830,5,5,1,3
5425,0,0,0,0
5424,0,0,0,0
5423,1,1,1,1
5941,26,26,31,23
5411,5,3,4,4
5932,1,1,1,0
39458,1,3,2,1
30084,0,0,2,1
30119,0,0,0,0
30120,1,1,0,0
57360,2,3,6,3
29802,2,3,3,0
5528,0,0,0,0
58229,6,5,13,13
30085,0,0,0,0
56444,0,0,0,0
57197,0,0,3,6
56445,0,0,0,0
56509,2,2,3,4
56511,0,0,1,0
30263,0,0,0,0
14279,1,2,1,1
30262,0,0,0,0
57198,3,3,5,9
30122,0,0,1,2
57199,2,2,3,4
14469,2,5,6,7
57321,1,1,1,1
14470,6,7,13,6
30129,1,2,4,2
57357,37,27,42,31
59453,0,0,1,0
59424,10,19,11,8
5931,1,1,1,0
59325,30,17,11,11
5884,10,9,11,18
59363,21,36,20,24
5315,0,0,1,0
5314,40,19,12,12
5313,40,19,11,12
14918,73,2,81,9
59327,12,7,6,5
58232,0,0,17,11
59365,2,1,1,4
57359,0,0,2,0
59367,2,1,1,3
59368,0,0,0,0
59369,2,1,1,3
28806,0,0,3,4
30125,5,9,11,5
30123,0,0,0,0
52489,0,0,10,4
28673,0,0,2,0
52491,0,0,13,6
28668,0,2,3,2
28747,2,1,2,4
28745,2,2,4,5
60067,0,0,0,0
28666,0,0,0,0
60118,0,0,4,0
14847,2,4,1,5
4954,24,22,21,17
14637,12,22,14,9
28665,1,1,1,3
28662,2,2,2,2
59262,3,1,2,1
29496,18,16,8,11
55645,49,27,25,27
14836,3,5,2,6
29337,38,27,42,28
58554,2,1,0,0
29477,1,1,2,0
29476,3,6,8,12
5262,1,1,0,1
14668,0,0,0,0
14669,1,9,6,13
29487,4,7,12,17
14672,1,1,1,1
14673,0,0,0,0
29394,1,2,3,4
14684,0,0,0,0
29385,1,1,1,1
29384,2,2,2,1
29383,1,1,1,0
29485,1,3,6,7
14674,1,1,1,1
58866,0,0,0,2
16656,2,1,4,3
32064,3,3,3,4
13380,1,0,1,1
58881,0,0,0,1
58985,0,0,0,1
14838,2,4,1,5
14193,0,0,1,1
32063,0,1,0,1
14188,0,0,0,1
13381,0,0,2,3
32065,2,3,4,2
13400,0,1,5,4
13402,0,0,1,1
52456,10,26,9,22
52457,34,2,56,3
30731,0,2,3,1
31838,0,0,2,0
31658,0,0,0,0
13379,0,1,4,3
16646,0,0,6,1
58867,19,11,17,17
31836,1,1,5,2
53085,0,0,0,0
53086,0,0,0,0
53087,0,0,0,0
31827,4,1,19,7
53131,8,6,21,12
53150,1,1,0,1
31826,0,0,3,0
31825,4,1,16,7
13504,3,3,3,3
31732,4,3,11,16
31709,0,0,1,0
31675,0,0,0,0
28805,0,0,2,0
58561,0,0,15,5
28769,3,1,2,3
13331,1,1,11,4
32544,1,1,3,2
32485,0,0,0,0
32522,4,3,10,7
6925,26,27,30,22
50975,11,11,13,10
51031,1,1,0,3
6830,19,27,45,26
51032,2,1,1,1
6943,2,6,11,12
6933,2,1,7,4
6918,1,1,1,1
32523,4,1,6,6
6915,1,1,5,6
32728,0,8,0,4
51033,0,0,1,0
51083,3,4,10,8
31043,1,0,4,1
31046,10,9,11,18
50970,0,0,0,0
54111,0,0,1,2
51799,0,0,0,0
6804,0,0,1,1
6803,0,0,0,5
32256,28,16,16,5
28661,4,4,4,8
32225,37,18,24,16
13329,29,22,74,46
13526,1,1,2,1
6564,13,11,10,10
31180,0,0,0,2
31145,6,12,20,17
31047,10,9,21,20
14032,0,0,8,3
32727,1,8,1,6
51357,0,0,0,0
30767,0,0,1,1
6080,0,0,0,0
30762,0,0,1,1
30742,1,0,0,0
6084,3,27,2,22
6082,3,27,2,22
6081,16,12,30,10
6079,16,12,30,10
30763,5,5,5,4
54453,2,0,2,1
55336,76,88,42,34
55354,12,20,9,20
55402,23,22,12,15
55426,0,0,0,1
55427,19,13,25,16
30734,11,22,16,11
54452,10,18,11,7
30764,4,4,3,2
6393,0,0,7,1
30765,1,2,1,1
31500,3,2,2,1
31499,2,1,2,2
54325,0,0,0,0
6552,27,28,31,23
13687,15,9,18,5
13761,0,2,2,1
13762,2,1,2,1
31498,0,0,0,0
6389,36,34,31,35
31654,5,4,12,18
31497,2,1,2,2
31496,0,0,0,0
31490,1,0,0,0
31474,0,1,0,0
50969,0,0,0,0
58865,19,11,17,15
13328,28,21,65,42
66263,1,3,3,1
26729,0,0,1,0
26681,0,0,0,0
15938,1,0,36,3
6284,0,0,0,0
54213,1,0,0,0
6315,1,1,2,1
66927,1,1,2,1
6314,4,5,5,6
54215,1,0,0,0
6285,0,1,0,1
6283,0,1,0,1
15923,3,5,9,11
31190,1,1,1,1
28659,1,1,1,1
6313,3,4,3,5
4926,1,1,0,2
67422,50,26,28,30
67417,0,0,2,2
54152,0,0,1,0
54153,0,0,0,0
3447,4,6,3,6
67171,0,1,0,1
67260,10,18,11,7
67279,53,23,28,28
67292,0,0,1,0
67287,0,0,1,1
67288,2,1,4,1
26566,1,4,0,3
67368,0,0,0,0
67369,0,1,0,1
67387,21,25,45,40
26562,0,0,2,0
67443,6,16,9,8
4908,1,0,1,0
26724,18,21,43,40
16031,10,18,14,17
66237,0,0,0,0
26734,0,0,1,0
67657,21,20,13,14
26735,0,0,1,0
15826,5,6,3,6
66233,0,0,0,0
66238,0,0,0,0
3307,0,1,1,1
66285,1,0,0,5
66248,0,0,0,0
66249,0,0,0,0
66253,2,2,3,2
66255,4,4,10,9
66244,1,0,0,0
66246,0,0,0,0
3258,0,0,0,0
66629,1,0,0,1
54206,12,22,16,11
16067,26,26,31,23
66631,0,0,0,1
66287,1,3,2,3
66397,0,14,1,12
66431,21,44,35,40
66470,16,14,22,22
66497,5,2,12,7
66558,0,0,1,2
66273,0,0,0,0
26443,1,1,4,2
66690,4,3,12,15
15813,1,2,7,2
26736,1,1,1,1
66231,1,1,1,1
3261,2,2,3,5
66257,0,0,0,1
66243,1,0,0,0
66259,3,2,2,1
2594,0,0,0,1
16899,1,1,0,3
16698,0,0,4,1
25877,2,2,6,3
16663,3,4,4,2
2980,21,13,8,2
2961,28,24,28,19
26039,1,1,1,3
16668,1,0,46,40
25876,0,0,1,0
70796,0,1,0,1
70798,3,4,3,8
25875,3,3,8,4
25727,18,21,40,39
25696,3,3,0,2
2593,0,0,0,2
25544,1,2,4,1
28072,1,1,4,0
16554,1,3,7,12
16555,0,0,0,0
25287,74,10,83,24
16924,4,6,8,6
16925,5,8,13,9
3034,1,1,3,2
3259,1,1,2,4
70797,4,4,4,8
68309,1,2,3,4
3257,0,0,2,0
3256,1,1,1,1
3219,1,1,7,1
3218,0,1,7,5
3217,1,2,14,6
26181,1,1,3,7
16645,0,0,11,6
16699,0,0,6,2
16492,1,1,2,2
68540,0,0,1,0
37694,0,0,0,1
16550,0,0,0,0
16551,1,2,0,0
16552,1,2,0,0
68598,0,0,0,0
68548,0,1,1,1
68549,0,1,1,1
68605,1,2,2,4
4600,0,1,1,1
68966,0,0,1,0
16553,1,3,7,12
69035,0,0,0,1
69195,90,48,106,55
68906,0,0,0,0
68965,0,0,1,0
28099,0,0,0,0
28104,0,1,4,1
28070,2,3,2,3
27626,1,2,3,3
4495,1,3,7,4
4599,8,10,14,18
4598,8,11,15,17
62107,1,1,1,1
28234,0,1,2,0
28121,0,0,0,0
28120,1,1,0,1
66227,11,9,14,4
68547,0,0,0,0
28103,0,1,4,1
63074,19,11,17,17
63089,0,0,1,0
63092,4,6,9,6
28100,33,22,39,26
68627,1,2,2,4
66229,11,9,14,4
32781,1,2,4,2
65647,2,9,2,5
3849,0,6,0,8
63390,0,2,2,6
63438,2,1,1,3
4435,7,6,9,1
4434,8,7,9,2
63522,3,2,3,1
60964,0,0,0,0
28303,12,17,8,21
28380,1,0,1,0
60776,2,3,0,4
4885,0,1,4,7
60850,1,0,0,0
4849,0,0,0,0
63526,0,0,0,0
61892,0,0,1,0
4848,0,0,2,1
60997,1,3,1,7
61000,1,2,1,6
61119,15,12,20,20
61090,2,5,2,5
28552,39,19,26,16
28551,39,21,25,17
63523,0,0,1,0
4693,22,30,19,23
4847,0,0,2,1
61524,2,5,9,11
15156,0,0,0,1
15157,1,0,0,1
4748,7,3,21,4
60995,1,1,1,0
61004,0,0,1,0
15097,1,2,0,0
15149,2,2,3,2
28393,0,0,4,0
28067,2,0,6,1
15231,0,0,0,0
65635,2,0,5,2
66228,1,0,0,0
63558,12,6,8,5
27782,0,0,7,1
15697,0,0,0,0
15731,0,0,0,1
15756,3,3,2,1
3879,7,6,19,23
3872,0,5,1,1
65690,13,12,49,37
3932,8,11,14,9
3931,0,0,1,1
3927,7,10,12,8
3926,7,10,12,9
65942,1,1,0,2
27768,0,0,0,0
61877,3,5,9,12
63222,7,9,15,16
65643,2,9,2,4
3859,1,26,2,19
3858,0,22,1,15
3857,0,5,0,3
3856,0,1,0,4
3853,0,2,0,1
3850,0,6,0,7
3925,0,0,0,1
65995,0,0,1,2
66222,12,10,15,5
66226,1,1,1,1
65121,0,0,1,0
63560,12,6,8,5
65119,0,0,1,0
15662,12,11,23,21
15229,0,2,1,5
63778,3,2,0,0
50708,0,0,0,0
27625,44,9,24,12
15659,0,0,2,2
27383,0,0,1,0
27378,1,1,1,1
27445,0,0,1,1
27444,2,2,3,1
27443,1,1,3,1
42281,8,7,8,6
27385,49,18,25,20
65018,0,0,2,1
64333,1,0,1,1
64592,0,0,21,22
64651,2,1,8,6
64799,1,1,1,1
64877,3,4,6,2
65029,10,9,14,4
27373,48,16,24,17
11144,0,0,0,0
3027,18,16,20,17
11146,0,0,0,0
15660,2,2,4,3
15661,10,9,21,20
4100,6,16,10,10
50807,4,3,8,3
50710,0,0,0,0
42285,11,11,13,10
42283,9,8,9,7
37693,0,0,6,2
37670,1,0,0,0
37641,4,3,3,3
42276,0,0,0,0
42279,7,6,7,5
42280,0,0,0,0
16657,0,0,2,1
42286,12,13,16,11
42287,0,0,1,0
9420,0,0,1,0
42291,0,0,1,0
42295,0,0,0,0
42298,13,15,18,14
42299,4,6,0,3
9381,0,0,4,8
9380,5,4,8,4
42303,1,9,5,11
42304,0,0,2,3
42307,0,0,5,2
42308,1,2,4,5
9500,1,1,39,36
42309,2,1,4,4
9501,2,3,67,51
42289,14,15,17,13
37802,14,16,15,18
42290,16,14,20,22
41456,9,11,18,11
38467,2,2,1,1
41455,3,5,7,5
38384,0,1,1,3
38383,12,16,15,11
38198,27,27,30,22
11060,1,9,8,13
11061,0,0,2,0
11116,1,1,1,1
11117,1,1,0,1
11062,1,9,6,13
11118,3,3,2,3
9703,19,23,43,23
9701,19,23,43,23
11135,3,3,2,3
9594,49,25,29,29
11145,0,0,0,0
11174,1,1,1,1
42382,0,0,0,0
38468,5,6,5,6
42347,0,0,1,0
37719,34,24,41,28
11185,0,0,2,1
11189,0,0,0,0
37808,0,0,2,2
37807,0,0,1,1
37806,0,0,1,1
11533,1,1,1,1
36897,0,0,0,0
11532,1,1,2,1
37345,0,0,0,0
36950,0,1,1,1
36949,0,0,0,0
36948,1,0,0,0
36940,4,1,9,2
36902,21,25,46,41
42930,1,2,1,5
36952,1,2,0,0
36939,4,1,9,2
11563,0,0,2,2
11534,0,0,1,0
36887,0,1,1,1
36886,0,1,1,1
36885,0,1,1,1
36883,6,14,8,11
36882,6,14,8,11
36881,0,0,0,0
8955,1,1,3,2
8954,0,0,0,0
8940,14,12,17,6
8939,1,1,2,1
8938,15,13,21,6
8932,1,0,7,1
42929,0,0,0,0
42310,9,16,11,16
30738,0,0,0,0
55429,0,0,5,1
15657,0,0,1,2
42345,0,0,1,0
36967,3,1,8,1
37344,0,0,0,0
37341,6,16,11,10
42332,2,3,1,2
42341,31,25,40,30
42390,2,1,2,3
42385,1,1,1,2
42387,1,1,1,1
42357,0,0,0,0
42362,0,0,0,0
42365,0,0,0,0
42366,0,0,0,0
42376,0,0,0,0
42383,1,2,0,2
10420,2,1,11,5
36959,0,0,0,0
37346,0,0,0,0
42346,0,0,0,0
42396,0,0,0,0
42405,3,2,2,2
42413,4,1,16,7
37323,89,39,107,49
37079,4,11,3,8
37006,2,1,1,3
37004,1,1,3,6
36990,4,4,3,9
36966,0,0,0,0
11569,7,11,14,8
38469,1,2,2,3
38480,5,5,5,4
39208,5,4,12,12
39862,4,7,11,17
27551,1,1,0,1
39863,0,0,3,0
15658,0,0,1,0
39188,0,0,0,5
40045,0,1,1,1
39911,0,0,0,0
39912,1,0,0,0
39919,9,6,4,6
40042,0,1,0,1
40043,1,0,3,2
38983,0,0,24,7
38987,0,0,18,11
39042,2,0,1,2
40132,21,44,34,36
40407,15,11,27,8
40409,2,2,0,1
40411,0,2,0,1
40419,3,26,2,18
38988,0,0,22,16
40131,5,32,4,26
39515,5,4,5,7
39534,1,1,2,1
10153,1,0,9,9
39325,1,0,0,2
39753,0,2,2,4
39435,6,6,7,6
39408,19,13,25,17
10154,0,0,9,14
39324,0,1,0,1
39502,19,33,19,23
39506,0,0,1,0
39511,1,1,1,0
39513,1,1,1,2
10625,1,1,5,2
39514,3,2,3,6
39503,19,31,19,23
39504,0,0,0,0
39535,3,3,3,6
39537,2,1,1,0
39551,0,0,0,0
39563,0,0,0,0
39568,1,1,1,0
39571,6,6,4,6
39573,5,7,3,6
39583,0,0,0,0
39407,19,13,25,17
39678,0,0,0,0
39679,2,0,1,2
39372,1,0,7,1
38479,3,4,3,2
38886,24,23,13,16
10138,0,0,3,2
9934,5,2,23,7
39550,0,0,0,1
38520,1,0,0,0
39562,0,0,0,0
38519,0,0,0,0
38518,0,1,1,1
9918,0,0,2,0
38515,5,5,5,4
9896,1,0,0,0
9895,0,0,1,1
9894,1,0,1,1
9890,0,0,0,0
41328,0,0,0,0
41330,0,0,0,0
41325,0,0,0,0
41398,1,2,3,4
41399,3,1,6,3
41403,26,22,27,21
41405,18,11,15,17
38509,0,0,0,0
38507,0,0,0,0
47376,19,13,25,17
47520,0,1,1,1
46921,11,22,16,11
40907,31,25,42,30
40910,4,3,3,2
38885,7,9,15,15
38686,19,21,18,14
41407,1,2,2,2
38501,1,0,0,0
38481,7,6,7,5
41212,1,0,1,0
38521,1,0,0,0
40885,24,18,40,26
38829,0,9,6,14
40864,1,1,0,0
40866,5,2,9,2
40883,13,12,28,26
40884,27,36,17,19
40886,4,1,11,3
10137,36,35,55,54
38503,0,0,0,0
10860,2,1,5,5
38502,1,0,0,0
10023,1,1,2,4
10021,0,0,0,0
10019,0,0,0,0
10008,0,1,19,22
10007,0,1,27,16
16926,1,2,5,3
38522,0,0,0,0
38775,3,2,10,15
41168,0,1,0,1
41181,25,20,29,21
38710,2,1,3,2
9966,31,40,18,21
41211,0,0,0,0
