edgeID,AC,RB,BB,RBB
0,7,4,13,5
5592,1,1,3,0
5600,2,0,13,7
27379,48,19,26,24
29882,0,0,3,2
30118,0,0,1,0
39190,2,4,0,7
5621,0,0,0,0
5615,2,2,3,3
57633,0,0,0,0
57532,7,6,9,9
5599,1,1,2,3
5568,25,18,22,18
30046,1,0,1,0
5541,0,0,1,0
5601,2,0,14,5
5540,1,1,2,1
5458,3,1,6,1
5942,35,41,52,32
59445,2,2,1,4
5933,0,0,1,0
28830,3,2,1,1
5425,0,0,0,0
5424,1,0,0,1
5423,1,0,0,1
5941,36,42,52,33
5411,1,0,1,1
5932,3,3,1,1
39458,0,1,2,1
30084,0,0,3,2
30119,0,0,0,0
30120,0,0,1,0
57360,1,1,3,3
29802,3,2,1,4
5528,0,0,0,0
58229,4,5,14,17
30085,0,0,0,0
56444,0,0,0,0
57197,0,1,3,1
56445,0,0,0,0
56509,3,3,5,4
56511,0,0,0,0
30263,0,0,0,0
14279,3,0,2,1
30262,0,0,0,0
57198,3,1,5,4
30122,1,1,2,4
57199,3,2,4,3
14469,0,0,0,0
57321,0,0,0,0
14470,2,0,10,8
30129,0,1,2,4
57357,24,25,26,33
59453,2,2,3,3
59424,10,7,12,0
5931,3,3,2,1
59325,38,17,8,11
5884,14,19,10,12
59363,22,32,24,25
5315,0,0,1,1
5314,54,20,12,14
5313,54,20,11,13
14918,109,7,95,9
59327,20,7,6,8
58232,1,1,18,17
59365,2,3,1,2
57359,0,0,1,0
59367,2,3,0,1
59368,0,0,1,1
59369,2,3,1,2
28806,0,0,5,0
30125,4,16,11,8
30123,0,0,0,1
52489,0,0,9,1
28673,0,0,2,3
52491,1,0,13,3
28668,0,0,4,2
28747,1,1,4,11
28745,3,3,3,11
60067,0,0,0,1
28666,1,1,1,0
60118,0,0,3,3
14847,0,2,0,2
4954,24,17,25,18
14637,10,6,15,1
28665,3,4,6,4
28662,5,2,5,1
59262,2,2,3,1
29496,25,18,10,11
55645,48,20,27,21
14836,0,2,0,2
29337,28,31,29,32
58554,1,2,2,0
29477,0,0,0,0
29476,4,0,4,7
5262,1,1,2,4
14668,0,0,0,0
14669,3,3,4,13
29487,4,1,6,10
14672,0,0,0,0
14673,0,0,0,0
29394,4,1,3,3
14684,0,0,0,0
29385,0,0,1,0
29384,0,0,1,1
29383,0,0,2,1
29485,1,2,5,4
14674,0,0,0,0
58866,2,1,2,1
16656,4,0,5,2
32064,1,1,3,0
13380,1,0,1,2
58881,1,0,1,1
58985,1,0,1,1
14838,0,2,0,2
14193,0,0,1,0
32063,0,0,1,0
14188,0,0,0,0
13381,1,1,2,3
32065,4,2,1,3
13400,1,2,2,5
13402,0,0,0,1
52456,7,38,7,32
52457,35,4,43,2
30731,0,0,6,0
31838,0,0,4,0
31658,0,0,0,0
13379,1,2,2,4
16646,0,1,7,1
58867,24,15,16,19
31836,0,0,8,4
53085,0,0,0,0
53086,0,0,0,0
53087,0,0,0,0
31827,8,1,27,15
53131,16,8,22,21
53150,2,2,2,4
31826,0,0,4,0
31825,8,1,23,15
13504,1,1,0,0
31732,6,11,15,11
31709,0,1,0,0
31675,1,0,0,0
28805,1,1,4,1
58561,1,0,12,5
28769,2,2,2,3
13331,0,0,10,2
32544,0,1,1,4
32485,0,0,0,0
32522,3,4,7,5
6925,44,52,54,36
50975,13,8,9,6
51031,0,0,0,0
6830,29,24,33,23
51032,0,0,0,0
6943,1,0,10,9
6933,2,1,10,4
6918,1,1,1,1
32523,8,7,7,4
6915,0,0,2,1
32728,0,10,0,5
51033,0,0,0,0
51083,8,13,23,12
31043,1,1,6,3
31046,15,20,10,12
50970,0,0,0,0
54111,2,2,4,3
51799,0,0,1,1
6804,0,0,2,0
6803,0,0,0,4
32256,28,14,11,5
28661,3,3,6,5
32225,36,15,22,9
13329,22,18,80,52
13526,0,0,1,0
6564,11,8,8,15
31180,0,0,0,1
31145,10,16,18,19
31047,16,21,13,20
14032,0,0,12,4
32727,0,3,0,5
51357,0,0,0,1
30767,2,2,3,2
6080,0,0,0,0
30762,0,0,0,0
30742,0,0,0,0
6084,4,25,4,25
6082,4,25,4,25
6081,15,16,22,22
6079,15,16,22,22
30763,6,5,2,1
54453,3,0,0,0
55336,105,121,62,46
55354,7,27,6,30
55402,31,25,16,17
55426,0,0,0,1
55427,16,15,28,15
30734,13,9,16,1
54452,9,7,14,0
30764,5,4,1,0
6393,0,0,7,0
30765,0,0,3,1
31500,1,1,2,1
31499,0,0,0,0
54325,0,0,0,0
6552,44,52,50,37
13687,9,8,15,8
13761,0,0,0,0
13762,1,0,1,2
31498,2,1,0,0
6389,43,41,36,36
31654,9,12,21,13
31497,2,1,0,1
31496,2,2,2,3
31490,0,0,1,0
31474,0,0,0,1
50969,1,1,1,1
58865,24,16,16,18
13328,21,17,73,49
66263,1,1,4,2
26729,0,0,0,0
26681,0,0,0,0
15938,0,0,41,9
6284,0,0,0,0
54213,1,2,2,4
6315,4,1,6,0
66927,0,0,2,0
6314,7,4,9,2
54215,1,2,2,4
6285,0,0,0,0
6283,0,0,0,0
15923,4,5,12,11
31190,0,0,0,0
28659,2,2,5,1
6313,3,3,5,2
4926,1,1,1,1
67422,53,27,31,27
67417,0,0,1,2
54152,0,0,1,0
54153,0,0,2,3
3447,11,16,6,5
67171,0,1,0,2
67260,9,7,14,0
67279,54,21,33,28
67292,2,1,1,3
67287,0,0,1,0
67288,1,1,5,3
26566,1,3,3,2
67368,0,0,0,0
67369,0,0,0,0
67387,29,18,41,41
26562,1,1,1,1
67443,8,9,12,4
4908,1,1,0,0
26724,28,17,39,42
16031,13,19,13,9
66237,0,0,0,0
26734,0,0,0,0
67657,25,18,19,15
26735,0,0,0,0
15826,6,5,5,5
66233,1,0,1,0
66238,1,0,1,0
3307,0,0,2,2
66285,0,0,0,4
66248,0,0,0,0
66249,0,0,0,0
66253,1,1,2,2
66255,4,4,7,5
66244,1,1,3,1
66246,0,0,0,0
3258,0,0,1,1
66629,0,0,2,2
54206,10,6,15,1
16067,38,44,52,33
