RD,AC,RL,AL,LL,GL,edgeID
0,1,0,1,0,1,0
0,0,0,0,0,0,1
1,1,1,0,0,0,3
1,1,1,0,0,0,4
0,0,0,0,0,0,5
0,0,0,0,0,1,8
0,1,0,1,0,1,11
0,0,0,0,0,0,14
0,0,0,0,0,0,20
0,0,1,0,0,0,21
0,0,1,0,0,0,22
0,0,2,0,1,0,24
0,1,1,1,0,0,25
0,0,2,0,1,0,26
0,1,1,1,0,0,27
14,2,6,4,7,2,30
17,3,6,5,9,3,31
3,1,0,1,2,5,32
3,1,1,0,2,0,33
1,0,1,0,2,0,34
2,1,0,0,0,0,35
1,0,2,1,1,0,37
1,0,3,1,1,0,38
0,0,1,0,0,0,41
2,2,1,1,1,0,42
2,2,1,1,1,2,43
2,0,3,2,2,0,55
1,0,2,2,0,0,56
1,0,1,0,2,0,57
0,0,0,0,0,0,59
0,0,0,0,1,0,65
0,0,1,0,0,1,66
0,0,1,0,1,1,67
0,0,3,0,1,0,68
0,0,0,0,1,0,69
0,0,3,0,2,0,70
0,0,4,0,1,0,74
0,0,1,0,1,0,75
0,0,2,0,1,1,78
2,1,5,5,6,1,90
2,0,1,0,1,0,92
2,0,3,0,2,0,94
0,0,0,0,0,0,107
0,1,0,1,0,6,108
1,1,1,1,1,0,112
1,0,1,0,1,1,119
1,0,0,0,0,1,121
0,0,1,0,0,0,123
1,1,2,1,1,2,124
0,0,0,0,0,0,129
0,1,0,1,0,0,130
3,2,0,1,2,0,135
3,1,0,0,2,0,136
8,9,7,14,7,8,142
0,0,1,0,1,0,143
7,8,7,13,7,9,144
0,0,1,0,1,0,153
0,0,0,0,0,0,154
0,0,1,0,1,0,155
0,0,1,0,1,0,167
0,0,0,0,0,0,168
0,0,0,0,0,0,169
0,0,0,0,0,0,170
0,0,0,0,0,0,172
0,0,0,0,0,0,174
0,1,0,0,0,0,181
0,1,0,0,0,0,182
1,0,0,0,1,0,190
1,0,0,0,1,0,191
1,0,2,0,1,0,195
1,0,2,0,1,0,196
0,0,0,0,0,0,197
0,0,0,0,0,0,198
1,6,2,12,2,0,202
3,0,3,1,3,2,205
3,0,3,1,3,2,206
0,0,0,0,0,0,207
3,1,2,1,2,0,208
3,1,2,1,2,0,209
1,4,1,1,1,7,211
0,3,0,0,0,6,213
0,0,0,0,0,0,226
4,9,1,10,3,0,227
4,9,1,10,3,0,228
0,0,0,0,0,0,239
0,0,0,0,0,0,240
0,0,0,0,0,0,241
0,0,0,0,0,0,243
2,0,2,0,0,0,245
2,0,0,0,0,1,246
0,0,2,0,0,1,247
0,0,0,0,0,0,251
0,0,2,0,0,0,252
0,0,2,0,0,0,253
4,1,4,3,6,0,264
1,2,4,2,3,4,268
1,2,4,2,4,4,269
0,0,4,0,1,0,270
0,0,1,0,1,0,275
1,0,2,0,0,1,276
0,0,2,0,0,1,278
0,0,2,0,0,1,279
1,6,0,0,0,0,282
1,1,1,0,1,0,283
0,0,2,0,0,1,286
0,0,0,1,0,0,289
0,0,0,0,0,0,292
0,1,0,0,0,0,295
1,4,0,4,0,0,330
2,1,1,1,0,1,344
0,0,0,0,0,3,347
1,1,1,1,1,0,349
1,2,2,5,3,1,361
0,0,0,0,0,1,370
1,2,3,5,3,2,373
0,0,0,0,0,0,381
8,9,7,14,7,10,390
1,2,2,5,3,8,393
1,0,4,0,2,0,398
1,0,1,0,1,0,416
0,0,0,1,0,0,423
0,0,1,2,1,3,426
1,0,0,0,0,0,444
0,0,0,0,0,4,450
0,0,0,0,0,0,456
0,1,4,0,0,0,457
0,1,4,0,0,0,458
0,0,0,0,0,0,463
0,0,0,0,0,0,466
0,0,0,0,0,0,467
0,0,0,0,0,0,469
1,1,1,0,1,6,476
9,45,3,27,1,38,494
0,0,0,0,0,0,502
0,0,0,0,0,0,503
0,1,0,16,0,10,512
0,0,23,0,0,0,513
0,1,23,16,0,10,514
0,0,2,0,2,2,516
0,0,0,0,0,4,528
0,0,1,0,0,0,532
0,1,5,0,0,1,533
0,1,4,0,0,1,534
0,0,23,0,0,0,536
0,0,0,0,0,0,537
0,0,0,0,1,1,550
0,0,1,0,1,6,551
0,0,1,0,0,5,552
0,0,0,0,0,5,553
0,0,1,0,0,0,554
0,0,4,4,3,0,559
0,0,0,0,0,0,572
3,1,2,1,2,0,573
1,0,6,1,1,0,575
0,0,0,0,0,0,576
1,2,3,1,2,0,578
0,2,6,1,1,2,579
1,0,5,0,1,2,580
0,0,0,0,0,3,583
6,0,5,0,2,0,585
0,0,0,0,0,0,588
2,0,6,0,3,0,591
0,0,2,0,0,6,595
1,0,6,1,2,2,607
0,0,5,1,1,0,608
4,2,1,0,1,4,610
5,2,1,0,1,0,611
1,0,0,0,0,4,612
1,0,0,0,0,1,616
0,0,0,0,0,0,617
1,0,0,0,0,1,618
0,0,1,0,2,0,619
3,0,2,0,5,0,620
3,0,1,0,3,0,621
1,0,1,1,1,1,622
0,0,1,1,1,0,624
0,0,0,0,0,0,625
0,0,1,2,1,0,630
3,2,0,0,0,2,631
3,2,0,0,0,1,632
1,1,1,0,1,0,633
1,1,1,0,1,0,634
0,0,0,0,0,0,635
2,0,3,0,3,3,636
0,0,0,0,0,0,639
0,1,0,1,0,1,640
0,1,0,1,0,1,641
0,0,0,0,0,0,643
0,0,0,0,0,0,645
0,0,0,0,0,0,646
0,0,0,0,0,0,648
0,0,0,0,0,0,650
0,0,0,0,0,0,651
0,0,0,0,0,0,653
0,0,0,0,0,0,654
0,0,0,0,0,7,655
0,0,0,0,0,0,658
0,0,0,0,0,0,659
0,0,0,0,0,0,660
0,1,0,0,0,0,661
0,1,0,0,0,0,662
0,0,0,0,0,7,674
2,0,2,0,1,1,678
2,7,3,13,3,1,686
1,6,3,12,3,0,688
2,5,0,2,0,0,691
0,0,0,0,0,0,720
13,6,12,6,19,0,724
0,0,0,4,0,2,726
0,0,0,3,0,2,727
0,0,0,1,0,0,728
7,4,3,5,6,0,730
0,0,0,0,1,0,731
0,0,0,0,1,0,733
0,0,0,0,0,0,734
0,0,0,0,1,0,735
15,17,34,34,37,30,752
5,0,6,0,2,1,754
4,10,47,43,44,12,758
2,2,1,2,1,0,787
3,2,2,3,2,5,788
1,0,1,1,1,5,789
0,0,2,0,1,0,791
0,0,1,0,0,2,792
0,0,0,0,0,0,793
0,0,0,0,0,0,794
1,1,1,1,1,1,795
13,1,7,2,6,2,800
1,4,1,0,1,2,802
0,2,1,1,0,0,836
0,0,0,0,1,0,837
0,2,1,1,1,0,838
0,0,0,0,0,0,839
0,0,0,0,1,0,846
2,1,0,2,1,0,848
1,0,0,2,0,0,850
0,1,0,1,0,2,855
1,1,0,1,2,10,857
0,0,0,0,0,0,866
2,0,3,1,4,1,877
2,0,1,2,8,0,882
0,4,2,8,2,0,886
2,0,1,2,8,0,899
0,0,0,0,0,0,901
4,1,7,2,3,1,907
0,0,0,0,0,0,918
0,0,1,0,2,0,920
0,0,1,0,2,0,921
0,0,0,0,0,0,922
1,1,0,0,1,0,935
0,0,0,0,0,0,936
1,1,0,0,1,0,937
0,0,0,0,0,0,960
0,0,0,0,0,0,961
0,0,0,0,0,0,962
0,0,0,0,1,0,980
0,0,0,0,0,0,1032
2,0,4,3,5,0,1051
0,0,0,0,1,0,1052
2,0,4,3,4,0,1053
4,0,2,1,5,1,1060
0,0,0,0,0,0,1067
1,1,1,1,1,4,1070
1,0,2,0,0,0,1076
1,0,2,0,0,0,1077
0,0,0,0,0,0,1078
3,1,2,4,4,1,1080
0,0,0,0,0,0,1089
1,4,0,1,0,0,1090
1,4,0,2,0,1,1097
1,0,0,0,1,1,1111
0,0,0,0,0,0,1121
4,13,5,9,2,7,1126
0,0,1,0,0,0,1127
0,0,0,0,0,4,1129
0,0,0,0,0,4,1130
0,0,0,0,0,0,1131
0,1,1,0,1,0,1133
2,4,1,5,2,0,1134
0,0,0,0,0,0,1139
0,0,0,0,0,0,1140
