RD,AC,RL,AL,LL,GL,edgeID
0,1,0,2,0,5,0
0,0,0,0,0,0,1
1,1,3,1,2,0,3
1,1,3,1,2,0,4
0,0,0,0,0,0,5
0,0,0,0,0,0,8
0,1,0,2,0,5,11
0,0,0,0,1,0,14
0,0,1,0,0,0,20
0,0,0,0,0,0,21
0,0,1,0,0,0,22
2,0,0,0,1,0,24
3,0,1,0,2,0,25
2,0,0,0,1,0,26
3,0,1,0,2,0,27
12,1,8,4,8,1,30
18,1,10,4,11,0,31
6,0,2,0,3,1,32
4,2,2,1,4,0,33
3,0,1,0,2,0,34
1,2,1,1,2,0,35
0,0,4,0,0,0,37
0,0,4,0,0,0,38
0,1,1,1,2,0,41
0,2,2,4,1,1,42
0,1,1,2,1,1,43
6,1,3,2,4,1,55
2,0,1,1,1,0,56
4,1,2,1,3,1,57
2,0,1,1,2,0,59
0,0,1,0,0,0,65
0,0,0,0,0,0,66
0,0,1,0,0,0,67
0,0,2,0,0,0,68
0,0,1,0,0,0,69
0,0,3,0,0,0,70
0,0,4,0,0,0,74
0,0,1,0,0,0,75
0,0,1,0,0,0,78
1,1,4,5,4,0,90
1,0,1,0,0,0,92
1,0,3,0,0,0,94
0,1,0,1,0,0,107
0,0,0,0,0,4,108
0,0,0,0,0,0,112
0,0,0,0,0,0,119
1,0,1,0,0,0,121
0,0,0,0,0,0,123
2,1,4,1,2,0,124
0,0,0,0,0,0,129
0,0,0,0,0,0,130
1,1,0,0,2,0,135
1,1,0,0,2,0,136
3,8,9,18,9,5,142
1,0,1,0,1,0,143
4,8,10,18,10,5,144
1,0,1,0,1,0,153
0,0,0,0,0,0,154
1,0,1,0,1,0,155
1,0,2,2,2,0,167
0,0,1,2,1,0,168
1,0,0,0,0,0,169
1,0,0,0,0,0,170
0,0,0,0,0,0,172
1,0,0,0,0,0,174
1,0,0,1,0,2,181
0,0,0,1,0,2,182
0,0,0,0,0,0,190
1,0,0,0,0,0,191
2,0,4,0,1,0,195
2,0,4,0,1,0,196
0,0,0,0,0,0,197
0,0,0,0,0,0,198
3,4,4,5,3,0,202
0,1,4,4,5,3,205
0,1,4,4,5,1,206
0,0,0,0,0,2,207
3,1,4,1,2,0,208
3,1,4,1,2,0,209
1,6,1,2,1,8,211
0,5,0,1,0,7,213
0,0,0,0,0,0,226
2,3,2,5,2,0,227
2,3,2,5,2,0,228
0,0,0,0,0,0,239
