RD,AC,RL,AL,LL,GL,edgeID
1,5,1,1,1,5,0
0,0,0,0,0,0,1
0,0,2,0,2,0,3
0,0,2,0,2,0,4
0,0,0,0,0,0,5
0,1,2,1,1,0,8
2,6,2,2,2,6,11
0,0,0,0,0,0,14
1,1,2,1,1,1,20
0,0,0,0,0,1,21
0,0,1,0,0,1,22
1,1,0,0,1,0,24
7,1,2,0,1,0,25
1,1,0,0,1,0,26
7,1,2,0,1,0,27
24,5,6,4,10,0,30
27,5,8,4,10,3,31
3,0,2,0,2,3,32
3,0,0,0,1,0,33
1,1,1,0,1,0,34
3,0,2,1,1,1,35
0,0,2,0,0,0,37
0,0,2,0,0,1,38
1,0,1,0,1,0,41
0,0,0,0,0,1,42
0,1,0,0,0,1,43
5,1,7,3,5,0,55
1,1,6,2,0,0,56
4,0,1,1,5,0,57
0,0,0,0,0,0,59
0,0,0,0,0,0,65
0,0,2,0,0,1,66
0,0,2,0,0,1,67
1,1,3,1,1,0,68
0,0,0,0,0,0,69
1,1,3,1,1,0,70
0,0,2,0,0,0,74
1,1,3,1,1,0,75
0,0,4,0,0,0,78
0,1,4,2,3,0,90
0,0,1,0,1,0,92
0,0,1,0,1,0,94
0,0,0,0,0,0,107
0,1,0,0,0,4,108
0,0,0,0,0,0,112
0,0,1,0,0,0,119
0,0,0,0,1,0,121
1,0,0,0,0,1,123
3,0,2,0,1,0,124
0,0,1,0,0,0,129
0,0,0,0,0,0,130
3,0,0,1,0,0,135
3,0,0,1,0,0,136
4,8,5,19,6,3,142
1,1,1,1,1,0,143
5,9,6,20,7,3,144
0,0,0,0,0,0,153
0,0,0,0,0,0,154
0,0,0,0,0,0,155
0,0,0,1,0,0,167
0,0,0,1,0,0,168
0,0,0,0,0,0,169
0,0,0,0,0,0,170
0,0,0,0,0,1,172
0,0,0,0,0,1,174
0,0,0,1,0,2,181
0,0,0,1,0,1,182
0,0,0,0,0,0,190
0,0,0,0,0,0,191
1,1,4,1,4,0,195
1,1,4,1,4,0,196
0,0,0,0,0,0,197
0,0,0,1,0,0,198
2,4,5,5,2,1,202
2,0,5,4,6,2,205
2,0,3,4,6,0,206
0,0,2,0,0,2,207
3,0,2,0,1,1,208
3,0,2,0,1,1,209
0,4,0,1,0,9,211
0,4,0,0,0,9,213
0,0,0,0,0,0,226
1,3,1,8,1,0,227
1,3,1,8,1,0,228
0,0,0,0,0,0,239
0,0,0,0,0,0,240
0,0,0,0,0,0,241
0,0,0,0,0,0,243
0,0,6,0,0,0,245
0,0,2,0,0,0,246
0,0,4,0,0,0,247
0,0,0,0,0,0,251
0,0,0,0,0,0,252
0,0,0,0,0,0,253
4,0,4,2,4,0,264
0,0,4,0,0,3,268
1,1,3,1,1,4,269
0,0,2,0,0,0,270
1,1,1,1,1,0,275
1,0,0,0,0,0,276
0,0,3,0,1,0,278
0,0,3,0,1,0,279
0,1,0,1,0,0,282
1,1,1,1,1,0,283
0,0,3,0,1,0,286
0,0,0,0,0,0,289
0,0,0,0,0,0,292
1,0,0,0,0,0,295
0,3,0,3,1,0,330
2,0,0,0,0,0,344
0,0,0,0,0,0,347
2,0,2,0,1,1,349
3,3,0,0,0,1,361
0,0,1,0,0,1,370
3,3,1,0,0,3,373
0,0,0,0,0,0,381
4,8,5,19,6,5,390
1,2,1,0,0,4,393
2,0,3,0,3,0,398
1,0,2,1,2,1,416
3,1,0,0,1,1,423
0,0,1,2,0,1,426
0,0,0,0,0,3,444
0,0,0,0,0,3,450
0,0,0,0,0,0,456
0,1,8,1,1,3,457
0,1,8,1,1,3,458
2,0,2,3,1,1,463
0,0,1,0,0,0,466
0,0,1,0,0,0,467
0,0,0,0,0,0,469
1,1,0,0,0,8,476
8,38,4,19,2,32,494
0,0,0,0,0,0,502
1,0,0,0,0,0,503
0,0,0,16,0,14,512
0,0,15,0,0,0,513
0,0,15,16,0,14,514
0,0,4,0,0,3,516
0,0,0,0,0,7,528
0,0,0,0,0,1,532
0,0,2,0,0,1,533
0,0,2,0,0,0,534
0,0,15,0,0,1,536
0,0,0,0,0,1,537
1,0,0,0,1,1,550
1,0,4,0,1,8,551
0,0,4,0,0,7,552
0,0,0,0,0,7,553
0,0,4,0,0,0,554
0,0,5,2,2,3,559
0,0,0,0,0,0,572
3,0,2,0,1,1,573
0,0,3,0,0,0,575
0,0,1,0,0,1,576
0,3,0,2,2,0,578
0,3,4,2,2,3,579
0,0,4,0,0,3,580
0,0,0,0,0,0,583
4,1,5,1,9,1,585
0,0,0,0,0,0,588
1,0,2,0,0,0,591
0,0,1,0,2,2,595
1,0,5,0,0,0,607
1,0,5,0,0,3,608
1,2,0,1,0,1,610
3,2,0,1,0,0,611
2,0,0,0,0,1,612
0,0,0,0,0,0,616
0,0,1,1,1,0,617
1,1,0,0,0,1,618
2,0,4,1,2,0,619
3,1,5,0,5,1,620
0,0,2,0,4,0,621
0,0,0,0,0,0,622
0,0,1,1,1,0,624
0,0,1,1,1,0,625
0,0,1,2,1,0,630
2,1,0,1,1,2,631
2,1,0,1,0,1,632
2,1,1,2,0,0,633
2,1,1,2,0,0,634
0,0,0,0,0,0,635
