RD,AC,RL,AL,LL,GL,edgeID
0,1,0,1,0,3,0
0,0,0,0,0,0,1
0,1,1,0,0,0,3
0,1,1,0,0,0,4
0,0,0,0,0,0,5
0,0,1,0,0,1,8
0,1,0,1,0,3,11
0,0,0,0,0,0,14
0,0,3,0,0,0,20
0,0,0,0,0,0,21
0,0,3,0,0,0,22
0,1,1,1,1,0,24
1,0,0,0,0,0,25
0,1,1,1,1,0,26
1,0,0,0,0,0,27
20,2,7,2,8,1,30
22,3,9,2,10,1,31
2,1,2,0,2,2,32
7,1,3,0,5,0,33
6,0,5,0,5,0,34
1,1,2,0,2,0,35
0,0,4,0,2,0,37
0,0,4,0,2,0,38
0,1,1,0,1,2,41
0,0,0,0,0,2,42
0,0,0,0,0,0,43
3,2,4,1,3,0,55
1,2,3,1,2,0,56
2,0,1,0,1,0,57
1,0,1,1,1,1,59
1,0,2,1,1,0,65
0,0,0,0,0,1,66
0,1,1,0,0,0,67
1,0,3,0,1,0,68
1,0,1,0,0,0,69
2,0,4,0,1,0,70
1,0,4,0,1,0,74
1,0,2,0,0,0,75
1,0,2,0,0,1,78
5,3,1,5,7,0,90
0,0,2,0,1,0,92
1,0,4,0,2,0,94
0,0,0,0,0,0,107
0,0,0,1,0,2,108
0,1,0,1,0,1,112
0,0,1,0,0,0,119
0,0,1,0,1,0,121
0,0,0,0,0,2,123
2,1,4,1,4,0,124
0,0,1,0,0,0,129
0,0,0,0,0,0,130
4,1,0,0,3,0,135
4,1,0,0,3,0,136
4,6,6,12,6,1,142
0,0,0,0,0,0,143
4,6,6,12,6,1,144
0,0,0,0,0,0,153
0,0,0,0,0,0,154
0,0,0,0,0,0,155
0,0,0,0,0,0,167
0,0,0,0,0,0,168
0,0,0,0,0,0,169
0,0,0,0,0,0,170
0,0,0,0,0,0,172
0,0,0,0,0,0,174
0,1,0,0,0,0,181
0,1,0,0,0,0,182
1,0,1,0,1,0,190
1,0,1,0,1,0,191
1,1,1,1,1,0,195
1,1,1,1,1,0,196
0,0,0,0,0,0,197
0,0,0,0,0,0,198
1,8,3,5,3,0,202
0,0,3,1,2,0,205
0,0,3,1,2,1,206
0,0,0,0,0,1,207
1,0,6,0,5,1,208
2,1,6,1,6,1,209
1,5,2,3,2,7,211
0,4,1,2,0,7,213
0,0,0,0,1,1,226
3,7,1,4,1,0,227
3,7,1,4,2,1,228
0,0,0,0,0,0,239
0,0,0,0,0,0,240
0,0,0,0,0,0,241
0,0,0,0,0,0,243
0,0,1,0,0,0,245
0,0,1,0,0,0,246
0,0,0,0,0,0,247
0,0,1,1,0,0,251
0,0,0,0,0,0,252
0,0,1,1,0,0,253
3,0,1,0,5,0,264
0,0,2,1,1,7,268
0,0,1,1,0,7,269
0,0,1,0,1,0,270
0,0,0,0,0,0,275
0,0,0,0,0,0,276
0,0,2,0,0,0,278
0,0,2,0,0,0,279
2,1,1,2,2,0,282
0,0,0,0,0,0,283
0,0,2,0,0,0,286
0,0,0,0,0,0,289
0,1,0,0,0,0,292
0,1,0,0,0,0,295
1,3,0,1,0,0,330
0,0,0,0,3,1,344
0,0,0,0,0,0,347
2,1,5,1,4,2,349
3,0,1,4,1,0,361
0,0,0,0,0,2,370
3,2,1,4,1,2,373
0,0,0,0,0,0,381
4,6,6,13,6,3,390
1,2,1,4,3,10,393
4,0,5,0,3,0,398
1,0,5,0,1,0,416
1,0,2,1,0,2,423
0,0,0,0,0,0,426
2,1,2,1,1,1,444
0,0,0,0,0,3,450
0,0,0,0,0,0,456
0,1,3,2,1,1,457
0,1,3,2,1,1,458
1,0,0,0,1,0,463
0,0,0,0,0,0,466
0,0,0,0,0,1,467
0,0,0,0,0,1,469
0,0,0,0,0,4,476
10,41,4,16,0,30,494
0,0,0,0,0,0,502
1,1,0,0,1,0,503
0,0,1,7,0,15,512
0,0,11,0,2,0,513
0,0,12,7,2,15,514
3,0,5,2,0,1,516
0,0,0,0,0,2,528
0,0,0,0,0,0,532
0,0,0,0,0,0,533
0,0,0,0,0,0,534
0,0,11,0,2,0,536
0,0,0,0,0,0,537
1,0,0,0,1,3,550
1,0,0,0,1,10,551
0,0,0,0,0,7,552
0,0,0,0,0,7,553
0,0,0,0,0,0,554
0,0,2,0,0,3,559
0,0,1,0,0,1,572
1,0,5,0,5,2,573
0,0,2,0,0,0,575
0,0,2,0,0,0,576
3,3,1,1,0,0,578
3,3,8,1,0,8,579
0,0,7,0,0,8,580
0,0,0,0,0,0,583
3,0,2,0,5,0,585
0,0,0,0,0,0,588
0,0,4,0,1,0,591
0,0,4,0,3,4,595
1,0,5,0,3,0,607
1,0,4,0,3,8,608
0,0,0,0,0,3,610
0,0,0,0,0,0,611
0,0,0,0,0,3,612
0,0,0,0,0,0,616
0,0,0,0,0,0,617
0,0,0,0,0,0,618
0,0,6,0,3,0,619
4,1,14,3,11,0,620
4,1,8,3,8,0,621
0,0,0,0,0,0,622
0,0,0,0,0,0,624
0,0,0,0,0,0,625
0,0,0,0,0,0,630
0,0,0,0,0,0,631
0,0,0,0,0,0,632
0,0,0,0,0,0,633
0,0,0,0,0,0,634
0,0,0,0,0,0,635
3,0,1,0,5,1,636
0,0,0,0,0,0,639
0,0,0,0,0,0,640
0,0,0,0,0,0,641
0,0,0,0,0,0,643
0,0,0,0,0,0,645
0,0,0,0,0,0,646
0,0,0,0,1,0,648
4,0,0,0,0,0,650
4,0,0,0,1,0,651
4,0,0,0,0,0,653
0,0,0,0,0,0,654
0,0,0,0,0,7,655
0,0,0,0,0,0,658
4,0,0,0,1,0,659
4,0,0,0,1,0,660
0,0,0,0,0,0,661
0,0,0,0,0,0,662
0,0,1,0,0,3,674
1,1,3,1,2,0,678
1,7,3,5,4,1,686
1,7,3,5,4,1,688
1,2,3,5,2,0,691
0,0,1,0,0,0,720
17,10,13,13,29,0,724
0,1,0,1,0,3,726
0,1,0,1,0,3,727
0,0,0,0,0,0,728
14,10,4,13,18,0,730
0,0,0,0,0,0,731
0,0,0,0,0,0,733
0,0,0,0,0,0,734
0,0,0,0,0,0,735
15,10,28,32,31,16,752
