RD,AC,RL,AL,LL,GL,edgeID
0,1,0,0,0,3,0
0,0,0,0,0,0,1
0,0,3,1,3,0,3
0,0,3,1,3,0,4
0,0,0,0,0,0,5
0,0,0,0,0,0,8
0,1,0,0,0,3,11
0,0,0,0,0,0,14
0,0,1,0,0,0,20
0,0,0,0,0,0,21
0,0,1,0,0,0,22
2,1,4,2,4,0,24
5,0,2,2,4,0,25
2,1,4,1,4,0,26
5,0,2,3,4,0,27
21,3,9,3,9,0,30
23,3,7,3,9,3,31
2,0,2,0,2,3,32
2,0,0,0,1,0,33
1,0,1,0,1,0,34
1,0,1,0,0,0,35
0,0,4,0,0,0,37
0,0,4,0,0,0,38
2,0,1,0,1,0,41
1,4,2,3,2,2,42
3,4,3,3,3,4,43
6,3,9,4,7,1,55
1,2,5,3,1,0,56
4,0,3,0,5,0,57
0,0,1,0,1,0,59
0,0,1,0,0,0,65
0,0,2,0,0,2,66
0,0,3,0,0,2,67
1,1,2,1,1,0,68
0,0,1,0,0,0,69
1,1,3,1,1,0,70
0,0,2,0,0,0,74
0,0,2,0,0,1,75
0,0,2,0,0,1,78
1,1,3,2,3,0,90
0,0,1,0,0,0,92
0,0,3,0,0,0,94
0,0,0,0,0,0,107
0,0,0,0,0,5,108
0,0,0,0,0,1,112
0,0,0,0,0,0,119
0,0,1,0,0,0,121
1,0,0,0,0,0,123
1,1,6,0,4,0,124
0,0,0,0,0,0,129
0,0,0,0,0,0,130
2,0,0,0,0,0,135
2,0,0,0,0,0,136
4,12,9,17,7,3,142
1,0,1,0,1,0,143
5,12,10,17,8,3,144
1,0,1,0,1,0,153
0,0,0,0,0,0,154
1,0,1,0,1,0,155
1,0,1,0,1,0,167
0,0,0,0,0,0,168
0,0,0,0,0,0,169
0,0,0,0,0,0,170
0,0,0,0,0,0,172
0,0,0,0,0,0,174
0,0,0,1,0,1,181
0,0,0,1,0,1,182
0,0,0,0,0,0,190
0,0,0,0,0,0,191
1,0,0,0,0,0,195
1,0,0,0,0,0,196
0,0,0,0,0,0,197
0,0,0,0,0,0,198
3,5,7,6,1,0,202
4,1,4,1,2,4,205
3,0,3,2,3,2,206
0,0,2,0,0,1,207
2,1,6,0,4,0,208
2,1,6,0,4,0,209
0,3,1,1,1,7,211
0,2,0,0,0,7,213
0,0,0,0,0,0,226
7,7,2,8,5,0,227
7,7,2,8,5,0,228
0,0,0,0,0,0,239
0,0,1,0,1,0,240
0,0,1,0,1,0,241
0,0,0,0,0,0,243
1,0,4,1,5,0,245
1,0,2,1,5,0,246
0,0,2,0,0,0,247
0,0,1,0,0,0,251
0,0,0,0,0,0,252
0,0,1,0,0,0,253
3,1,2,0,2,0,264
1,1,4,1,3,1,268
1,1,2,1,2,1,269
0,0,2,0,1,0,270
2,0,1,0,1,0,275
2,0,1,0,0,0,276
0,0,1,0,0,0,278
0,0,1,0,0,0,279
0,0,1,0,0,0,282
0,0,0,0,0,0,283
0,0,2,0,1,0,286
0,0,0,0,0,0,289
0,0,0,0,0,0,292
0,0,0,0,0,0,295
0,1,0,1,0,0,330
3,0,0,0,0,0,344
0,0,0,0,0,1,347
1,1,6,0,4,0,349
0,1,2,2,2,1,361
0,0,0,0,0,2,370
0,1,2,2,2,3,373
0,0,0,0,0,0,381
4,12,9,17,7,7,390
0,1,2,2,2,8,393
1,0,3,0,5,0,398
1,1,1,1,1,0,416
3,1,0,1,3,1,423
0,0,0,1,0,0,426
1,0,0,0,0,1,444
0,0,0,0,0,9,450
0,0,0,0,0,0,456
0,2,6,1,0,1,457
0,2,6,1,0,1,458
1,0,1,0,1,0,463
0,1,1,1,0,1,466
0,1,0,1,0,1,467
0,0,1,0,0,0,469
0,0,0,0,0,9,476
10,52,6,26,5,38,494
0,0,0,0,0,0,502
1,0,0,0,1,0,503
0,0,0,13,0,8,512
0,0,13,0,0,0,513
0,0,13,13,0,8,514
3,0,4,0,2,4,516
0,0,0,0,0,8,528
0,0,0,0,0,1,532
0,0,2,0,0,1,533
0,0,2,0,0,0,534
0,0,13,0,0,0,536
0,0,0,0,0,0,537
0,0,2,0,1,4,550
0,0,3,0,1,9,551
0,0,1,0,0,5,552
0,0,0,0,0,5,553
0,0,1,0,0,0,554
1,0,5,1,2,5,559
0,0,0,0,0,0,572
2,1,6,0,4,0,573
0,0,3,0,1,1,575
0,0,1,0,1,0,576
2,4,3,4,2,1,578
0,5,10,3,2,7,579
1,0,8,0,1,7,580
0,0,0,0,0,0,583
7,1,4,1,8,0,585
0,0,0,0,0,0,588
1,0,1,0,0,2,591
1,0,1,0,1,5,595
0,1,4,2,3,2,607
1,1,6,2,4,5,608
2,1,1,0,0,1,610
2,1,1,0,0,0,611
0,0,0,0,0,1,612
0,0,0,0,0,0,616
0,0,0,0,0,0,617
0,0,0,0,0,0,618
1,0,3,0,3,0,619
2,0,6,1,8,0,620
3,0,3,1,7,0,621
0,0,0,0,0,0,622
0,0,0,0,0,0,624
0,0,0,0,0,0,625
0,0,0,1,0,0,630
1,1,0,0,0,0,631
1,1,0,0,0,0,632
0,3,0,1,1,0,633
0,3,0,1,1,0,634
0,0,0,0,0,0,635
4,1,1,1,3,1,636
0,0,0,0,0,0,639
0,0,0,0,0,0,640
0,0,0,0,0,0,641
0,0,0,0,0,0,643
0,0,0,0,0,0,645
0,0,0,0,0,0,646
0,0,0,0,0,0,648
0,0,0,0,0,0,650
0,0,0,0,0,0,651
2,0,1,0,1,0,653
2,0,1,0,1,0,654
0,0,0,0,0,7,655
0,0,0,0,0,0,658
0,0,0,0,0,0,659
0,0,0,0,0,0,660
0,0,0,0,0,0,661
0,0,0,0,0,0,662
0,0,0,0,0,6,674
2,0,8,1,1,0,678
4,5,7,6,3,0,686
4,5,7,6,3,0,688
2,1,1,3,1,1,691
0,0,0,0,1,0,720
18,6,11,17,22,0,724
1,1,1,1,1,2,726
0,0,0,0,0,1,727
0,0,0,0,0,0,728
8,7,4,15,11,0,730
1,0,0,0,0,0,731
0,0,0,0,0,0,733
1,0,0,0,0,0,734
1,0,0,0,0,0,735
13,21,37,31,28,26,752
2,0,2,0,3,0,754
8,7,42,29,36,11,758
0,0,0,0,0,0,787
3,2,3,1,1,7,788
3,2,3,1,1,7,789
0,0,0,0,0,0,791
0,0,0,0,0,0,792
0,0,0,0,0,2,793
1,0,1,2,1,0,794
1,0,1,2,1,2,795
8,0,3,0,4,0,800
2,3,0,0,0,2,802
1,3,3,3,1,0,836
1,0,0,0,0,0,837
1,4,3,4,1,1,838
1,1,0,1,0,1,839
1,0,2,0,2,0,846
4,2,1,2,3,0,848
3,3,1,3,3,0,850
1,1,0,3,3,8,855
1,4,3,6,1,17,857
0,1,0,0,0,1,866
1,0,3,1,3,2,877
2,0,3,0,8,0,882
0,3,0,2,1,0,886
2,0,5,0,9,0,899
0,0,2,0,1,0,901
3,0,3,1,1,3,907
