RD,AC,RL,AL,LL,GL,edgeID
0,5,0,1,0,6,0
0,0,0,0,0,0,1
0,0,0,1,1,0,3
0,0,0,1,1,0,4
0,0,0,0,0,0,5
1,1,1,1,1,1,8
0,5,0,1,0,6,11
0,0,0,0,0,0,14
0,0,0,0,0,0,20
0,0,0,0,0,0,21
0,0,0,0,0,0,22
1,1,2,1,2,0,24
5,2,6,2,5,0,25
1,1,2,1,2,0,26
5,2,6,2,5,0,27
15,3,7,4,8,0,30
16,4,8,3,10,1,31
1,1,1,1,2,1,32
1,0,0,0,1,0,33
1,0,0,0,1,0,34
0,0,0,0,0,0,35
0,0,6,0,1,0,37
0,0,6,0,1,0,38
1,0,0,0,1,2,41
0,0,0,0,0,1,42
0,0,0,1,0,0,43
2,2,2,1,2,0,55
0,2,0,1,1,0,56
2,0,2,0,1,0,57
2,1,0,0,0,0,59
0,0,1,0,0,0,65
0,0,1,0,0,0,66
0,0,2,0,0,0,67
0,0,2,0,0,0,68
0,0,1,0,0,0,69
0,0,3,0,0,0,70
0,0,3,0,0,0,74
0,0,0,0,0,0,75
0,0,1,0,0,0,78
4,2,3,4,4,1,90
0,0,0,0,1,0,92
0,0,3,0,1,0,94
0,0,0,0,0,0,107
0,1,0,0,0,3,108
0,0,0,0,0,0,112
0,0,0,0,0,0,119
0,0,0,0,1,0,121
0,0,0,0,1,1,123
2,1,6,1,3,0,124
0,0,0,0,0,0,129
0,0,0,0,0,0,130
1,0,0,0,1,0,135
1,0,0,0,1,0,136
3,8,8,11,8,1,142
0,0,0,0,0,0,143
3,8,8,11,8,1,144
0,0,0,0,0,0,153
0,0,0,0,0,0,154
0,0,0,0,0,0,155
0,0,0,0,0,0,167
0,0,0,0,0,0,168
0,0,0,0,0,0,169
0,0,0,0,0,0,170
0,0,0,0,0,0,172
0,0,0,0,0,0,174
0,0,0,2,0,2,181
0,0,0,2,0,2,182
0,0,0,1,0,0,190
0,0,0,1,0,0,191
0,0,1,0,1,0,195
0,0,1,0,1,0,196
0,0,0,0,0,0,197
