RD,AC,RL,AL,LL,GL,edgeID
0,1,0,0,0,3,0
0,0,0,0,0,0,1
3,1,0,1,1,0,3
3,1,0,1,1,0,4
0,0,0,0,0,0,5
0,0,0,0,0,0,8
1,2,1,1,1,4,11
0,0,0,0,0,0,14
0,0,1,0,0,0,20
0,0,2,0,0,0,21
0,0,3,0,0,0,22
1,0,0,0,1,0,24
1,0,1,2,2,0,25
1,0,0,0,1,0,26
1,0,1,2,2,0,27
22,2,9,3,10,0,30
25,2,11,4,15,2,31
3,0,4,1,5,2,32
1,0,0,0,3,0,33
1,0,1,1,3,0,34
0,0,1,1,0,0,35
0,0,5,0,0,0,37
0,0,7,0,0,0,38
0,0,0,0,0,0,41
0,0,0,0,0,0,42
1,0,0,0,0,0,43
4,0,2,0,2,0,55
1,0,2,0,2,0,56
3,0,0,0,0,0,57
0,0,0,0,0,0,59
0,0,2,0,0,0,65
0,0,1,0,0,0,66
0,0,3,0,0,0,67
0,0,1,0,2,0,68
0,0,2,0,0,0,69
0,0,3,0,2,0,70
0,0,5,0,0,0,74
0,0,2,0,2,0,75
0,0,1,0,2,0,78
0,2,0,0,1,0,90
0,0,1,0,0,0,92
0,0,4,0,0,0,94
1,0,0,0,0,0,107
1,0,0,0,0,1,108
0,0,0,1,0,1,112
0,0,1,0,0,0,119
0,0,0,0,0,0,121
0,0,0,0,0,0,123
2,1,4,1,1,1,124
0,0,1,0,0,0,129
0,0,0,0,0,0,130
0,0,0,0,1,0,135
0,0,0,0,1,0,136
1,8,9,17,8,1,142
0,1,0,0,0,0,143
1,7,9,17,8,1,144
1,0,0,0,0,0,153
1,1,0,0,0,0,154
0,1,0,0,0,0,155
0,0,1,1,0,0,167
1,0,1,1,0,0,168
0,0,1,1,1,0,169
0,0,0,0,0,1,170
0,0,0,0,0,0,172
0,0,0,0,0,1,174
0,0,0,1,0,3,181
0,0,0,1,0,2,182
0,0,0,0,0,0,190
0,0,1,1,1,0,191
1,1,1,0,1,0,195
1,1,1,0,1,0,196
0,0,0,0,0,0,197
1,1,1,1,1,0,198
1,1,2,5,5,0,202
1,0,2,2,6,0,205
1,0,2,1,6,0,206
0,0,0,1,0,0,207
2,1,5,1,1,0,208
2,1,5,1,1,0,209
0,2,0,1,0,5,211
0,2,0,1,0,5,213
1,0,1,1,0,0,226
3,4,2,5,3,0,227
4,4,1,6,3,0,228
0,0,0,0,0,0,239
0,0,0,0,0,0,240
0,0,0,0,0,0,241
0,0,0,0,0,0,243
0,0,5,0,1,0,245
0,0,3,0,1,0,246
0,0,2,0,0,0,247
0,0,0,0,0,0,251
0,0,0,1,0,0,252
0,0,0,1,0,0,253
2,0,2,2,5,1,264
2,3,2,1,2,7,268
1,3,2,1,2,10,269
1,0,2,0,2,3,270
0,0,0,0,0,0,275
0,0,0,0,0,0,276
1,1,2,1,1,1,278
1,1,2,1,1,1,279
0,2,0,1,0,0,282
1,4,1,3,1,0,283
0,0,1,0,0,0,286
4,1,3,1,3,0,289
1,0,0,0,0,0,292
1,0,0,0,0,0,295
0,1,0,0,0,0,330
0,0,0,0,0,0,344
0,0,0,0,0,2,347
2,1,4,1,1,0,349
0,2,0,3,2,0,361
0,0,0,0,0,1,370
0,2,0,3,2,1,373
0,0,0,0,0,0,381
2,8,10,18,7,4,390
1,3,2,5,2,13,393
4,0,6,0,3,0,398
2,0,6,0,1,0,416
0,0,3,0,1,1,423
0,0,0,0,0,3,426
1,0,1,1,1,3,444
0,0,0,0,0,3,450
0,0,0,1,0,1,456
1,1,2,0,1,1,457
1,1,2,1,1,2,458
0,0,0,1,0,0,463
0,0,1,0,0,0,466
0,0,1,0,0,0,467
0,0,0,0,0,0,469
0,0,0,0,0,2,476
12,35,5,17,8,30,494
0,0,0,0,0,0,502
0,0,0,0,0,0,503
0,2,1,14,0,13,512
1,0,15,0,2,0,513
0,1,15,15,3,12,514
1,0,3,1,1,3,516
0,0,0,0,0,2,528
0,0,0,0,0,0,532
0,0,2,0,1,0,533
0,0,2,0,1,0,534
1,0,15,0,2,0,536
0,0,0,0,0,0,537
0,0,0,0,3,6,550
0,0,1,0,3,11,551
0,0,1,0,0,5,552
0,0,0,0,0,5,553
0,0,1,0,0,0,554
0,0,2,2,1,2,559
0,0,0,0,0,0,572
2,1,5,1,1,0,573
0,0,2,0,1,0,575
0,0,0,0,0,0,576
2,2,1,5,1,0,578
2,2,7,5,1,6,579
0,0,6,0,0,6,580
0,0,0,0,0,1,583
6,2,1,1,7,1,585
0,0,0,0,0,0,588
2,0,4,0,1,0,591
1,0,0,0,0,5,595
2,0,3,1,1,1,607
2,0,5,1,1,5,608
0,2,2,1,1,3,610
3,1,1,1,0,0,611
4,0,0,1,0,4,612
0,0,0,0,0,0,616
0,0,0,0,0,1,617
0,0,0,0,0,1,618
0,0,6,0,3,0,619
1,0,8,1,6,0,620
1,0,2,1,3,0,621
0,0,0,0,0,0,622
0,0,0,0,0,0,624
0,0,0,0,0,0,625
0,0,0,0,0,0,630
3,1,0,1,0,4,631
3,1,0,1,0,1,632
0,3,0,0,0,0,633
0,3,0,0,0,0,634
0,0,0,0,0,0,635
0,0,2,3,4,2,636
0,0,0,0,0,0,639
0,0,0,0,0,0,640
0,0,0,0,0,0,641
0,0,0,0,0,0,643
0,0,0,0,0,0,645
0,0,0,0,0,0,646
0,0,0,0,0,0,648
1,0,0,0,0,0,650
1,0,0,0,0,0,651
2,0,1,0,1,0,653
1,0,1,0,1,0,654
0,0,0,0,0,2,655
0,0,0,0,0,0,658
1,0,0,0,0,0,659
1,0,0,0,0,0,660
0,0,0,0,0,0,661
0,0,0,0,0,0,662
0,0,0,0,0,5,674
1,0,2,0,1,0,678
2,1,2,5,6,0,686
2,1,2,5,6,0,688
0,0,0,3,0,0,691
0,0,0,0,0,0,720
16,8,14,11,24,0,724
0,0,0,2,0,1,726
0,0,0,2,0,1,727
0,0,0,0,0,0,728
9,5,5,8,11,0,730
0,0,1,1,1,0,731
0,0,1,1,1,0,733
0,0,0,0,0,0,734
0,0,1,1,1,0,735
7,16,28,30,21,24,752
2,1,0,1,2,0,754
11,11,36,28,35,10,758
0,0,1,1,2,0,787
1,1,1,1,2,2,788
1,1,2,2,2,2,789
0,0,1,1,2,0,791
0,0,0,0,0,0,792
0,0,0,0,0,0,793
0,0,0,0,0,0,794
0,0,0,0,0,0,795
8,1,1,1,2,0,800
2,4,2,1,2,4,802
2,2,0,4,1,0,836
0,0,0,0,0,0,837
2,2,1,5,1,0,838
0,0,1,1,0,0,839
2,0,0,0,1,0,846
4,1,0,0,3,0,848
2,0,0,0,2,0,850
0,2,0,3,0,3,855
0,2,0,5,4,7,857
1,0,0,0,0,0,866
1,0,0,0,1,0,877
9,0,8,2,15,0,882
2,5,1,3,2,0,886
9,0,8,2,15,0,899
0,0,0,0,0,0,901
4,2,2,1,2,3,907
