RD,AC,RL,AL,LL,GL,edgeID
0,1,0,0,0,7,0
0,0,0,0,0,0,1
2,0,1,0,4,0,3
2,0,1,0,4,0,4
0,0,0,0,0,0,5
0,0,2,0,0,0,8
0,1,0,0,0,7,11
0,0,0,0,0,0,14
0,0,1,0,0,0,20
0,0,0,0,0,0,21
0,0,1,0,0,0,22
3,0,0,0,1,0,24
2,2,2,1,3,0,25
3,0,0,0,2,0,26
2,2,2,1,2,0,27
19,5,8,2,10,1,30
20,5,8,2,10,3,31
1,0,0,0,2,4,32
4,0,1,0,2,0,33
1,0,1,0,2,0,34
4,1,1,1,1,1,35
0,0,6,0,0,0,37
0,0,6,0,0,0,38
1,1,0,1,0,1,41
0,2,0,2,0,0,42
0,1,0,1,0,1,43
4,1,6,3,6,0,55
1,1,1,1,5,0,56
3,0,5,2,1,0,57
0,0,0,0,0,0,59
0,0,0,0,0,0,65
0,0,1,0,0,0,66
0,0,1,0,0,0,67
0,0,3,0,0,0,68
0,0,0,0,0,0,69
0,0,3,0,0,0,70
0,0,4,0,0,0,74
0,0,1,0,0,0,75
0,0,0,0,0,0,78
1,1,2,2,2,1,90
0,0,1,0,0,0,92
0,0,5,0,0,0,94
0,0,0,0,0,0,107
0,0,0,0,0,3,108
0,0,0,0,0,0,112
0,0,0,0,0,0,119
0,0,1,0,0,0,121
0,0,1,0,1,0,123
0,0,2,2,2,1,124
0,0,0,0,0,0,129
0,0,0,0,0,0,130
3,0,0,0,1,0,135
3,0,0,0,1,0,136
6,4,7,18,5,4,142
1,0,0,0,1,0,143
7,4,7,18,6,4,144
1,0,0,0,1,0,153
0,0,0,0,0,0,154
1,0,0,0,1,0,155
1,0,0,0,1,0,167
0,0,0,0,0,0,168
0,0,0,0,0,0,169
0,0,0,0,0,0,170
0,0,0,0,0,0,172
0,0,0,0,0,0,174
0,0,1,0,0,2,181
0,0,1,0,0,2,182
0,0,0,0,0,0,190
0,0,0,0,0,0,191
0,0,0,0,0,0,195
0,0,0,0,0,0,196
0,0,0,0,0,0,197
0,0,0,0,0,0,198
3,10,1,5,2,0,202
2,0,2,2,3,2,205
2,0,2,1,3,2,206
0,0,0,1,0,0,207
0,0,2,2,1,0,208
0,0,2,2,1,0,209
1,4,1,2,0,6,211
0,1,0,0,0,6,213
0,0,0,0,0,0,226
6,7,2,8,4,0,227
6,7,2,8,4,0,228
0,0,1,0,0,0,239
0,0,1,0,1,0,240
0,0,0,0,1,0,241
0,0,0,0,0,0,243
1,0,6,1,1,0,245
1,0,3,1,1,0,246
0,0,3,0,0,0,247
0,0,0,0,0,0,251
0,0,0,0,0,0,252
0,0,0,0,0,0,253
0,0,0,0,1,0,264
3,0,1,0,2,3,268
3,0,4,0,2,3,269
0,0,3,0,0,0,270
2,0,1,0,1,0,275
1,0,0,0,0,0,276
0,0,0,0,0,0,278
0,0,1,0,0,0,279
0,1,0,0,0,1,282
0,1,0,0,0,0,283
0,0,0,0,1,0,286
2,1,2,3,1,0,289
0,1,0,0,0,0,292
0,1,0,0,0,0,295
1,4,0,1,0,0,330
1,1,0,0,0,0,344
0,0,0,0,0,2,347
0,0,1,2,1,0,349
0,0,2,0,1,0,361
0,0,0,0,0,2,370
0,1,2,1,1,2,373
2,0,0,0,0,0,381
6,4,7,18,6,8,390
0,2,2,1,1,10,393
1,0,2,0,3,0,398
0,0,2,0,0,0,416
1,0,1,0,1,0,423
0,0,0,1,0,1,426
0,0,1,0,1,4,444
0,1,1,1,1,5,450
0,0,0,0,0,0,456
1,1,3,1,0,2,457
1,1,3,1,0,2,458
0,0,0,0,0,0,463
0,1,0,1,0,1,466
0,1,0,1,0,1,467
0,0,0,0,0,0,469
1,0,0,0,0,4,476
9,31,5,20,4,26,494
0,0,0,0,0,0,502
0,0,0,0,1,0,503
0,1,0,7,0,10,512
0,0,8,0,3,0,513
0,1,8,7,3,10,514
2,0,2,1,1,2,516
0,0,0,0,0,8,528
