RD,AC,RL,AL,LL,GL,edgeID
0,3,0,0,0,3,0
0,0,0,0,0,0,1
4,0,3,1,4,0,3
4,0,3,1,3,0,4
0,0,0,0,1,0,5
0,0,1,0,0,0,8
0,3,0,0,0,3,11
0,0,0,0,0,0,14
0,0,3,0,0,0,20
0,0,1,0,0,0,21
0,0,4,0,0,0,22
1,0,2,0,2,0,24
0,0,1,0,0,0,25
1,0,2,0,2,0,26
0,0,1,0,0,0,27
16,3,6,6,12,1,30
19,4,6,6,11,1,31
3,1,0,0,1,2,32
2,0,1,0,2,0,33
1,0,3,0,2,0,34
1,0,2,0,0,0,35
0,0,6,0,3,0,37
0,0,7,0,3,0,38
0,0,0,0,0,0,41
0,1,0,1,1,0,42
0,1,0,1,1,0,43
6,1,5,1,3,1,55
2,1,3,1,2,0,56
5,1,3,1,2,0,57
0,0,0,0,0,0,59
0,0,2,0,1,0,65
0,0,3,0,0,1,66
0,0,5,0,1,1,67
1,0,0,0,0,0,68
0,0,2,0,1,0,69
1,0,2,0,1,0,70
0,0,3,0,1,0,74
1,0,1,0,0,0,75
1,0,2,0,0,1,78
3,1,2,4,4,0,90
0,0,0,0,3,0,92
0,0,3,0,4,0,94
0,0,0,0,0,0,107
0,0,0,0,0,9,108
0,0,0,0,0,0,112
0,0,0,0,0,0,119
0,0,0,0,3,0,121
0,0,1,0,0,0,123
1,0,1,0,1,2,124
0,0,0,0,0,0,129
0,0,0,0,0,0,130
2,0,0,0,2,0,135
2,0,0,0,2,0,136
2,4,10,12,9,2,142
0,0,0,0,1,0,143
2,4,10,12,10,2,144
0,0,0,0,1,0,153
0,0,0,0,0,0,154
0,0,0,0,1,0,155
0,0,0,0,1,0,167
0,0,0,0,0,0,168
0,0,0,0,1,0,169
0,0,0,0,1,0,170
0,0,0,0,0,0,172
0,0,0,0,1,0,174
0,0,0,0,1,1,181
0,0,0,0,0,1,182
0,0,0,0,0,0,190
0,0,0,0,1,0,191
1,0,0,0,0,0,195
1,0,0,0,0,0,196
0,0,0,0,0,0,197
0,0,0,0,0,0,198
2,6,3,10,2,0,202
1,0,2,1,3,0,205
1,0,2,0,3,0,206
0,0,0,1,0,0,207
1,0,0,0,1,0,208
1,0,0,0,1,0,209
0,3,1,1,1,5,211
0,2,0,1,1,5,213
0,0,0,0,0,0,226
4,8,1,7,3,0,227
4,8,1,7,3,0,228
0,0,0,0,0,0,239
0,0,0,0,0,0,240
0,0,0,0,0,0,241
0,0,0,0,0,0,243
0,0,2,0,1,0,245
0,0,1,0,1,0,246
0,0,1,0,0,0,247
0,0,0,0,0,0,251
0,0,1,0,0,0,252
0,0,1,0,0,0,253
2,0,0,3,2,0,264
1,3,4,1,2,2,268
2,3,4,1,3,2,269
