RD,AC,RL,AL,LL,GL,edgeID
0,2,0,0,0,8,0
1,0,1,0,1,0,1
2,0,3,0,3,0,3
2,0,3,0,3,0,4
0,0,0,0,0,0,5
0,0,1,0,0,0,8
1,2,1,0,1,8,11
0,0,0,0,0,0,14
0,0,2,0,0,0,20
0,0,0,0,0,1,21
0,0,2,0,0,1,22
1,0,0,0,0,0,24
4,1,2,1,2,0,25
1,0,0,0,0,0,26
4,1,2,1,2,0,27
13,2,6,0,4,0,30
19,3,7,0,6,4,31
6,1,1,0,2,4,32
1,1,0,0,4,0,33
1,0,2,0,3,0,34
0,1,2,0,1,0,35
0,2,6,0,0,1,37
1,1,7,1,1,1,38
0,0,0,0,0,1,41
0,0,0,0,0,1,42
0,0,0,0,0,0,43
3,0,6,3,5,0,55
1,0,2,3,3,0,56
2,0,4,0,2,0,57
0,1,0,0,0,1,59
0,0,1,0,0,0,65
1,1,0,0,0,0,66
1,1,1,0,0,0,67
1,0,4,0,1,0,68
0,0,1,0,0,0,69
1,0,5,0,1,0,70
0,0,5,0,0,0,74
1,0,2,0,1,0,75
2,1,2,0,1,0,78
1,2,5,4,4,1,90
1,0,3,2,2,0,92
1,0,6,2,2,0,94
0,0,0,0,0,0,107
0,0,0,0,0,8,108
0,0,0,0,0,0,112
0,0,0,0,0,0,119
1,0,3,2,2,0,121
0,0,0,0,0,0,123
3,1,6,0,5,3,124
0,0,0,0,0,0,129
0,0,0,0,0,0,130
1,1,0,0,2,0,135
1,1,0,0,2,0,136
1,8,6,17,5,1,142
0,1,0,1,0,0,143
1,9,6,18,5,1,144
0,0,0,0,0,0,153
0,0,0,0,0,0,154
0,0,0,0,0,0,155
0,0,0,0,0,0,167
0,0,0,0,0,0,168
0,0,0,0,0,0,169
0,0,0,0,0,0,170
0,1,0,1,0,0,172
1,0,1,0,1,1,174
1,0,1,1,1,5,181
0,0,0,1,0,4,182
0,0,0,1,0,0,190
0,0,0,1,0,0,191
0,0,0,0,0,0,195
0,0,0,0,0,0,196
0,0,0,0,0,0,197
0,0,0,0,0,0,198
1,4,6,7,4,0,202
2,0,2,2,3,1,205
2,0,1,2,3,1,206
0,0,1,0,0,0,207
3,1,6,0,5,0,208
3,1,6,0,5,0,209
1,6,1,2,2,9,211
0,5,0,1,1,8,213
1,0,0,0,0,0,226
7,13,5,11,6,0,227
6,13,5,11,6,0,228
0,0,0,0,0,0,239
0,0,0,0,0,0,240
0,0,0,0,0,0,241
0,0,0,0,0,0,243
2,0,5,0,2,0,245
2,0,1,0,2,0,246
0,0,4,0,0,0,247
0,0,0,0,0,0,251
0,0,2,0,0,0,252
0,0,2,0,0,0,253
1,0,2,2,6,0,264
2,0,3,2,1,4,268
1,0,3,2,1,4,269
1,0,0,0,0,0,270
0,0,0,0,0,0,275
0,0,0,0,0,0,276
0,0,2,0,0,0,278
0,0,2,0,0,0,279
1,0,0,1,0,0,282
0,1,1,0,1,0,283
0,0,2,0,0,0,286
3,2,1,3,1,2,289
0,2,0,0,0,0,292
0,2,0,0,0,0,295
1,4,1,2,1,1,330
0,0,0,0,0,0,344
0,0,0,0,0,3,347
3,1,6,0,5,0,349
2,2,2,4,2,2,361
0,0,0,0,0,4,370
2,3,2,5,1,7,373
0,0,0,0,0,0,381
1,8,6,17,5,3,390
1,3,3,5,1,9,393
0,0,3,0,1,0,398
0,0,3,0,0,0,416
0,0,2,0,0,1,423
0,0,0,1,0,2,426
1,0,0,0,0,3,444
0,0,0,0,0,3,450
0,0,0,0,0,0,456
2,3,5,2,3,3,457
2,3,5,2,3,3,458
0,0,1,0,1,0,463
0,0,2,0,0,1,466
0,0,2,0,0,1,467
0,0,0,0,0,0,469
0,1,0,0,0,9,476
5,32,0,16,1,15,494
0,0,0,0,0,0,502
1,0,0,0,0,0,503
0,0,0,14,0,15,512
1,0,11,0,0,0,513
1,0,11,14,0,15,514
3,0,4,0,2,3,516
0,0,0,0,0,6,528
0,0,0,0,0,1,532
0,0,2,0,1,1,533
0,0,2,0,1,0,534
1,0,11,0,0,0,536
0,0,0,0,0,0,537
0,0,3,0,4,7,550
0,0,7,0,4,12,551
0,0,4,0,0,5,552
0,0,0,0,0,5,553
0,0,4,0,0,0,554
0,0,1,2,1,3,559
0,0,0,0,0,0,572
3,1,6,0,5,0,573
0,0,2,0,1,1,575
0,0,0,0,0,0,576
1,4,1,1,0,1,578
1,4,10,1,0,7,579
0,0,11,0,0,6,580
0,0,0,0,0,0,583
3,0,1,0,1,0,585
0,0,0,0,0,0,588
1,0,1,1,0,1,591
0,0,1,0,1,6,595
2,1,9,2,0,2,607
2,1,4,2,0,6,608
2,0,1,1,0,3,610
2,0,1,1,1,0,611
0,0,0,0,1,3,612
0,0,0,0,0,0,616
1,0,0,1,0,0,617
1,0,0,1,0,0,618
1,0,10,0,4,1,619
7,2,10,1,8,1,620
6,2,2,1,8,0,621
0,0,0,0,0,0,622
0,0,0,0,0,0,624
0,0,0,0,0,0,625
1,0,0,1,0,0,630
0,0,0,0,0,2,631
1,0,0,0,0,0,632
0,3,1,2,0,0,633
0,3,1,2,0,0,634
0,0,0,0,0,0,635
1,1,3,3,2,2,636
0,0,0,0,0,0,639
0,0,0,0,0,0,640
0,0,0,0,0,0,641
0,0,0,0,0,0,643
0,0,0,0,0,0,645
0,0,0,0,0,0,646
0,0,0,0,0,0,648
1,0,0,0,0,0,650
1,0,0,0,0,0,651
2,0,0,0,0,0,653
1,0,0,0,0,0,654
2,2,0,1,1,4,655
0,0,0,0,0,0,658
1,0,0,0,0,0,659
1,0,0,0,0,0,660
0,0,0,0,0,0,661
0,0,0,0,0,0,662
0,0,0,0,0,6,674
4,2,3,2,3,2,678
3,4,6,7,6,0,686
2,4,6,7,6,0,688
1,2,2,1,1,0,691
0,0,0,0,0,0,720
9,8,16,7,23,0,724
0,0,0,2,0,1,726
0,0,0,2,0,1,727
0,0,0,0,0,0,728
8,8,3,6,10,0,730
1,1,0,1,0,0,731
0,1,0,1,0,0,733
1,0,0,0,0,0,734
1,1,0,1,0,0,735
9,11,23,23,27,19,752
0,0,1,0,2,0,754
4,2,28,33,32,12,758
0,0,1,1,1,0,787
3,3,3,4,1,4,788
4,4,3,4,1,5,789
0,0,1,1,1,0,791
0,0,0,0,0,0,792
0,0,0,0,0,0,793
0,0,0,0,0,0,794
0,0,0,0,0,0,795
12,1,3,5,7,0,800
1,4,2,2,2,3,802
0,4,0,1,0,0,836
1,1,1,1,1,0,837
1,4,1,1,0,0,838
2,1,0,1,1,0,839
3,0,0,0,2,0,846
3,1,0,3,0,0,848
1,0,3,3,3,0,850
0,2,1,3,1,2,855
2,1,2,4,3,11,857
0,0,0,0,0,0,866
1,0,1,0,1,0,877
