RD,AC,RL,AL,LL,GL,edgeID
0,2,0,0,0,2,0
0,1,0,0,0,0,1
2,0,2,2,3,0,3
2,0,2,2,3,0,4
0,0,0,0,0,0,5
0,0,0,0,0,0,8
0,3,0,0,0,2,11
0,0,0,0,0,0,14
0,0,1,0,0,0,20
0,0,0,0,0,0,21
0,0,1,0,0,0,22
1,1,5,1,4,0,24
6,1,4,2,4,0,25
1,1,5,2,5,0,26
6,1,2,3,3,0,27
24,1,9,4,8,1,30
26,1,8,4,10,2,31
2,0,1,0,4,3,32
1,0,0,0,0,0,33
1,0,1,0,0,0,34
0,0,1,0,0,0,35
0,0,7,0,1,0,37
0,0,7,0,1,0,38
0,0,1,0,2,1,41
0,0,0,0,1,1,42
0,0,0,0,0,1,43
4,1,8,4,5,0,55
2,1,3,4,3,0,56
2,0,5,0,2,0,57
0,0,1,0,0,1,59
0,0,1,0,1,0,65
0,0,1,0,0,1,66
0,0,2,0,1,1,67
2,0,4,0,0,0,68
0,0,1,0,1,0,69
2,0,5,0,1,0,70
0,0,3,0,1,0,74
2,0,2,0,0,0,75
2,0,3,0,0,1,78
1,1,4,4,2,0,90
0,0,1,0,0,0,92
0,0,4,0,1,0,94
1,0,1,0,1,0,107
0,0,0,0,0,8,108
0,0,0,0,0,0,112
0,0,0,0,0,0,119
0,0,1,0,0,0,121
0,0,1,0,2,0,123
2,3,4,3,3,3,124
0,0,0,0,0,0,129
0,0,0,0,0,0,130
1,0,0,0,0,0,135
1,0,0,0,0,0,136
6,10,7,13,5,1,142
1,1,1,1,2,0,143
7,9,8,14,7,1,144
0,0,0,0,1,0,153
0,0,0,0,0,0,154
0,0,0,0,1,0,155
0,0,0,0,1,0,167
0,0,0,0,0,0,168
0,0,0,0,0,0,169
0,0,0,0,0,0,170
0,0,0,0,0,1,172
0,0,0,0,0,1,174
0,1,0,0,0,4,181
0,1,0,0,0,3,182
1,0,1,0,0,0,190
1,0,1,0,0,0,191
2,0,0,0,0,0,195
2,0,0,0,0,0,196
0,0,0,0,0,0,197
0,1,1,0,0,0,198
1,7,4,6,1,0,202
0,1,5,3,2,2,205
1,0,4,2,1,1,206
0,0,0,0,0,0,207
2,1,4,1,0,1,208
3,2,5,2,1,1,209
1,6,1,2,1,13,211
1,5,1,2,1,13,213
0,0,0,0,0,0,226
9,9,3,11,3,0,227
9,9,3,11,3,0,228
0,0,0,0,0,0,239
0,0,0,0,0,0,240
0,0,0,0,0,0,241
0,0,0,0,0,0,243
2,0,7,0,2,1,245
1,0,3,0,1,0,246
0,1,3,1,0,0,247
0,0,0,0,0,0,251
0,0,0,0,0,0,252
0,0,0,0,0,0,253
4,0,5,1,5,0,264
0,0,6,1,1,6,268
0,0,5,1,1,6,269
0,0,3,0,0,0,270
1,0,0,0,1,0,275
1,0,0,0,1,0,276
0,0,1,0,0,0,278
0,0,1,0,0,0,279
2,2,2,1,2,0,282
0,1,0,0,0,0,283
0,0,1,0,0,0,286
3,2,4,0,2,1,289
0,0,0,0,0,0,292
0,0,0,0,0,0,295
0,1,0,2,0,1,330
3,0,1,0,1,2,344
0,0,0,0,1,4,347
2,3,3,3,1,0,349
4,0,1,3,3,0,361
0,0,0,0,0,3,370
4,0,1,3,3,3,373
1,0,0,0,1,0,381
6,10,7,13,5,5,390
2,0,0,3,2,17,393
2,0,7,0,2,0,398
1,0,7,0,2,0,416
1,0,2,0,1,0,423
0,0,0,1,0,2,426
2,0,1,1,0,2,444
0,0,0,0,0,5,450
0,0,0,0,0,0,456
1,1,3,0,0,1,457
1,1,3,0,0,1,458
2,0,2,1,3,0,463
0,0,0,0,0,0,466
0,0,0,0,0,0,467
0,0,0,0,0,0,469
0,0,0,0,0,10,476
4,37,3,25,4,28,494
0,0,0,0,0,0,502
0,0,0,0,1,0,503
0,1,0,10,0,5,512
0,0,20,0,3,0,513
0,1,20,10,3,5,514
0,0,2,0,0,0,516
0,0,0,0,0,0,528
0,0,0,0,0,1,532
0,0,3,0,1,2,533
0,0,3,0,1,1,534
0,0,20,0,3,0,536
0,0,0,0,0,0,537
1,0,1,0,0,4,550
1,0,5,0,0,10,551
0,0,4,0,0,6,552
0,0,0,0,0,6,553
0,0,4,0,0,0,554
0,0,0,3,2,4,559
